Year, Number of Drawdowns, Percent of Year in Drawdown, Average Days of Drawdown, SD of Drawdown, Average Percent Difference, SD Percent Difference, Average Rate of Change, SD Rate of Change, Max Daily Drawdown
1997,4,0.09041095890410959,8.25,2.0463381929681126,-0.00040819605821255326,0.000280502293818959,-0.4273809523809498,0.21882207447414367,-6.520000000000437
1998,3,0.08767123287671233,10.666666666666666,1.699673171197595,-0.0004037794025812844,0.0001994023186480268,-0.33694444444442223,0.2108562057568536,-5.079999999999927
1999,7,0.17534246575342466,9.142857142857142,2.415933503612538,-0.0004227722026004901,0.00036579768059853354,-0.41801587301588844,0.3382409457151602,-8.699999999999818
2000,5,0.13424657534246576,9.8,3.8157568056677826,-0.0005232681618034011,0.0002991955691077745,-0.43440598290597643,0.11086921762753005,-7.779999999999745
2001,8,0.14794520547945206,6.75,1.3919410907075054,-0.00017111394214602035,3.0744039589736175e-05,-0.23463541666662688,0.06622384097670696,-1.7599999999993088
2002,8,0.18356164383561643,8.375,3.3888604279314896,-0.00033057190525172784,0.00038866231659108724,-0.3045086580086729,0.18890440317951207,-10.1200000000008
2003,7,0.16164383561643836,8.428571428571429,2.1946130708196026,-0.0003869358270886031,0.00041496167205380766,-0.3961507936507898,0.34699346968212763,-10.400000000000546
2004,6,0.11232876712328767,6.833333333333333,1.7716909687891083,-0.0004086273630425018,0.0004798288188942729,-0.45325529100530987,0.3592912071655547,-11.029999999999745
2005,4,0.10136986301369863,9.25,2.5860201081971503,-0.000284014246624783,0.0001826655467006175,-0.2656439393938933,0.14087258485419438,-4.399999999999636
2006,1,0.030136986301369864,11.0,0.0,-0.001251216088363885,0.0,-0.9349999999999454,0.0,-9.349999999999454
2007,4,0.1178082191780822,10.75,1.479019945774904,-0.00024253968177986076,6.209467531134103e-05,-0.19078472222219856,0.06250950043531653,-2.3499999999994543
2009,1,0.021917808219178082,8.0,0.0,-0.0002154295746001403,0.0,-0.22999999999995321,0.0,-1.6099999999996726
2010,3,0.07123287671232877,8.666666666666666,2.8674417556808756,-0.0002056297134866522,6.161890717384091e-05,-0.21098484848483745,0.03542555795053004,-2.149999999999636
2011,1,0.024657534246575342,9.0,0.0,-0.00015257878218044815,0.0,-0.14250000000004093,0.0,-1.1400000000003274
2012,1,0.03561643835616438,13.0,0.0,-0.0016499265361178469,0.0,-1.0275000000000698,0.0,-12.330000000000837
2013,3,0.14794520547945206,18.0,13.73559851869101,-0.0005484092208757721,0.00032806377474501453,-0.28102693602693957,0.07238572628832801,-7.0900000000001455
2014,1,0.0273972602739726,10.0,0.0,-0.0015803221127340364,0.0,-1.3122222222221656,0.0,-11.80999999999949
2015,2,0.07671232876712329,14.0,2.0,-0.0010356782078363154,0.0007586761992372485,-0.541090909090891,0.3529090909090993,-13.409999999999854
2016,1,0.0273972602739726,10.0,0.0,-0.001521707417286421,0.0,-1.2633333333333212,0.0,-11.36999999999989
2017,4,0.07397260273972603,6.75,2.0463381929681126,-0.00021711212882954102,4.8926528913919016e-05,-0.30881944444443993,0.103001328762554,-2.1099999999996726
2018,1,0.038356164383561646,14.0,0.0,-0.0012623118914331845,0.0,-0.7253846153846377,0.0,-9.430000000000291
2019,2,0.0410958904109589,7.5,2.5,-0.00021475617724198327,5.8204279618886314e-05,-0.2595833333333404,0.03291666666667778,-2.0399999999999636
2020,6,0.12876712328767123,7.833333333333333,3.0776975521032313,-0.0001955964067076407,4.061364311904849e-05,-0.24571047008543037,0.08747275102595033,-1.9700000000002547
2021,1,0.021917808219178082,8.0,0.0,-0.00016058732136330848,0.0,-0.17142857142854545,0.0,-1.199999999999818
