Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference, Rate of Change, Drawdown
1/6/97,1/12/97,7,446.59,446.31,-0.0006269732864595551,-0.04666666666666212,-0.2799999999999727
1/20/97,1/28/97,10,447.67,447.15,-0.0011615699064043573,-0.05777777777778207,-0.5200000000000387
2/26/97,3/6/97,10,448.83,447.81,-0.0022725753626094106,-0.11333333333333132,-1.0199999999999818
3/22/97,3/26/97,5,447.28,446.99,-0.0006483634412447765,-0.0724999999999909,-0.2899999999999636
3/29/97,4/3/97,6,447.13,446.88,-0.0005591215082861807,-0.05,-0.25
7/5/97,7/15/97,12,448.99,447.33,-0.003697187019755507,-0.15090909090909319,-1.660000000000025
8/2/97,8/6/97,5,448.15,447.79,-0.0008033024656921942,-0.0899999999999892,-0.3599999999999568
8/16/97,8/20/97,5,447.95,447.67,-0.0006250697622501903,-0.06999999999999318,-0.2799999999999727
8/23/97,8/27/97,5,447.93,447.56,-0.0008260219230683467,-0.09250000000000114,-0.37000000000000455
9/4/97,9/10/97,7,448.11,447.72,-0.0008703220191470539,-0.06499999999999773,-0.38999999999998636
9/15/97,9/23/97,9,448.23,447.68,-0.0012270486134350921,-0.06875000000000142,-0.5500000000000114
9/25/97,10/2/97,8,448.63,448.39,-0.0005349619954082631,-0.034285714285715585,-0.2400000000000091
10/5/97,10/14/97,11,448.39,446.8,-0.003546020205624512,-0.1589999999999975,-1.589999999999975
10/24/97,11/5/97,14,447.69,446.45,-0.0027697737273560032,-0.09538461538461608,-1.240000000000009
11/30/97,12/7/97,8,447.09,446.85,-0.000536804670200524,-0.034285714285707466,-0.23999999999995225
12/29/97,1/7/98,11,449.44,448.98,-0.0010234959060163305,-0.04599999999999795,-0.45999999999997954
1/12/98,1/26/98,16,448.79,446.31,-0.00552596982998734,-0.16533333333333455,-2.480000000000018
3/14/98,3/31/98,19,447.36,446.55,-0.0018106223175965715,-0.04500000000000012,-0.8100000000000023
4/7/98,4/14/98,8,447.27,446.91,-0.0008048829566032974,-0.05142857142856526,-0.3599999999999568
6/4/98,6/15/98,13,449.86,449.283,-0.0012826212599475351,-0.04808333333333318,-0.5769999999999982
6/16/98,6/24/98,10,449.283,447.477,-0.004019738116065019,-0.2006666666666711,-1.80600000000004
6/27/98,7/7/98,12,447.33099999999996,446.88800000000003,-0.0009903181313164677,-0.04027272727272062,-0.4429999999999268
8/22/98,8/30/98,10,448.77099999999996,448.458,-0.000697460397396292,-0.03477777777777015,-0.31299999999993133
9/9/98,9/18/98,11,449.38300000000004,447.33,-0.004568486124308338,-0.20530000000000542,-2.053000000000054
9/19/98,9/24/98,6,447.33,447.04900000000004,-0.0006281715959134175,-0.056199999999989814,-0.28099999999994907
10/4/98,10/15/98,13,447.37199999999996,445.939,-0.0032031508453813293,-0.11941666666666133,-1.4329999999999359
10/22/98,10/30/98,10,446.006,445.61,-0.0008878804321017166,-0.04399999999999535,-0.39599999999995816
10/31/98,11/4/98,5,445.61,445.158,-0.001014339893628954,-0.11299999999999955,-0.4519999999999982
12/17/98,12/22/98,6,449.56,449.265,-0.0006561971705668118,-0.05900000000000318,-0.2950000000000159
1/5/99,1/24/99,21,449.30300000000005,445.425,-0.008631146464635317,-0.19390000000000213,-3.8780000000000427
2/10/99,2/18/99,10,445.444,444.898,-0.0012257433033108366,-0.06066666666666581,-0.5459999999999923
4/24/99,5/2/99,9,448.463,448.126,-0.000751455526988951,-0.04212500000000574,-0.33700000000004593
5/7/99,5/15/99,9,448.58,448.37300000000005,-0.0004614561505192759,-0.0258749999999921,-0.2069999999999368
6/4/99,6/8/99,5,449.222,448.889,-0.0007412815935104915,-0.0832499999999925,-0.33299999999997
7/16/99,7/28/99,14,449.63,448.44300000000004,-0.002639948402019338,-0.09130769230768884,-1.186999999999955
9/3/99,9/17/99,16,449.056,446.852,-0.004908073825981632,-0.14693333333333386,-2.2040000000000077
10/1/99,10/11/99,12,448.26300000000003,447.07800000000003,-0.002643537387649666,-0.10772727272727294,-1.1850000000000023
