Year, Number of Drawdowns, Percent of Year in Drawdown, Average Days of Drawdown, SD of Drawdown, Average Percent Difference, SD Percent Difference, Average Rate of Change, SD Rate of Change, Max Daily Drawdown
1997,16,0.3643835616438356,8.3125,2.7321866242992994,-0.0013580382383098935,0.001050299312860693,-0.0778995570401798,0.03635837207018004,-1.660000000000025
1998,13,0.38082191780821917,10.692307692307692,3.870690961664346,-0.0020069106977548532,0.0016442627567613461,-0.0909599289599269,0.060517112010785794,-2.480000000000018
1999,13,0.3972602739726027,11.153846153846153,3.919304370109845,-0.0020962321431481573,0.0022269781428081487,-0.078821454186838,0.04657608137007153,-3.8780000000000427
2000,13,0.41643835616438357,11.692307692307692,3.6455371110993187,-0.0017885296547199086,0.001198994889263209,-0.07160296967989087,0.033021708876276486,-1.9470000000000027
2001,13,0.4273972602739726,12.0,5.262348115842175,-0.0017940405836608662,0.0013778005681961986,-0.07009963369963278,0.035839612902545066,-2.2420000000000186
2002,13,0.36164383561643837,10.153846153846153,3.634157480313144,-0.0011597569131958222,0.0008477574736643778,-0.05538858722976466,0.023090619292716733,-1.5220000000000482
2003,15,0.4273972602739726,10.4,6.509480265991543,-0.001707646995577715,0.0019311493253019781,-0.07157787037037053,0.023551450029116495,-3.8500000000000227
2004,13,0.38082191780821917,10.692307692307692,4.026539177939201,-0.0013561756344032845,0.0010644364052668789,-0.06307061096797956,0.027829903597493807,-2.140000000000043
2005,17,0.4821917808219178,10.352941176470589,5.551270935248954,-0.0017856700366356147,0.0018240145189001237,-0.07662496109554905,0.047169512739804936,-2.990000000000009
2006,15,0.473972602739726,11.533333333333333,4.161196409153929,-0.002124204350852132,0.0010737996850763247,-0.09203656778950872,0.0330165720103624,-2.0500000000000114
2007,15,0.4136986301369863,10.066666666666666,4.668571040003092,-0.0015974804347277476,0.0013377692540089917,-0.07168582621082571,0.03082658233677398,-1.910000000000025
2008,14,0.3589041095890411,9.357142857142858,3.3723061811751074,-0.001303405266981877,0.0009676062683315741,-0.06381746031746031,0.0307101315840512,-1.5400000000000205
2009,12,0.3589041095890411,10.916666666666666,3.522743564641375,-0.0014904069095096923,0.0008549312416829807,-0.06728078634328438,0.024733370899271367,-1.5
2010,9,0.26575342465753427,10.777777777777779,3.5520816362546177,-0.002332587413036448,0.0020205529495037496,-0.09953161961495303,0.07954118012276151,-2.840000000000032
2011,11,0.37534246575342467,12.454545454545455,5.614326420598004,-0.0021393135014726766,0.001466558498946223,-0.07928972416472554,0.03762237338920048,-2.069999999999993
2012,12,0.3835616438356164,11.666666666666666,2.924988129130707,-0.0022594255529200546,0.001551932229775093,-0.08679787342287189,0.042512987281933694,-2.419999999999959
2013,12,0.4,12.166666666666666,5.063485843654437,-0.0019841874238467404,0.0019784792660422876,-0.0731869334369341,0.05088039816845826,-3.119000000000028
2014,11,0.29863013698630136,9.909090909090908,3.3153786416019035,-0.0017204141054784966,0.0016522182608281282,-0.08035066574839243,0.04559685118033315,-2.901999999999987
2015,13,0.4,11.23076923076923,4.4575579059847446,-0.0018540684723207606,0.0013645575539393197,-0.0755404638096939,0.036544981730517054,-1.9890000000000327
2016,14,0.37534246575342467,9.785714285714286,3.0747490357186975,-0.0015520798604147777,0.0011500694009326674,-0.07744231859410632,0.037020960550415254,-1.9849999999999568
2017,14,0.4054794520547945,10.571428571428571,4.60921880140048,-0.001657288422809044,0.0011507327435526622,-0.07721687598116202,0.03251839550691133,-1.88900000000001
2018,20,0.5808219178082191,10.6,5.063595560468865,-0.001221186528149,0.0008658938055035131,-0.056933234126983326,0.021789018119057677,-1.8149999999999977
2019,16,0.473972602739726,10.8125,2.962658223622833,-0.0015156952878442576,0.0007994769392327943,-0.06720320378151222,0.0249734633624638,-1.365000000000009
2020,20,0.5534246575342465,10.1,3.7,-0.001834741997985329,0.0013150825782982046,-0.08984150252525108,0.047001254675528806,-2.856999999999971
