Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference, Rate of Change, Drawdown
8/31/97,9/9/97,10,1205.0,1204.0,-0.0008298755186721991,-0.1111111111111111,-1.0
1/25/98,2/3/98,10,1215.0,1214.0,-0.0008230452674897119,-0.1111111111111111,-1.0
4/13/98,4/22/98,10,1214.0,1213.0,-0.0008237232289950577,-0.1111111111111111,-1.0
5/12/98,5/21/98,10,1213.0,1212.0,-0.0008244023083264633,-0.1111111111111111,-1.0
9/17/98,9/26/98,10,1216.0,1215.0,-0.0008223684210526315,-0.1111111111111111,-1.0
11/17/98,11/26/98,10,1216.0,1215.0,-0.0008223684210526315,-0.1111111111111111,-1.0
12/6/98,12/15/98,10,1215.0,1214.0,-0.0008230452674897119,-0.1111111111111111,-1.0
12/17/98,12/26/98,10,1214.0,1213.0,-0.0008237232289950577,-0.1111111111111111,-1.0
1/3/99,1/12/99,10,1213.0,1212.0,-0.0008244023083264633,-0.1111111111111111,-1.0
3/15/99,3/24/99,10,1213.0,1212.0,-0.0008244023083264633,-0.1111111111111111,-1.0
4/4/99,4/16/99,13,1212.0,1210.0,-0.0016501650165016502,-0.16666666666666666,-2.0
4/20/99,4/29/99,10,1210.0,1209.0,-0.0008264462809917355,-0.1111111111111111,-1.0
5/3/99,5/12/99,10,1209.0,1208.0,-0.0008271298593879239,-0.1111111111111111,-1.0
5/17/99,5/26/99,10,1208.0,1207.0,-0.0008278145695364238,-0.1111111111111111,-1.0
6/6/99,6/15/99,10,1208.0,1207.0,-0.0008278145695364238,-0.1111111111111111,-1.0
6/27/99,7/3/99,7,1207.0,1206.0,-0.0008285004142502071,-0.16666666666666666,-1.0
3/3/00,3/12/00,10,1214.0,1213.0,-0.0008237232289950577,-0.1111111111111111,-1.0
3/19/00,3/28/00,10,1213.0,1212.0,-0.0008244023083264633,-0.1111111111111111,-1.0
3/30/00,4/11/00,13,1212.0,1210.0,-0.0016501650165016502,-0.16666666666666666,-2.0
4/20/00,4/29/00,10,1210.0,1209.0,-0.0008264462809917355,-0.1111111111111111,-1.0
5/17/00,5/26/00,10,1209.0,1208.0,-0.0008271298593879239,-0.1111111111111111,-1.0
6/1/00,6/10/00,10,1208.0,1207.0,-0.0008278145695364238,-0.1111111111111111,-1.0
6/18/00,7/1/00,14,1206.0,1204.0,-0.001658374792703151,-0.15384615384615385,-2.0
7/6/00,7/16/00,11,1204.0,1202.0,-0.0016611295681063123,-0.2,-2.0
7/19/00,7/31/00,13,1202.0,1200.0,-0.0016638935108153079,-0.16666666666666666,-2.0
8/2/00,8/15/00,14,1200.0,1198.0,-0.0016666666666666668,-0.15384615384615385,-2.0
8/20/00,8/29/00,10,1198.0,1197.0,-0.0008347245409015025,-0.1111111111111111,-1.0
9/3/00,9/7/00,5,1197.0,1196.0,-0.000835421888053467,-0.25,-1.0
11/6/00,11/10/00,5,1197.0,1196.0,-0.000835421888053467,-0.25,-1.0
11/12/00,11/21/00,10,1197.0,1196.0,-0.000835421888053467,-0.1111111111111111,-1.0
11/27/00,12/6/00,10,1197.0,1196.0,-0.000835421888053467,-0.1111111111111111,-1.0
3/1/01,3/10/01,10,1197.0,1196.0,-0.000835421888053467,-0.1111111111111111,-1.0
3/26/01,4/6/01,12,1196.0,1194.0,-0.0016722408026755853,-0.18181818181818182,-2.0
4/8/01,4/17/01,10,1194.0,1193.0,-0.0008375209380234506,-0.1111111111111111,-1.0
4/25/01,5/6/01,12,1192.0,1190.0,-0.0016778523489932886,-0.18181818181818182,-2.0
5/9/01,5/18/01,10,1190.0,1189.0,-0.0008403361344537816,-0.1111111111111111,-1.0
5/20/01,5/29/01,10,1189.0,1188.0,-0.0008410428931875525,-0.1111111111111111,-1.0
6/7/01,6/19/01,13,1187.0,1185.0,-0.0016849199663016006,-0.16666666666666666,-2.0
6/20/01,7/2/01,13,1185.0,1183.0,-0.0016877637130801688,-0.16666666666666666,-2.0
7/3/01,7/8/01,6,1183.0,1182.0,-0.0008453085376162299,-0.2,-1.0
7/9/01,7/18/01,10,1183.0,1182.0,-0.0008453085376162299,-0.1111111111111111,-1.0
8/6/01,8/15/01,10,1181.0,1180.0,-0.000846740050804403,-0.1111111111111111,-1.0
9/11/01,9/20/01,10,1180.0,1179.0,-0.000847457627118644,-0.1111111111111111,-1.0
11/26/01,12/5/01,10,1178.0,1177.0,-0.0008488964346349745,-0.1111111111111111,-1.0
2/19/02,3/4/02,14,1178.0,1176.0,-0.001697792869269949,-0.15384615384615385,-2.0
3/7/02,3/19/02,13,1176.0,1174.0,-0.0017006802721088435,-0.16666666666666666,-2.0
3/20/02,4/1/02,13,1174.0,1172.0,-0.0017035775127768314,-0.16666666666666666,-2.0
4/3/02,4/16/02,14,1172.0,1170.0,-0.0017064846416382253,-0.15384615384615385,-2.0
4/18/02,4/29/02,12,1170.0,1168.0,-0.0017094017094017094,-0.18181818181818182,-2.0
5/7/02,5/19/02,13,1167.0,1165.0,-0.001713796058269066,-0.16666666666666666,-2.0
5/20/02,5/29/02,10,1165.0,1163.0,-0.0017167381974248926,-0.2222222222222222,-2.0
5/30/02,6/8/02,10,1163.0,1162.0,-0.0008598452278589854,-0.1111111111111111,-1.0
6/11/02,6/20/02,10,1162.0,1161.0,-0.0008605851979345956,-0.1111111111111111,-1.0
6/27/02,7/6/02,10,1160.0,1159.0,-0.0008620689655172414,-0.1111111111111111,-1.0
7/22/02,7/31/02,10,1159.0,1158.0,-0.0008628127696289905,-0.1111111111111111,-1.0
8/7/02,8/16/02,10,1158.0,1157.0,-0.0008635578583765112,-0.1111111111111111,-1.0
8/28/02,9/6/02,10,1157.0,1156.0,-0.000864304235090752,-0.1111111111111111,-1.0
9/28/02,10/7/02,10,1156.0,1155.0,-0.0008650519031141869,-0.1111111111111111,-1.0
11/12/02,11/21/02,10,1155.0,1154.0,-0.0008658008658008658,-0.1111111111111111,-1.0
11/26/02,12/5/02,10,1154.0,1153.0,-0.0008665511265164644,-0.1111111111111111,-1.0
12/22/02,12/31/02,10,1153.0,1152.0,-0.0008673026886383347,-0.1111111111111111,-1.0
3/11/03,3/20/03,10,1155.0,1154.0,-0.0008658008658008658,-0.1111111111111111,-1.0
3/28/03,4/10/03,14,1154.0,1152.0,-0.0017331022530329288,-0.15384615384615385,-2.0
4/18/03,4/28/03,11,1151.0,1149.0,-0.0017376194613379669,-0.2,-2.0
5/7/03,5/20/03,14,1148.0,1146.0,-0.0017421602787456446,-0.15384615384615385,-2.0
5/26/03,6/4/03,10,1146.0,1145.0,-0.0008726003490401396,-0.1111111111111111,-1.0
6/7/03,6/16/03,10,1145.0,1144.0,-0.0008733624454148472,-0.1111111111111111,-1.0
6/24/03,7/3/03,10,1144.0,1143.0,-0.0008741258741258741,-0.1111111111111111,-1.0
7/15/03,7/24/03,10,1143.0,1142.0,-0.0008748906386701663,-0.1111111111111111,-1.0
9/21/03,9/30/03,10,1143.0,1142.0,-0.0008748906386701663,-0.1111111111111111,-1.0
10/28/03,11/6/03,10,1142.0,1141.0,-0.0008756567425569177,-0.1111111111111111,-1.0
11/12/03,11/21/03,10,1141.0,1140.0,-0.0008764241893076249,-0.1111111111111111,-1.0
11/28/03,12/7/03,10,1140.0,1139.0,-0.0008771929824561404,-0.1111111111111111,-1.0
1/25/04,2/3/04,10,1141.0,1140.0,-0.0008764241893076249,-0.1111111111111111,-1.0
3/18/04,3/27/04,10,1140.0,1139.0,-0.0008771929824561404,-0.1111111111111111,-1.0
4/3/04,4/12/04,10,1139.0,1138.0,-0.000877963125548727,-0.1111111111111111,-1.0
4/20/04,4/30/04,11,1137.0,1135.0,-0.001759014951627089,-0.2,-2.0
5/2/04,5/13/04,12,1135.0,1133.0,-0.001762114537444934,-0.18181818181818182,-2.0
5/16/04,6/1/04,17,1133.0,1130.0,-0.00264783759929391,-0.1875,-3.0
6/13/04,6/22/04,10,1129.0,1128.0,-0.0008857395925597874,-0.1111111111111111,-1.0
