Year, Number of Drawdowns, Percent of Year in Drawdown, Average Days of Drawdown, SD of Drawdown, Average Percent Difference, SD Percent Difference, Average Rate of Change, SD Rate of Change, Max Daily Drawdown
1997,15,0.4794520547945205,11.666666666666666,7.235713893981407,-0.002524743575941783,0.002943329101543064,-0.20056462181784837,0.08109191222769872,-8.480000000000018
1998,19,0.6356164383561644,12.210526315789474,4.3234847953500735,-0.0031234209539765427,0.0016848414827015914,-0.27285035393742724,0.12528158170998677,-4.869000000000028
1999,17,0.5780821917808219,12.411764705882353,11.727588506591234,-0.0035611436333509317,0.005246733026893307,-0.2985538660747331,0.11793288897486212,-15.57400000000007
2000,16,0.4958904109589041,11.3125,8.737267521943002,-0.0029997475859468384,0.00432795606893504,-0.24690681511471105,0.11671139493527019,-12.485000000000014
2001,18,0.5534246575342465,11.222222222222221,6.267691011631313,-0.002691066865065033,0.0019347935558874645,-0.2692891975308623,0.10809681965466508,-6.087999999999965
2002,16,0.4986301369863014,11.375,7.166545541612082,-0.0024399289321599066,0.0024268074795205092,-0.2252045241013064,0.08975774984950767,-7.30499999999995
2003,16,0.5260273972602739,12.0,4.9749371855331,-0.002710155193001078,0.0020446012969066777,-0.21282727047258052,0.07542615371979582,-6.014999999999986
2004,17,0.5835616438356165,12.529411764705882,9.431596752461274,-0.002526380347637192,0.0023247249736625735,-0.19282955057245632,0.09938035626825334,-6.850000000000023
2005,16,0.5945205479452055,13.5625,6.304450313072505,-0.0029646550173264203,0.002076961933583841,-0.20611624606459772,0.10348924889177173,-5.050000000000068
2006,16,0.4931506849315068,11.25,5.921359641163505,-0.002258092351788162,0.0022601762965775794,-0.21769613779420408,0.0952987405163129,-6.8799999999999955
2007,14,0.44931506849315067,11.714285714285714,5.957331274855155,-0.002527248658192737,0.0020179276942426643,-0.20363228240014158,0.06673461965755152,-5.25
2008,17,0.5315068493150685,11.411764705882353,7.129547659353265,-0.0027950746182314012,0.002879311724912792,-0.24542156862745088,0.07702208998236529,-8.549999999999955
2009,19,0.5726027397260274,11.0,7.8068795572272425,-0.0022880334589945525,0.0026891352454037607,-0.19982833686781193,0.06219798996379748,-8.5
2010,14,0.5397260273972603,14.071428571428571,6.430555249457587,-0.0029443328601861207,0.001963154499999623,-0.19739751254036889,0.09516041218930918,-4.670000000000073
2011,14,0.5178082191780822,13.5,10.933238965910984,-0.0026497573217704198,0.0035055958262175586,-0.19096102678501198,0.07567362957087588,-9.690000000000055
2012,15,0.5534246575342465,13.466666666666667,9.972406374034748,-0.002858025654523647,0.0039810591000915075,-0.2404401567424858,0.10547503719255562,-11.230000000000018
2013,16,0.4986301369863014,11.375,4.9355217555999085,-0.002559948948127179,0.0019088612520303874,-0.20793894500107765,0.06646825052503993,-4.423999999999978
2014,14,0.4602739726027397,12.0,8.106434833777776,-0.002568213656673042,0.0030226085716557436,-0.19873851540616094,0.0735940516415641,-8.351999999999975
2015,17,0.5506849315068493,11.823529411764707,4.300961508336685,-0.0022244894070148364,0.0011796839114747873,-0.20177555573511738,0.10347423870615974,-2.921000000000049
2016,16,0.5232876712328767,11.9375,6.485259728800382,-0.002016023634991636,0.0024848565122007208,-0.15568020070207728,0.08307460230507713,-7.180000000000064
2017,15,0.4958904109589041,12.066666666666666,5.470730197047638,-0.0023024229965887526,0.002507306532199754,-0.18393722222221875,0.0760320893904552,-7.27699999999993
2018,13,0.4301369863013699,12.076923076923077,10.186427912151908,-0.002130767213458622,0.0028560103042500535,-0.1664105851413525,0.06027475334577522,-7.48599999999999
2019,15,0.4794520547945205,11.666666666666666,4.253103442063089,-0.0017560602213129504,0.0012359581442471844,-0.17880186868686984,0.09234049455464857,-3.84699999999998
2020,12,0.3917808219178082,11.916666666666666,10.111530821569778,-0.0024903027263149117,0.0036514014697110733,-0.19978548150423103,0.07066651978862783,-9.178999999999974
