Year, Number of Drawdowns, Percent of Year in Drawdown, Average Days of Drawdown, SD of Drawdown, Average Percent Difference, SD Percent Difference, Average Rate of Change, SD Rate of Change, Max Daily Drawdown
2000,15,0.410958904109589,10.0,0.0,-0.00027185256807118715,2.1235348284939577e-07,-0.11111111111111115,2.7755575615628914e-17,-0.38999999999987267
2001,19,0.5506849315068493,10.578947368421053,1.3500795093032274,-0.00031589040261582836,9.940552778209352e-05,-0.1185335132703554,0.017308711657733688,-0.20000000000027285
2002,24,0.726027397260274,11.041666666666666,1.7672758383707081,-0.00040082086404986993,0.00017712737059694372,-0.14086284086284087,0.04206345760529158,-0.25
2003,21,0.6438356164383562,11.19047619047619,1.7076591501943912,-0.0004089034381557797,0.0001833310658315926,-0.1390857819429248,0.03764902713718727,-0.2800000000002001
2004,15,0.5342465753424658,13.0,7.0710678118654755,-0.0006326673548371371,0.000544180070696137,-0.18065867855341544,0.08185869254281287,-0.8600000000001273
2005,14,0.4136986301369863,10.785714285714286,1.9338551958115546,-0.00039880067135265103,0.00013809918844449398,-0.14539072039072037,0.04110257418598798,-0.2199999999997999
2006,15,0.4684931506849315,11.4,1.5832456116050555,-0.0004071877315630738,0.00013874784678614282,-0.13734783734783737,0.0289658645719713,-0.2300000000000182
2007,15,0.44931506849315067,10.933333333333334,1.9482185594936612,-0.00037002659401959206,0.00013071065605986632,-0.1317793317793318,0.02613242022595862,-0.23999999999978172
2008,16,0.4794520547945205,10.9375,1.4347800354061246,-0.000397676386614501,0.00016984907642611486,-0.14250679875679878,0.05573190389616013,-0.7600000000002183
2009,17,0.4958904109589041,10.647058823529411,1.2338927625531195,-0.00034049177416983127,0.00011681780603364905,-0.1252113899172723,0.02604496074732695,-0.22000000000025466
2010,15,0.44931506849315067,10.933333333333334,1.4817407180595248,-0.0003673812011702612,0.0001298355835310896,-0.13115255115255117,0.030127310024931055,-0.20000000000027285
2011,16,0.5041095890410959,11.5,1.4577379737113252,-0.0004982622304951864,0.00017456768015815352,-0.16840936840936846,0.04117260703904595,-0.27999999999974534
2012,18,0.5616438356164384,11.38888888888889,1.603429965517979,-0.00045954438264103576,0.00020598180185971737,-0.1552453719120386,0.047648269037789154,-0.7300000000000182
2013,20,0.6054794520547945,11.05,1.961504524593303,-0.00044486715122500804,0.0001847652253810546,-0.15705128205128208,0.054585130659840636,-0.7000000000002728
2014,13,0.39452054794520547,11.076923076923077,2.463941135084149,-0.0004063504363554276,0.00023359210352450694,-0.13808200346661886,0.0407355669249878,-0.650000000000091
2015,15,0.4657534246575342,11.333333333333334,1.4452988925785866,-0.0004255370099164593,0.00013813473324057155,-0.1453405853405854,0.0340578608481656,-0.21000000000003638
2016,17,0.547945205479452,11.764705882352942,2.43816256188973,-0.0004729935613749047,0.00020714532084431747,-0.1532815653558688,0.03791608914056735,-0.6100000000001273
2017,16,0.4575342465753425,10.4375,1.9990231989649345,-0.0003454346482519607,0.00011991236020054607,-0.1341613247863248,0.03986645513879864,-0.24000000000023647
2018,23,0.7534246575342466,11.956521739130435,2.440211339200397,-0.0004949903585367123,0.00023186333523772965,-0.15603855844130443,0.0445236700331664,-0.7599999999997635
2019,16,0.4767123287671233,10.875,1.4086784586980805,-0.0003647397155516648,0.0001302368097045011,-0.12975427350427354,0.0289673281910427,-0.2600000000002183
2020,21,0.6301369863013698,10.952380952380953,1.361938061530961,-0.00041001414381057293,0.00013890638510936177,-0.1456016206016206,0.037444283637891276,-0.2800000000002001
