Start Date, End Date, Duration, Start Elevation, Min Elevation, Percent Difference, Rate of Change, Drawdown
2/5/97,2/13/97,10,2062.76,2062.49,-0.00013089259051001404,-0.05400000000008731,-0.27000000000043656
3/24/97,4/17/97,26,2082.19,2064.97,-0.00827013865209239,-0.7175000000000106,-17.220000000000255
4/23/97,5/6/97,15,2067.66,2064.85,-0.0013590242109437459,-0.2554545454545405,-2.8099999999999454
6/23/98,7/8/98,17,2066.33,2064.69,-0.0007936776797509947,-0.10933333333332484,-1.6399999999998727
8/23/98,10/4/98,44,2067.12,2063.21,-0.0018915205696814188,-0.09774999999999637,-3.9099999999998545
3/4/99,3/15/99,13,2068.92,2065.55,-0.0016288691684549865,-0.3369999999999891,-3.369999999999891
3/19/99,3/31/99,14,2067.15,2064.82,-0.0011271557458336005,-0.2329999999999927,-2.3299999999999272
4/19/99,4/27/99,10,2064.94,2064.52,-0.0002033957403121024,-0.06000000000001039,-0.42000000000007276
5/22/99,5/30/99,10,2065.17,2064.17,-0.0004842216379281124,-0.16666666666666666,-1.0
7/29/99,8/11/99,15,2063.52,2062.55,-0.0004700705590446421,-0.07461538461536922,-0.9699999999997999
3/21/01,4/5/01,17,2067.73,2064.31,-0.0016539877063253292,-0.26307692307692865,-3.4200000000000728
6/24/01,7/25/01,33,2066.5,2063.92,-0.001248487781272648,-0.08599999999999758,-2.5799999999999272
7/31/01,9/15/01,48,2066.18,2061.96,-0.0020424164400002906,-0.09813953488371628,-4.2199999999998
8/16/02,8/25/02,11,2060.62,2060.15,-0.0002280866923546311,-0.07833333333329999,-0.4699999999997999
3/20/03,4/17/03,30,2070.32,2065.04,-0.002550330383708895,-0.211200000000008,-5.2800000000002
3/13/04,3/27/04,16,2068.73,2066.19,-0.0012278064319654878,-0.19538461538461258,-2.5399999999999636
7/5/05,7/13/05,10,2066.23,2064.84,-0.0006727227849754736,-0.27799999999997455,-1.3899999999998727
5/2/06,9/13/06,136,2065.16,2058.18,-0.003379883398864988,-0.052089552238806104,-6.980000000000018
3/24/09,4/11/09,20,2080.3,2065.02,-0.007345094457530259,-0.8988235294117765,-15.2800000000002
4/16/09,5/10/09,26,2082.73,2064.3,-0.008848962659586138,-0.8776190476190399,-18.429999999999836
9/27/09,10/6/09,11,2062.49,2062.02,-0.00022787989275089817,-0.07833333333329999,-0.4699999999997999
4/2/10,4/25/10,25,2068.9,2064.08,-0.0023297404417807355,-0.21909090909091652,-4.820000000000164
6/1/10,6/14/10,15,2065.34,2063.93,-0.0006826963115033405,-0.14100000000003093,-1.4100000000003092
10/26/10,11/3/10,10,2062.72,2062.42,-0.00014543903195767102,-0.05999999999994543,-0.29999999999972715
3/26/11,4/1/11,7,2066.85,2065.55,-0.0006289764617653566,-0.25999999999994544,-1.2999999999997272
4/10/11,4/25/11,17,2073.04,2065.92,-0.003434569521089748,-0.5476923076922993,-7.119999999999891
4/26/11,5/5/11,11,2065.97,2064.3,-0.000808337003925332,-0.20874999999995225,-1.669999999999618
5/8/11,5/20/11,14,2065.15,2064.12,-0.0004987531172070794,-0.09363636363638182,-1.0300000000002
5/25/11,6/2/11,10,2068.98,2067.17,-0.0008748272095428401,-0.3619999999999891,-1.8099999999999454
6/3/11,6/11/11,10,2067.98,2065.99,-0.0009622917049489049,-0.24875000000002956,-1.9900000000002365
6/15/11,7/23/11,40,2067.2,2065.07,-0.001030379256965777,-0.05916666666665707,-2.1299999999996544
8/17/11,10/12/11,58,2065.22,2062.05,-0.0015349454295424305,-0.05870370370369663,-3.169999999999618
7/12/12,8/10/12,31,2064.84,2062.41,-0.001176846632184717,-0.08678571428572468,-2.430000000000291
6/3/13,6/20/13,19,2069.97,2064.2,-0.002787480011787602,-0.3394117647058813,-5.769999999999982
10/19/13,11/2/13,16,2066.77,2063.58,-0.0015434712135361237,-0.26583333333333786,-3.1900000000000546
12/7/13,1/24/14,50,2064.46,2062.48,-0.0009590885752206476,-0.04212765957446847,-1.9800000000000182
3/18/14,4/5/14,20,2066.71,2062.48,-0.0020467312782151427,-0.235000000000001,-4.230000000000018
4/10/14,5/10/14,32,2070.88,2062.02,-0.004278374410878528,-0.316428571428576,-8.860000000000127
6/3/14,6/12/14,11,2064.99,2063.41,-0.0007651368771761255,-0.22571428571427532,-1.5799999999999272
6/30/14,7/22/14,24,2066.76,2064.26,-0.001209622791228783,-0.125,-2.5
8/26/14,9/29/14,36,2068.12,2062.1,-0.0029108562365820078,-0.17705882352941124,-6.019999999999982
10/11/15,10/19/15,10,2062.31,2061.94,-0.00017941046690356487,-0.04624999999998636,-0.36999999999989086
11/18/15,12/9/15,23,2062.26,2061.87,-0.0001891129149575356,-0.020526315789490917,-0.3900000000003274
3/31/18,5/3/18,35,2067.41,2062.15,-0.0025442461824213697,-0.16967741935483108,-5.2599999999997635
6/28/18,7/2/18,5,2063.42,2063.15,-0.0001308507235560292,-0.08999999999999393,-0.2699999999999818
3/26/19,4/19/19,26,2078.55,2063.98,-0.0070096942580164835,-0.6938095238095316,-14.570000000000164
9/26/19,10/5/19,11,2063.95,2062.41,-0.0007461421061556548,-0.2199999999999948,-1.5399999999999636
10/11/19,10/19/19,10,2063.79,2062.7,-0.0005281545118447834,-0.2725000000000364,-1.0900000000001455
3/19/20,4/10/20,46,2065.12,2063.6,-0.0007360347098473609,-0.03707317073170687,-1.5199999999999818
