Year, Number of Drawdowns, Percent of Year in Drawdown, Average Days of Drawdown, SD of Drawdown, Average Percent Difference, SD Percent Difference, Average Rate of Change, SD Rate of Change, Max Daily Drawdown
1997,3,0.13972602739726028,17.0,6.683312551921141,-0.003108912753592161,0.003480268310308951,-0.2911523809523902,0.27156791444164835,-16.639999999999873
1998,2,0.16712328767123288,30.5,13.5,-0.0012772834716269714,0.0005223217762540418,-0.09200581395348434,0.0054941860465122505,-3.7199999999998
1999,5,0.16986301369863013,12.4,2.0591260281974,-0.0006946593888957815,0.0004994551606368743,-0.12161172161172648,0.08163530002484518,-3.099999999999909
2001,3,0.2684931506849315,32.666666666666664,12.657891697365017,-0.0015708928198293248,0.0003758457761692343,-0.12076241134751424,0.05647216840653737,-4.2199999999998
2002,1,0.030136986301369864,11.0,0.0,-0.00021838087565869405,0.0,-0.04499999999998181,0.0,-0.4499999999998181
2003,1,0.0821917808219178,30.0,0.0,-0.0025406700413463704,0.0,-0.18137931034483512,0.0,-5.260000000000218
2004,1,0.043835616438356165,16.0,0.0,-0.0011117932257956244,0.0,-0.15333333333334545,0.0,-2.300000000000182
2005,1,0.0273972602739726,10.0,0.0,-0.0006485241236455503,0.0,-0.14888888888890506,0.0,-1.3400000000001455
2006,1,0.3726027397260274,136.0,0.0,-0.0033556721997326294,0.0,-0.05133333333333212,0.0,-6.929999999999836
2009,3,0.15616438356164383,19.0,6.164414002968976,-0.004924358590471716,0.0035609676349127556,-0.46914736842105026,0.30318620518397,-18.389999999999873
2010,3,0.136986301369863,16.666666666666668,6.236095644623236,-0.0009864796045952642,0.0009238587813444121,-0.10249338624339394,0.06963877634174696,-4.690000000000055
2011,8,0.4575342465753425,20.875,17.076573865972062,-0.0010226725088704335,0.0009878725579792178,-0.13776350230544224,0.12564449636309316,-7.070000000000164
2012,1,0.08493150684931507,31.0,0.0,-0.00115747467116112,0.0,-0.07966666666667759,0.0,-2.3900000000003274
2013,3,0.2328767123287671,28.333333333333332,15.369522511198006,-0.0017069461321201336,0.000724528571537287,-0.18505517762660198,0.11076446398636663,-5.539999999999964
2014,5,0.336986301369863,24.6,8.845337754998392,-0.0021705666852607783,0.001242626250295689,-0.18119697139060412,0.06047190817459706,-8.650000000000091
2015,2,0.09041095890410959,16.5,6.5,-0.00016729037176596811,1.6973494089990467e-05,-0.025858585858585307,0.008585858585853073,-0.38000000000010914
2018,2,0.1095890410958904,20.0,15.0,-0.001296420178846884,0.0011801084245747359,-0.10529411764708678,0.04529411764702766,-5.119999999999891
2019,3,0.12876712328767123,15.666666666666666,7.318166133366716,-0.0025983092335929918,0.0030897671724209245,-0.25247407407407585,0.23144129215565037,-14.480000000000018
2020,1,0.12602739726027398,46.0,0.0,-0.0007360347098473609,0.0,-0.03377777777777737,0.0,-1.5199999999999818
