Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference, Rate of Change, Drawdown
1/1/97,4/10/97,101,5953.13,5835.0,-0.019843342913727753,-1.1813000000000011,-118.13000000000011
5/31/97,8/14/97,77,5991.2,5912.85,-0.013077513686740462,-1.0309210526315717,-78.34999999999945
10/29/97,11/6/97,10,5912.8,5843.7,-0.011686510621025633,-7.677777777777818,-69.10000000000036
11/29/97,12/7/97,10,5843.7,5834.7,-0.0015401201293700909,-1.0,-9.0
3/31/98,4/21/98,23,5901.2,5893.87,-0.0012421202467294665,-0.33318181818181486,-7.329999999999927
5/21/98,5/29/98,10,5914.34,5907.65,-0.0011311490377625415,-0.7433333333333899,-6.690000000000509
6/21/98,8/13/98,55,5919.43,5841.23,-0.013210731438669049,-1.4481481481481617,-78.20000000000073
8/18/98,9/3/98,18,5853.7,5835.0,-0.003194560705194974,-1.0999999999999892,-18.699999999999818
7/3/99,10/7/99,98,5996.3,5971.97,-0.004057502126311213,-0.25082474226804047,-24.329999999999927
6/1/00,10/12/00,135,5992.1,5957.85,-0.005715859214632599,-0.2555970149253731,-34.25
5/30/01,10/18/01,143,5984.9,5943.7,-0.00688399137830203,-0.29014084507042126,-41.19999999999982
6/6/02,9/30/02,118,5973.0,5941.9,-0.005206763770299743,-0.2658119658119689,-31.100000000000364
10/11/02,10/19/02,10,5941.6,5940.8,-0.00013464386697189005,-0.0888888888889091,-0.8000000000001819
6/2/03,10/21/03,143,5960.3,5921.1,-0.006576850158549035,-0.27605633802816776,-39.19999999999982
6/4/04,10/14/04,134,5959.7,5931.4,-0.004748561169186399,-0.2127819548872194,-28.300000000000182
7/5/05,10/6/05,95,6000.2,5982.5,-0.002949901669944305,-0.18829787234042358,-17.699999999999818
4/5/06,4/13/06,10,5988.4,5987.7,-0.00011689265914097557,-0.07777777777775757,-0.6999999999998181
4/19/06,4/23/06,5,5989.2,5989.0,-3.3393441528053516e-05,-0.049999999999954525,-0.1999999999998181
6/27/06,10/6/06,103,6004.8,5985.5,-0.0032140953903544134,-0.18921568627451157,-19.300000000000182
10/10/06,10/20/06,12,5985.4,5985.1,-5.0121963444259766e-05,-0.027272727272661126,-0.2999999999992724
5/12/07,10/6/07,149,5998.4,5974.2,-0.004034409175780178,-0.1635135135135123,-24.199999999999818
7/2/08,10/14/08,106,6005.1,5984.2,-0.0034803750145710388,-0.19904761904762425,-20.900000000000546
7/12/09,10/4/09,86,6004.8,5987.4,-0.0028976818545164776,-0.2047058823529476,-17.400000000000546
7/2/10,10/10/10,102,6002.0,5981.2,-0.0034655114961679744,-0.20594059405940773,-20.800000000000182
3/18/11,4/16/11,31,5987.4,5978.3,-0.001519858369241984,-0.30333333333331514,-9.099999999999454
5/29/11,6/6/11,10,6003.7,6002.4,-0.00021653313789832637,-0.14444444444446466,-1.300000000000182
7/21/11,10/9/11,82,6005.3,5994.1,-0.0018650192330108102,-0.13827160493826937,-11.199999999999818
6/4/12,10/11/12,131,6005.16,5981.51,-0.003938279746084973,-0.18192307692307413,-23.649999999999636
5/23/13,9/13/13,115,5991.46,5962.82,-0.004780137061751281,-0.25122807017544146,-28.640000000000327
7/4/14,9/28/14,88,5990.51,5975.24,-0.0025490317185015024,-0.17551724137931538,-15.270000000000437
6/19/15,10/3/15,108,5985.89,5965.29,-0.00344142642113376,-0.1925233644859847,-20.600000000000364
6/22/16,10/6/16,108,5998.76,5978.75,-0.003335689375804369,-0.18700934579439457,-20.01000000000022
2/28/17,3/17/17,19,5986.71,5980.32,-0.0010673642117290344,-0.3550000000000182,-6.390000000000327
6/26/17,10/13/17,111,6005.5,5990.39,-0.002516026975272612,-0.13736363636363338,-15.109999999999673
6/19/18,10/3/18,108,6000.02,5977.98,-0.003673321088929849,-0.2059813084112231,-22.040000000000873
7/15/19,9/29/19,78,6002.8,5987.71,-0.0025138268807889893,-0.19597402597402785,-15.090000000000146
7/5/20,10/26/20,115,6000.39,5979.92,-0.00341144492274673,-0.17956140350877417,-20.470000000000255
