Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference, Rate of Change, Drawdown
1/3/97,4/11/97,99,5953.0,5835.0,-0.019821938518394085,-1.2040816326530612,-118.0
5/29/97,6/7/97,10,5992.0,5990.0,-0.0003337783711615487,-0.2222222222222222,-2.0
6/10/97,8/15/97,67,5989.0,5913.0,-0.012689931541158791,-1.1515151515151516,-76.0
10/29/97,11/7/97,10,5913.0,5844.0,-0.011669203450025367,-7.666666666666667,-69.0
11/29/97,12/5/97,7,5844.0,5834.0,-0.0017111567419575632,-1.6666666666666667,-10.0
4/4/98,4/21/98,18,5900.0,5893.0,-0.0011864406779661016,-0.4117647058823529,-7.0
5/22/98,5/27/98,6,5914.0,5907.0,-0.0011836320595197836,-1.4,-7.0
6/22/98,8/12/98,52,5919.0,5835.0,-0.01419158641662443,-1.6470588235294117,-84.0
8/18/98,9/4/98,18,5854.0,5835.0,-0.0032456440040997607,-1.1176470588235294,-19.0
7/6/99,7/24/99,19,5996.0,5992.0,-0.00066711140760507,-0.2222222222222222,-4.0
7/27/99,9/15/99,51,5991.0,5975.0,-0.002670672675680187,-0.32,-16.0
9/16/99,9/28/99,13,5975.0,5973.0,-0.00033472803347280337,-0.16666666666666666,-2.0
9/29/99,10/8/99,10,5973.0,5972.0,-0.00016742005692281934,-0.1111111111111111,-1.0
6/3/00,6/18/00,16,5992.0,5988.0,-0.0006675567423230974,-0.26666666666666666,-4.0
6/22/00,8/27/00,67,5987.0,5968.0,-0.0031735426757975613,-0.2878787878787879,-19.0
8/31/00,9/20/00,21,5967.0,5962.0,-0.0008379420144126027,-0.25,-5.0
9/24/00,10/3/00,10,5961.0,5959.0,-0.00033551417547391375,-0.2222222222222222,-2.0
5/31/01,9/29/01,122,5985.0,5945.0,-0.006683375104427736,-0.3305785123966942,-40.0
10/3/01,10/12/01,10,5945.0,5944.0,-0.0001682085786375105,-0.1111111111111111,-1.0
6/7/02,6/18/02,12,5973.0,5970.0,-0.0005022601707684581,-0.2727272727272727,-3.0
6/24/02,7/6/02,13,5970.0,5967.0,-0.0005025125628140704,-0.25,-3.0
7/7/02,7/19/02,13,5967.0,5964.0,-0.0005027652086475615,-0.25,-3.0
7/23/02,9/11/02,51,5963.0,5945.0,-0.003018614791212477,-0.36,-18.0
9/16/02,9/27/02,12,5944.0,5942.0,-0.00033647375504710633,-0.18181818181818182,-2.0
10/11/02,10/20/02,10,5942.0,5941.0,-0.0001682935038707506,-0.1111111111111111,-1.0
5/30/03,6/26/03,28,5961.0,5954.0,-0.0011742996141586982,-0.25925925925925924,-7.0
6/29/03,8/8/03,41,5953.0,5937.0,-0.0026877204770703847,-0.4,-16.0
8/13/03,9/11/03,30,5936.0,5928.0,-0.0013477088948787063,-0.27586206896551724,-8.0
9/14/03,9/29/03,16,5927.0,5924.0,-0.0005061582588155897,-0.2,-3.0
9/30/03,10/10/03,11,5924.0,5922.0,-0.00033760972316002703,-0.2,-2.0
10/12/03,10/21/03,10,5922.0,5921.0,-0.00016886187098953058,-0.1111111111111111,-1.0
6/5/04,6/14/04,10,5960.0,5958.0,-0.0003355704697986577,-0.2222222222222222,-2.0
6/19/04,6/28/04,10,5958.0,5957.0,-0.00016784155756965425,-0.1111111111111111,-1.0
7/3/04,8/31/04,60,5957.0,5938.0,-0.0031895249286553636,-0.3220338983050847,-19.0
9/7/04,9/25/04,19,5937.0,5933.0,-0.00067374094660603,-0.2222222222222222,-4.0
9/28/04,10/7/04,10,5933.0,5932.0,-0.00016854879487611664,-0.1111111111111111,-1.0
10/10/04,10/19/04,10,5932.0,5931.0,-0.00016857720836142953,-0.1111111111111111,-1.0
11/27/04,12/4/04,8,5935.0,5934.0,-0.00016849199663016007,-0.14285714285714285,-1.0
7/1/05,7/10/05,10,6001.0,6000.0,-0.00016663889351774705,-0.1111111111111111,-1.0
7/14/05,8/3/05,21,5999.0,5994.0,-0.000833472245374229,-0.25,-5.0
8/6/05,8/18/05,13,5993.0,5990.0,-0.0005005840146837978,-0.25,-3.0
8/21/05,9/3/05,14,5989.0,5986.0,-0.0005009183503088997,-0.23076923076923078,-3.0
9/7/05,9/16/05,10,5985.0,5984.0,-0.0001670843776106934,-0.1111111111111111,-1.0
9/20/05,9/29/05,10,5984.0,5983.0,-0.00016711229946524063,-0.1111111111111111,-1.0
10/2/05,10/11/05,10,5983.0,5982.0,-0.00016714023065351831,-0.1111111111111111,-1.0
4/8/06,4/13/06,6,5988.0,5987.0,-0.00016700066800267202,-0.2,-1.0
6/8/06,6/17/06,10,6006.0,6005.0,-0.0001665001665001665,-0.1111111111111111,-1.0
6/28/06,7/13/06,16,6005.0,6002.0,-0.0004995836802664446,-0.2,-3.0
7/14/06,8/29/06,47,6002.0,5990.0,-0.001999333555481506,-0.2608695652173913,-12.0
9/3/06,9/14/06,12,5989.0,5987.0,-0.0003339455668725998,-0.18181818181818182,-2.0
9/16/06,9/25/06,10,5987.0,5986.0,-0.00016702856188408218,-0.1111111111111111,-1.0
10/8/06,10/17/06,10,5986.0,5985.0,-0.0001670564650851988,-0.1111111111111111,-1.0
5/18/07,5/27/07,10,5998.0,5996.0,-0.00033344448149383126,-0.2222222222222222,-2.0
5/28/07,6/7/07,11,5996.0,5994.0,-0.000333555703802535,-0.2,-2.0
6/12/07,6/24/07,13,5993.0,5991.0,-0.0003337226764558652,-0.16666666666666666,-2.0
