Start Date, End Date, Duration, Start Elevation, End Elevation, Drawdown
3/31/98,4/3/98,4,5901.0,5899.0,-2.0
5/13/98,5/14/98,2,5913.0,5912.0,-1.0
5/17/98,5/18/98,2,5913.0,5908.0,-5.0
5/28/98,5/29/98,2,5908.0,5907.0,-1.0
5/30/98,6/1/98,3,5908.0,5907.0,-1.0
6/7/98,6/8/98,2,5916.0,5915.0,-1.0
6/10/98,6/12/98,3,5916.0,5915.0,-1.0
6/14/98,6/15/98,2,5916.0,5915.0,-1.0
6/6/06,6/7/06,2,6006.0,6005.0,-1.0
11/28/08,11/29/08,2,5985.0,5984.0,-1.0
12/8/08,12/9/08,2,5985.0,5984.0,-1.0
11/22/14,11/23/14,2,5976.0,5975.0,-1.0
