Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference, Rate of Change, Drawdown
5/4/97,5/12/97,9,8126.0,8123.0,-0.00036918533103618014,-0.375,-3.0
7/5/97,8/8/97,35,8137.0,8122.0,-0.0018434312400147474,-0.4411764705882353,-15.0
8/19/97,9/13/97,26,8124.0,8113.0,-0.0013540128015755786,-0.44,-11.0
10/7/97,10/20/97,14,8125.0,8120.0,-0.0006153846153846154,-0.38461538461538464,-5.0
3/24/98,4/2/98,10,8136.0,8135.0,-0.00012291052114060964,-0.1111111111111111,-1.0
4/15/98,4/24/98,10,8135.0,8134.0,-0.0001229256299938537,-0.1111111111111111,-1.0
4/26/98,5/26/98,31,8134.0,8118.0,-0.001967051880993361,-0.5333333333333333,-16.0
9/2/98,9/14/98,13,8130.0,8126.0,-0.0004920049200492004,-0.3333333333333333,-4.0
9/15/98,9/27/98,13,8125.0,8122.0,-0.0003692307692307692,-0.25,-3.0
11/1/98,11/7/98,7,8125.0,8124.0,-0.00012307692307692307,-0.16666666666666666,-1.0
4/16/99,5/2/99,17,8138.0,8134.0,-0.0004915212582944212,-0.25,-4.0
5/3/99,5/7/99,5,8134.0,8133.0,-0.00012294074256208508,-0.25,-1.0
5/9/99,5/24/99,16,8134.0,8127.0,-0.0008605851979345956,-0.4666666666666667,-7.0
6/2/99,6/12/99,11,8134.0,8129.0,-0.0006147037128104253,-0.5,-5.0
7/20/99,7/24/99,5,8138.0,8137.0,-0.0001228803145736053,-0.25,-1.0
7/25/99,8/6/99,13,8138.0,8136.0,-0.0002457606291472106,-0.16666666666666666,-2.0
8/7/99,9/2/99,27,8136.0,8126.0,-0.0012291052114060963,-0.38461538461538464,-10.0
9/13/99,9/23/99,11,8129.0,8126.0,-0.0003690490835281092,-0.3,-3.0
9/27/99,10/11/99,15,8125.0,8122.0,-0.0003692307692307692,-0.21428571428571427,-3.0
4/29/00,5/8/00,10,8139.0,8136.0,-0.00036859565057132326,-0.3333333333333333,-3.0
5/10/00,5/21/00,12,8136.0,8131.0,-0.0006145526057030481,-0.45454545454545453,-5.0
6/4/00,8/16/00,74,8138.0,8091.0,-0.00577537478495945,-0.6438356164383562,-47.0
8/19/00,8/29/00,11,8090.0,8087.0,-0.00037082818294190356,-0.3,-3.0
9/11/00,9/21/00,11,8091.0,8088.0,-0.0003707823507601038,-0.3,-3.0
5/5/01,5/11/01,7,8122.0,8120.0,-0.0002462447672986949,-0.3333333333333333,-2.0
6/11/01,7/18/01,38,8138.0,8126.0,-0.0014745637748832638,-0.32432432432432434,-12.0
7/19/01,9/16/01,60,8126.0,8092.0,-0.0041841004184100415,-0.576271186440678,-34.0
9/20/01,9/29/01,10,8092.0,8090.0,-0.00024715768660405336,-0.2222222222222222,-2.0
5/4/02,5/20/02,17,8113.0,8104.0,-0.001109330703808702,-0.5625,-9.0
5/21/02,5/29/02,9,8105.0,8102.0,-0.0003701418877236274,-0.375,-3.0
6/3/02,6/27/02,25,8106.0,8096.0,-0.001233654083395016,-0.4166666666666667,-10.0
6/30/02,7/12/02,13,8096.0,8090.0,-0.0007411067193675889,-0.5,-6.0
7/14/02,7/23/02,10,8090.0,8086.0,-0.0004944375772558715,-0.4444444444444444,-4.0
7/29/02,8/7/02,10,8087.0,8084.0,-0.0003709657474959812,-0.3333333333333333,-3.0
5/13/03,5/22/03,10,8122.0,8118.0,-0.0004924895345973898,-0.4444444444444444,-4.0
6/17/03,6/28/03,12,8138.0,8136.0,-0.0002457606291472106,-0.18181818181818182,-2.0
6/29/03,9/13/03,77,8136.0,8092.0,-0.005408062930186824,-0.5789473684210527,-44.0
9/17/03,9/22/03,6,8092.0,8091.0,-0.00012357884330202668,-0.2,-1.0
4/21/04,5/6/04,16,8116.0,8110.0,-0.0007392804337111878,-0.4,-6.0
5/13/04,5/19/04,7,8114.0,8112.0,-0.00024648755237860487,-0.3333333333333333,-2.0
5/24/04,6/4/04,12,8113.0,8110.0,-0.0003697769012695674,-0.2727272727272727,-3.0
6/12/04,6/21/04,10,8112.0,8110.0,-0.0002465483234714004,-0.2222222222222222,-2.0
7/9/04,7/17/04,9,8116.0,8113.0,-0.0003696402168555939,-0.375,-3.0
7/20/04,7/26/04,7,8114.0,8112.0,-0.00024648755237860487,-0.3333333333333333,-2.0
7/31/04,9/3/04,35,8113.0,8096.0,-0.0020954024405275486,-0.5,-17.0
9/11/04,9/20/04,10,8096.0,8094.0,-0.00024703557312252963,-0.2222222222222222,-2.0
4/21/05,5/19/05,29,8124.0,8100.0,-0.0029542097488921715,-0.8571428571428571,-24.0
6/4/05,6/13/05,10,8130.0,8128.0,-0.0002460024600246002,-0.2222222222222222,-2.0
7/18/05,7/28/05,11,8138.0,8136.0,-0.0002457606291472106,-0.2,-2.0
7/29/05,9/15/05,49,8136.0,8108.0,-0.00344149459193707,-0.5833333333333334,-28.0
9/16/05,9/25/05,10,8108.0,8107.0,-0.000123334977799704,-0.1111111111111111,-1.0
5/3/06,5/14/06,12,8127.0,8119.0,-0.0009843730773963332,-0.7272727272727273,-8.0
6/24/06,9/8/06,77,8138.0,8098.0,-0.004915212582944212,-0.5263157894736842,-40.0
9/9/06,9/18/06,10,8098.0,8097.0,-0.00012348728081007656,-0.1111111111111111,-1.0
4/10/07,4/19/07,10,8123.0,8122.0,-0.00012310722639418935,-0.1111111111111111,-1.0
4/24/07,5/3/07,10,8122.0,8120.0,-0.0002462447672986949,-0.2222222222222222,-2.0
5/4/07,5/11/07,8,8121.0,8118.0,-0.0003694126339120798,-0.42857142857142855,-3.0
5/22/07,7/18/07,58,8128.0,8093.0,-0.004306102362204725,-0.6140350877192983,-35.0
7/30/07,8/17/07,19,8096.0,8088.0,-0.0009881422924901185,-0.4444444444444444,-8.0
8/27/07,9/22/07,27,8088.0,8068.0,-0.002472799208704253,-0.7692307692307693,-20.0
5/2/08,5/18/08,17,8105.0,8094.0,-0.0013571869216533004,-0.6875,-11.0
5/27/08,6/2/08,7,8104.0,8102.0,-0.00024679170779861795,-0.3333333333333333,-2.0
7/7/08,9/4/08,60,8127.0,8088.0,-0.004798818752307124,-0.6610169491525424,-39.0
9/5/08,9/14/08,10,8088.0,8086.0,-0.0002472799208704253,-0.2222222222222222,-2.0
10/25/08,11/5/08,12,8092.0,8089.0,-0.0003707365299060801,-0.2727272727272727,-3.0
4/28/09,5/7/09,10,8105.0,8104.0,-0.00012338062924120913,-0.1111111111111111,-1.0
