Year, Number of Drawdowns, Percent of Year in Drawdown, Average Days of Drawdown, SD of Drawdown, Average Percent Difference, SD Percent Difference, Average Rate of Change, SD Rate of Change, Max Daily Drawdown
1998,1,0.08767123287671233,32.0,0.0,-0.0018065626152144302,0.0,-0.4741935483870909,0.0,-14.699999999999818
2001,1,0.16164383561643836,59.0,0.0,-0.0029085531180675825,0.0,-0.4068965517241442,0.0,-23.600000000000364
2003,1,0.15342465753424658,56.0,0.0,-0.003153874584206032,0.0,-0.46545454545455206,0.0,-25.600000000000364
2005,2,0.12054794520547946,22.0,2.0,-0.0015663153407419516,2.435796625685862e-05,-0.611910755148771,0.06756292906179551,-12.910000000000764
2006,1,0.0958904109589041,35.0,0.0,-0.0020828198175991664,0.0,-0.49705882352940106,0.0,-16.899999999999636
2007,2,0.0958904109589041,17.5,7.5,-0.0015268046922515789,0.000493003734221489,-0.8051388888888609,0.12263888888885632,-16.38000000000011
2008,2,0.1917808219178082,35.0,24.0,-0.002389540061711082,0.0019204332164545937,-0.4917241379310436,0.11172413793102537,-35.0
2009,1,0.12602739726027398,46.0,0.0,-0.004281247691966782,0.0,-0.7728888888888832,0.0,-34.779999999999745
2010,2,0.13150684931506848,24.0,15.0,-0.00195553795991253,0.0017232071504991642,-0.5102631578947485,0.2752631578947348,-29.850000000000364
2011,2,0.17534246575342466,32.0,5.0,-0.0022175219851922777,0.0008857247728580494,-0.5576602564102519,0.1415064102564169,-25.170000000000073
2012,1,0.07397260273972603,27.0,0.0,-0.0022746466284065537,0.0,-0.7096153846153777,0.0,-18.449999999999818
2013,1,0.15616438356164383,57.0,0.0,-0.002853829165072882,0.0,-0.4130357142857,0.0,-23.1299999999992
2014,1,0.13424657534246576,49.0,0.0,-0.003808778644266722,0.0,-0.6450000000000008,0.0,-30.960000000000036
2016,1,0.08767123287671233,32.0,0.0,-0.0006801385952114069,0.0,-0.177741935483878,0.0,-5.510000000000218
2017,1,0.049315068493150684,18.0,0.0,-0.0007012035067568906,0.0,-0.33470588235291765,0.0,-5.6899999999996
2018,1,0.2191780821917808,80.0,0.0,-0.005070502251642597,0.0,-0.5216455696202537,0.0,-41.210000000000036
2019,2,0.12876712328767123,23.5,7.5,-0.0014446155913984257,0.0008075895646876821,-0.4771666666666988,0.1331666666666479,-18.3100000000004
2020,1,0.13972602739726028,51.0,0.0,-0.002863376392860723,0.0,-0.46460000000000945,0.0,-23.230000000000473
