Start Date, End Date, Duration, Start Elevation, Min Elevation, Percent Difference, Rate of Change, Drawdown
6/12/01,6/28/01,18,6072.97,6069.63,-0.0005499780173457378,-0.23857142857143895,-3.3400000000001455
6/7/02,11/9/02,157,6044.23,6012.57,-0.005238053482412128,-0.20558441558441465,-31.659999999999854
6/30/03,9/8/03,72,6017.05,5999.28,-0.0029532744451185276,-0.2538571428571491,-17.770000000000437
9/29/03,11/4/03,38,5999.66,5996.4,-0.0005433641239670612,-0.09055555555556162,-3.2600000000002183
8/9/04,9/19/04,43,6027.12,6019.65,-0.0012393979213953356,-0.18675000000000636,-7.470000000000255
6/4/05,6/18/05,16,6074.99,6072.39,-0.0004279842435953729,-0.21666666666662118,-2.5999999999994543
5/29/06,7/9/06,43,6077.8,6068.24,-0.0015729375760966796,-0.2451282051282154,-9.5600000000004
5/3/07,5/21/07,20,6079.88,6075.35,-0.000745080495009728,-0.2516666666666525,-4.529999999999745
2/10/08,3/26/08,47,6067.6,6057.53,-0.0016596347814622945,-0.22886363636365042,-10.070000000000618
5/27/08,6/25/08,31,6066.7,6060.97,-0.0009445003049433075,-0.21222222222220605,-5.729999999999563
5/29/09,6/12/09,16,6072.86,6068.46,-0.0007245350625569561,-0.36666666666663633,-4.399999999999636
7/14/09,3/5/10,236,6068.93,6048.99,-0.003285587409971858,-0.08557939914163308,-19.94000000000051
7/7/10,8/4/10,30,6073.35,6069.45,-0.0006421497196770392,-0.15000000000002098,-3.9000000000005457
6/10/11,6/18/11,10,6068.25,6067.15,-0.00018127137148277737,-0.18333333333339397,-1.1000000000003638
8/11/11,9/16/11,38,6064.52,6058.84,-0.0009365951468542095,-0.16705882352942034,-5.680000000000291
5/21/12,1/26/13,252,6061.51,6023.49,-0.006272364476838352,-0.15269076305221058,-38.02000000000044
6/17/13,8/9/13,55,6028.66,6016.17,-0.002071770509532762,-0.24490196078430945,-12.489999999999782
8/16/13,8/26/13,12,6015.99,6014.62,-0.000227726442364414,-0.1522222222222101,-1.3699999999998909
9/6/13,9/11/13,6,6014.06,6013.56,-8.313851208667688e-05,-0.125,-0.5
7/23/14,9/22/14,63,6043.57,6035.2,-0.0013849430055414087,-0.14186440677965917,-8.36999999999989
8/7/15,10/19/15,75,6068.16,6062.49,-0.0009343853820598126,-0.07985915492957849,-5.670000000000073
6/13/16,8/5/16,55,6075.34,6060.76,-0.0023998656865294662,-0.280384615384614,-14.579999999999927
5/12/17,9/27/17,140,6078.28,6054.78,-0.0038662253137400713,-0.17153284671532848,-23.5
6/5/18,2/14/19,256,6049.33,6014.93,-0.005686580166729148,-0.13596837944663887,-34.399999999999636
8/20/19,3/11/20,206,6071.32,6055.58,-0.002592516948538338,-0.0783084577114417,-15.739999999999782
