Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference, Rate of Change, Drawdown
1/15/01,1/24/01,10,6055.0,6054.0,-0.00016515276630883568,-0.1111111111111111,-1.0
2/5/01,2/14/01,10,6054.0,6053.0,-0.00016518004625041294,-0.1111111111111111,-1.0
6/5/01,6/24/01,20,6074.0,6070.0,-0.0006585446163977609,-0.21052631578947367,-4.0
7/16/01,7/25/01,10,6070.0,6069.0,-0.00016474464579901152,-0.1111111111111111,-1.0
7/28/01,8/6/01,10,6069.0,6068.0,-0.00016477179106936892,-0.1111111111111111,-1.0
9/4/01,9/13/01,10,6068.0,6067.0,-0.00016479894528675015,-0.1111111111111111,-1.0
9/23/01,10/2/01,10,6066.0,6065.0,-0.00016485328058028355,-0.1111111111111111,-1.0
10/13/01,10/22/01,10,6064.0,6063.0,-0.00016490765171503957,-0.1111111111111111,-1.0
10/27/01,11/5/01,10,6063.0,6062.0,-0.00016493485073396007,-0.1111111111111111,-1.0
11/10/01,11/19/01,10,6062.0,6061.0,-0.0001649620587264929,-0.1111111111111111,-1.0
11/30/01,12/9/01,10,6061.0,6060.0,-0.00016498927569707968,-0.1111111111111111,-1.0
12/18/01,12/27/01,10,6060.0,6059.0,-0.00016501650165016502,-0.1111111111111111,-1.0
1/7/02,1/16/02,10,6059.0,6058.0,-0.00016504373659019642,-0.1111111111111111,-1.0
1/26/02,2/4/02,10,6058.0,6057.0,-0.0001650709805216243,-0.1111111111111111,-1.0
2/12/02,2/21/02,10,6057.0,6056.0,-0.0001650982334489021,-0.1111111111111111,-1.0
3/2/02,3/11/02,10,6056.0,6055.0,-0.00016512549537648613,-0.1111111111111111,-1.0
3/19/02,3/28/02,10,6055.0,6054.0,-0.00016515276630883568,-0.1111111111111111,-1.0
4/2/02,4/11/02,10,6054.0,6053.0,-0.00016518004625041294,-0.1111111111111111,-1.0
4/14/02,4/27/02,14,6053.0,6051.0,-0.00033041467041136624,-0.15384615384615385,-2.0
4/28/02,5/9/02,12,6051.0,6049.0,-0.0003305238803503553,-0.18181818181818182,-2.0
5/10/02,5/22/02,13,6049.0,6047.0,-0.00033063316250619935,-0.16666666666666666,-2.0
5/24/02,6/5/02,13,6047.0,6045.0,-0.000330742516950554,-0.16666666666666666,-2.0
6/10/02,6/19/02,10,6044.0,6042.0,-0.00033090668431502316,-0.2222222222222222,-2.0
6/23/02,9/8/02,78,6041.0,6019.0,-0.0036417811620592616,-0.2857142857142857,-22.0
9/17/02,9/29/02,13,6018.0,6016.0,-0.00033233632436025255,-0.16666666666666666,-2.0
9/30/02,10/9/02,10,6016.0,6015.0,-0.00016622340425531914,-0.1111111111111111,-1.0
10/14/02,10/27/02,14,6015.0,6013.0,-0.00033250207813798836,-0.15384615384615385,-2.0
11/17/02,11/26/02,10,6013.0,6012.0,-0.00016630633627141194,-0.1111111111111111,-1.0
12/13/02,12/22/02,10,6012.0,6011.0,-0.00016633399866932801,-0.1111111111111111,-1.0
1/1/03,1/10/03,10,6011.0,6010.0,-0.00016636167027116953,-0.1111111111111111,-1.0
1/23/03,2/1/03,10,6010.0,6009.0,-0.00016638935108153079,-0.1111111111111111,-1.0
2/17/03,2/26/03,10,6009.0,6008.0,-0.00016641704110500916,-0.1111111111111111,-1.0
6/17/03,6/26/03,10,6019.0,6018.0,-0.0001661405549094534,-0.1111111111111111,-1.0
6/27/03,8/4/03,39,6018.0,6007.0,-0.0018278497839813892,-0.2894736842105263,-11.0
8/7/03,8/26/03,20,6006.0,6001.0,-0.0008325008325008325,-0.2631578947368421,-5.0
8/27/03,9/8/03,13,6001.0,5999.0,-0.0003332777870354941,-0.16666666666666666,-2.0
9/21/03,10/4/03,14,6001.0,5999.0,-0.0003332777870354941,-0.15384615384615385,-2.0
10/8/03,10/17/03,10,5999.0,5998.0,-0.0001666944490748458,-0.1111111111111111,-1.0
10/19/03,10/28/03,10,5998.0,5997.0,-0.00016672224074691563,-0.1111111111111111,-1.0
10/30/03,11/6/03,8,5997.0,5996.0,-0.00016675004168751042,-0.14285714285714285,-1.0
12/17/03,12/23/03,7,5997.0,5996.0,-0.00016675004168751042,-0.16666666666666666,-1.0
12/25/03,1/3/04,10,5997.0,5996.0,-0.00016675004168751042,-0.1111111111111111,-1.0
7/6/04,7/18/04,13,6032.0,6030.0,-0.0003315649867374005,-0.16666666666666666,-2.0
7/19/04,7/28/04,10,6030.0,6029.0,-0.0001658374792703151,-0.1111111111111111,-1.0
7/29/04,8/11/04,14,6029.0,6027.0,-0.0003317299718029524,-0.15384615384615385,-2.0
8/16/04,8/29/04,14,6026.0,6023.0,-0.0004978426817125788,-0.23076923076923078,-3.0
9/2/04,9/11/04,10,6022.0,6021.0,-0.00016605778811026238,-0.1111111111111111,-1.0
9/13/04,9/19/04,7,6021.0,6020.0,-0.00016608536787908985,-0.16666666666666666,-1.0
6/6/05,6/18/05,13,6075.0,6072.0,-0.0004938271604938272,-0.25,-3.0
7/16/05,7/25/05,10,6077.0,6076.0,-0.0001645548790521639,-0.1111111111111111,-1.0
7/29/05,8/7/05,10,6076.0,6075.0,-0.00016458196181698485,-0.1111111111111111,-1.0
8/24/05,9/2/05,10,6075.0,6074.0,-0.0001646090534979424,-0.1111111111111111,-1.0
9/4/05,9/13/05,10,6074.0,6073.0,-0.00016463615409944023,-0.1111111111111111,-1.0
11/19/05,11/28/05,10,6075.0,6074.0,-0.0001646090534979424,-0.1111111111111111,-1.0
1/7/06,1/16/06,10,6074.0,6073.0,-0.00016463615409944023,-0.1111111111111111,-1.0
2/15/06,2/24/06,10,6073.0,6072.0,-0.00016466326362588507,-0.1111111111111111,-1.0
5/30/06,6/16/06,18,6078.0,6071.0,-0.0011516946363935505,-0.4117647058823529,-7.0
6/17/06,6/26/06,10,6071.0,6070.0,-0.00016471750947125678,-0.1111111111111111,-1.0
7/4/06,7/13/06,10,6069.0,6068.0,-0.00016477179106936892,-0.1111111111111111,-1.0
7/18/06,7/30/06,13,6068.0,6066.0,-0.0003295978905735003,-0.16666666666666666,-2.0
8/29/06,9/7/06,10,6066.0,6065.0,-0.00016485328058028355,-0.1111111111111111,-1.0
5/4/07,5/17/07,14,6080.0,6076.0,-0.0006578947368421052,-0.3076923076923077,-4.0
7/2/07,7/11/07,10,6080.0,6079.0,-0.0001644736842105263,-0.1111111111111111,-1.0
7/19/07,7/28/07,10,6078.0,6077.0,-0.00016452780519907864,-0.1111111111111111,-1.0
8/19/07,8/31/07,13,6077.0,6075.0,-0.0003291097581043278,-0.16666666666666666,-2.0
9/5/07,9/18/07,14,6075.0,6073.0,-0.0003292181069958848,-0.15384615384615385,-2.0
9/22/07,10/1/07,10,6073.0,6072.0,-0.00016466326362588507,-0.1111111111111111,-1.0
11/7/07,11/16/07,10,6072.0,6071.0,-0.00016469038208168644,-0.1111111111111111,-1.0
11/20/07,11/29/07,10,6071.0,6070.0,-0.00016471750947125678,-0.1111111111111111,-1.0
12/23/07,1/1/08,10,6071.0,6070.0,-0.00016471750947125678,-0.1111111111111111,-1.0
1/11/08,1/20/08,10,6070.0,6069.0,-0.00016474464579901152,-0.1111111111111111,-1.0
1/25/08,2/3/08,10,6069.0,6068.0,-0.00016477179106936892,-0.1111111111111111,-1.0
2/10/08,2/29/08,20,6068.0,6063.0,-0.0008239947264337508,-0.2631578947368421,-5.0
3/6/08,3/22/08,17,6062.0,6058.0,-0.0006598482349059716,-0.25,-4.0
5/27/08,6/5/08,10,6067.0,6065.0,-0.00032965221691115873,-0.2222222222222222,-2.0
6/6/08,6/22/08,17,6065.0,6061.0,-0.0006595218466611707,-0.25,-4.0
8/2/08,8/11/08,10,6062.0,6061.0,-0.0001649620587264929,-0.1111111111111111,-1.0
8/21/08,8/31/08,11,6061.0,6059.0,-0.00032997855139415937,-0.2,-2.0
9/14/08,9/23/08,10,6060.0,6059.0,-0.00016501650165016502,-0.1111111111111111,-1.0
10/1/08,10/10/08,10,6058.0,6057.0,-0.0001650709805216243,-0.1111111111111111,-1.0
11/7/08,11/16/08,10,6057.0,6056.0,-0.0001650982334489021,-0.1111111111111111,-1.0
12/4/08,12/13/08,10,6056.0,6055.0,-0.00016512549537648613,-0.1111111111111111,-1.0
12/28/08,1/6/09,10,6055.0,6054.0,-0.00016515276630883568,-0.1111111111111111,-1.0
1/21/09,1/30/09,10,6054.0,6053.0,-0.00016518004625041294,-0.1111111111111111,-1.0
5/30/09,6/12/09,14,6073.0,6068.0,-0.0008233163181294253,-0.38461538461538464,-5.0
7/10/09,7/25/09,16,6070.0,6067.0,-0.0004942339373970346,-0.2,-3.0
8/1/09,8/16/09,16,6066.0,6063.0,-0.0004945598417408506,-0.2,-3.0
8/21/09,9/1/09,12,6062.0,6060.0,-0.0003299241174529858,-0.18181818181818182,-2.0
