Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference, Rate of Change, Drawdown
4/17/97,9/15/97,12,4775.0,4760.0,-0.0031413612565445027,-1.3636363636363635,-15.0
7/8/98,9/7/98,7,4774.0,4758.0,-0.0033514872224549644,-2.6666666666666665,-16.0
6/19/99,6/28/99,10,4775.0,4773.0,-0.000418848167539267,-0.2222222222222222,-2.0
7/1/99,7/31/99,29,4772.0,4765.0,-0.0014668901927912825,-0.25,-7.0
8/1/99,9/3/99,32,4765.0,4755.0,-0.002098635886673662,-0.3225806451612903,-10.0
6/1/00,6/10/00,10,4774.0,4772.0,-0.00041893590280687055,-0.2222222222222222,-2.0
6/14/00,7/13/00,30,4771.0,4763.0,-0.0016767973171242926,-0.27586206896551724,-8.0
7/17/00,8/26/00,41,4762.0,4746.0,-0.0033599328013439733,-0.4,-16.0
5/19/01,5/29/01,11,4770.0,4768.0,-0.0004192872117400419,-0.2,-2.0
5/30/01,8/6/01,69,4768.0,4745.0,-0.004823825503355705,-0.3382352941176471,-23.0
6/17/02,8/1/02,32,4765.0,4746.0,-0.003987408184679958,-0.6129032258064516,-19.0
3/11/03,3/15/03,5,4755.0,4754.0,-0.0002103049421661409,-0.25,-1.0
6/2/03,7/2/03,31,4759.0,4747.0,-0.002521538138264341,-0.4,-12.0
9/30/03,10/9/03,10,4747.0,4745.0,-0.0004213187276174426,-0.2222222222222222,-2.0
6/21/04,7/6/04,16,4753.0,4746.0,-0.0014727540500736377,-0.4666666666666667,-7.0
10/17/04,10/22/04,6,4746.0,4745.0,-0.00021070375052675939,-0.2,-1.0
4/26/05,5/2/05,7,4775.0,4774.0,-0.0002094240837696335,-0.16666666666666666,-1.0
5/8/05,5/13/05,6,4775.0,4774.0,-0.0002094240837696335,-0.2,-1.0
6/24/05,7/5/05,12,4776.0,4774.0,-0.0004187604690117253,-0.18181818181818182,-2.0
7/6/05,7/22/05,17,4774.0,4770.0,-0.0008378718056137411,-0.25,-4.0
7/27/05,8/31/05,36,4769.0,4760.0,-0.001887188089746278,-0.2571428571428571,-9.0
3/3/06,3/8/06,6,4774.0,4769.0,-0.0010473397570171764,-1.0,-5.0
3/28/06,4/4/06,8,4774.0,4771.0,-0.0006284038542103058,-0.42857142857142855,-3.0
6/1/06,6/10/06,10,4775.0,4774.0,-0.0002094240837696335,-0.1111111111111111,-1.0
6/18/06,7/4/06,17,4774.0,4770.0,-0.0008378718056137411,-0.25,-4.0
7/5/06,7/14/06,10,4770.0,4768.0,-0.0004192872117400419,-0.2222222222222222,-2.0
7/16/06,8/5/06,21,4768.0,4763.0,-0.0010486577181208054,-0.25,-5.0
8/6/06,8/15/06,10,4763.0,4761.0,-0.000419903422212891,-0.2222222222222222,-2.0
8/16/06,8/29/06,14,4761.0,4758.0,-0.000630119722747322,-0.23076923076923078,-3.0
9/1/06,9/6/06,6,4758.0,4757.0,-0.0002101723413198823,-0.2,-1.0
2/17/07,2/28/07,12,4774.0,4772.0,-0.00041893590280687055,-0.18181818181818182,-2.0
5/17/07,5/26/07,10,4774.0,4773.0,-0.00020946795140343527,-0.1111111111111111,-1.0
5/27/07,6/7/07,12,4773.0,4771.0,-0.0004190236748376283,-0.18181818181818182,-2.0
6/13/07,6/26/07,14,4771.0,4768.0,-0.0006287989939216097,-0.23076923076923078,-3.0
6/29/07,7/11/07,13,4767.0,4763.0,-0.0008391021606880638,-0.3333333333333333,-4.0
7/16/07,9/6/07,53,4762.0,4745.0,-0.0035699286014279717,-0.3269230769230769,-17.0
5/29/08,6/7/08,10,4771.0,4769.0,-0.00041919932928107315,-0.2222222222222222,-2.0
6/16/08,6/21/08,6,4769.0,4768.0,-0.00020968756552736424,-0.2,-1.0
6/24/08,7/25/08,32,4769.0,4759.0,-0.0020968756552736424,-0.3225806451612903,-10.0
7/27/08,8/25/08,30,4759.0,4746.0,-0.0027316663164530363,-0.4482758620689655,-13.0
10/2/08,10/11/08,10,4750.0,4745.0,-0.0010526315789473684,-0.5555555555555556,-5.0
11/1/08,11/10/08,10,4746.0,4745.0,-0.00021070375052675939,-0.1111111111111111,-1.0
7/2/09,8/1/09,31,4773.0,4765.0,-0.0016760946993505132,-0.26666666666666666,-8.0
8/6/09,9/12/09,38,4764.0,4752.0,-0.0025188916876574307,-0.32432432432432434,-12.0
11/23/09,12/2/09,10,4758.0,4757.0,-0.0002101723413198823,-0.1111111111111111,-1.0
6/23/10,8/30/10,69,4772.0,4746.0,-0.005448449287510477,-0.38235294117647056,-26.0
4/18/11,4/22/11,5,4773.0,4772.0,-0.00020951183741881415,-0.25,-1.0
6/29/11,8/2/11,35,4774.0,4765.0,-0.0018852115626309175,-0.2647058823529412,-9.0
8/9/11,9/11/11,34,4765.0,4754.0,-0.002308499475341028,-0.3333333333333333,-11.0
2/25/12,3/5/12,10,4774.0,4773.0,-0.00020946795140343527,-0.1111111111111111,-1.0
3/15/12,3/21/12,7,4773.0,4772.0,-0.00020951183741881415,-0.16666666666666666,-1.0
5/14/12,5/26/12,13,4774.0,4772.0,-0.00041893590280687055,-0.16666666666666666,-2.0
5/27/12,6/9/12,14,4772.0,4770.0,-0.00041911148365465214,-0.15384615384615385,-2.0
6/10/12,7/14/12,35,4770.0,4759.0,-0.002306079664570231,-0.3235294117647059,-11.0
7/18/12,8/13/12,27,4758.0,4746.0,-0.0025220680958385876,-0.46153846153846156,-12.0
10/21/12,10/30/12,10,4746.0,4745.0,-0.00021070375052675939,-0.1111111111111111,-1.0
11/1/12,11/6/12,6,4746.0,4745.0,-0.00021070375052675939,-0.2,-1.0
11/8/12,11/17/12,10,4746.0,4745.0,-0.00021070375052675939,-0.1111111111111111,-1.0
5/24/13,6/2/13,10,4762.0,4761.0,-0.00020999580008399833,-0.1111111111111111,-1.0
6/4/13,8/16/13,74,4761.0,4725.0,-0.007561436672967864,-0.4931506849315068,-36.0
6/1/14,7/20/14,50,4763.0,4742.0,-0.004408985933235356,-0.42857142857142855,-21.0
7/21/14,8/8/14,19,4746.0,4725.0,-0.004424778761061947,-1.1666666666666667,-21.0
6/18/15,7/15/15,28,4760.0,4747.0,-0.0027310924369747898,-0.48148148148148145,-13.0
7/16/15,9/4/15,51,4747.0,4725.0,-0.004634506003791869,-0.44,-22.0
6/6/16,6/15/16,10,4762.0,4760.0,-0.00041999160016799666,-0.2222222222222222,-2.0
6/16/16,7/9/16,24,4760.0,4752.0,-0.0016806722689075631,-0.34782608695652173,-8.0
7/13/16,9/7/16,57,4752.0,4725.0,-0.005681818181818182,-0.48214285714285715,-27.0
2/19/17,2/28/17,10,4774.0,4770.0,-0.0008378718056137411,-0.4444444444444444,-4.0
4/8/17,4/17/17,10,4774.0,4773.0,-0.00020946795140343527,-0.1111111111111111,-1.0
4/19/17,5/2/17,14,4774.0,4772.0,-0.00041893590280687055,-0.15384615384615385,-2.0
6/8/17,6/25/17,18,4774.0,4771.0,-0.0006284038542103058,-0.17647058823529413,-3.0
6/29/17,7/12/17,14,4770.0,4767.0,-0.0006289308176100629,-0.23076923076923078,-3.0
