Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference, Rate of Change, Drawdown
6/12/97,10/10/97,11,4774.4,4763.4,-0.0023039544235924935,-1.1,-11.0
7/8/98,10/2/98,11,4773.5,4762.4,-0.002325337802451108,-1.1100000000000363,-11.100000000000364
6/19/99,6/27/99,10,4775.0,4773.0,-0.000418848167539267,-0.2222222222222222,-2.0
6/28/99,7/30/99,32,4773.0,4765.0,-0.0016760946993505132,-0.25806451612903225,-8.0
8/1/99,9/2/99,32,4765.0,4755.0,-0.002098635886673662,-0.3225806451612903,-10.0
5/22/00,5/30/00,10,4774.5,4773.5,-0.00020944601528955913,-0.1111111111111111,-1.0
6/1/00,7/12/00,43,4773.5,4763.0,-0.0021996438671834082,-0.25,-10.5
7/13/00,8/25/00,45,4763.0,4746.0,-0.003569179088809574,-0.38636363636363635,-17.0
5/19/01,5/28/01,11,4770.0,4768.0,-0.0004192872117400419,-0.2,-2.0
5/30/01,8/5/01,69,4768.0,4745.0,-0.004823825503355705,-0.3382352941176471,-23.0
11/10/01,3/5/02,8,4745.0,4743.6,-0.0002950474183350129,-0.19999999999994802,-1.3999999999996362
7/17/02,10/7/02,10,4751.12,4748.85,-0.0004777820808566248,-0.25222222222216967,-2.269999999999527
9/30/03,10/10/03,12,4747.2,4745.14,-0.00043394000674070837,-0.18727272727268096,-2.0599999999994907
3/3/06,3/11/06,10,4774.5,4772.8,-0.0003560582259922124,-0.18888888888886868,-1.699999999999818
5/29/08,6/7/08,11,4770.9,4769.3,-0.0003353664926951842,-0.15999999999994544,-1.5999999999994543
6/24/08,8/28/08,67,4768.73,4746.01,-0.004764371226720604,-0.3442424242424143,-22.719999999999345
10/2/08,10/10/08,10,4750.39,4745.34,-0.001063070611044605,-0.5611111111111313,-5.050000000000182
11/23/09,12/1/09,9,4757.8,4756.79,-0.00021228298793564635,-0.12625000000002728,-1.0100000000002183
7/21/14,8/7/14,19,4745.51,4725.0,-0.00432198014544279,-1.1394444444444565,-20.51000000000022
8/4/16,9/7/16,36,4743.3,4725.0,-0.0038580734931377273,-0.522857142857148,-18.300000000000182
2/21/17,3/1/17,10,4773.22,4770.52,-0.000565655888477761,-0.2999999999999798,-2.699999999999818
