Start Date, End Date, Duration, Start Elevation, End Elevation, Drawdown
8/28/00,8/30/00,3,4746.0,4745.0,-1.0
11/10/01,2/28/02,3,4745.0,4735.0,-10.0
9/1/04,9/2/04,2,4746.0,4745.0,-1.0
9/28/04,9/29/04,2,4746.0,4745.0,-1.0
10/24/04,10/27/04,4,4746.0,4745.0,-1.0
10/28/04,10/30/04,3,4746.0,4745.0,-1.0
11/11/04,11/14/04,4,4746.0,4745.0,-1.0
11/17/04,11/19/04,3,4746.0,4745.0,-1.0
11/24/04,11/25/04,2,4746.0,4745.0,-1.0
11/29/04,11/30/04,2,4746.0,4745.0,-1.0
12/8/04,12/9/04,2,4746.0,4745.0,-1.0
12/14/04,12/15/04,2,4746.0,4745.0,-1.0
12/18/04,12/19/04,2,4746.0,4745.0,-1.0
12/29/04,12/30/04,2,4746.0,4745.0,-1.0
1/5/05,1/7/05,3,4746.0,4745.0,-1.0
5/16/05,5/17/05,2,4775.0,4774.0,-1.0
5/22/05,5/23/05,2,4775.0,4774.0,-1.0
5/26/06,5/27/06,2,4775.0,4774.0,-1.0
3/25/07,3/26/07,2,4774.0,4773.0,-1.0
1/19/08,1/20/08,2,4756.0,4755.0,-1.0
1/30/08,1/31/08,2,4757.0,4756.0,-1.0
5/12/08,5/13/08,2,4769.0,4768.0,-1.0
9/6/08,9/7/08,2,4746.0,4745.0,-1.0
9/10/08,9/11/08,2,4746.0,4745.0,-1.0
10/30/08,10/31/08,2,4746.0,4745.0,-1.0
6/17/11,6/19/11,3,4774.0,4773.0,-1.0
10/16/12,10/17/12,2,4746.0,4745.0,-1.0
9/21/18,9/23/18,3,4747.0,4746.0,-1.0
9/30/18,10/1/18,2,4747.0,4746.0,-1.0
6/1/19,6/2/19,2,4774.0,4773.0,-1.0
