Year, Number of Drawdowns, Percent of Year in Drawdown, Average Days of Drawdown, SD of Drawdown, Average Percent Difference, SD Percent Difference, Average Rate of Change, SD Rate of Change, Max Daily Drawdown
1997,1,0.030136986301369864,11.0,0.0,-0.0023039544235924935,0.0,-1.1,0.0,-11.0
1998,1,0.030136986301369864,11.0,0.0,-0.002325337802451108,0.0,-1.1100000000000363,0.0,-11.100000000000364
1999,3,0.20273972602739726,24.666666666666668,10.370899457402697,-0.0013978595845211474,0.0007134343135761302,-0.26762246117084826,0.04152484395933756,-10.0
2000,3,0.2684931506849315,32.666666666666664,16.048537489614297,-0.0019927563237608467,0.0013793847476426166,-0.24915824915824913,0.11237294921475453,-17.0
2001,3,0.2410958904109589,29.333333333333332,28.075295585660754,-0.0018460533778102532,0.0021062136652174267,-0.24607843137253171,0.06516474257994899,-23.0
2002,1,0.0273972602739726,10.0,0.0,-0.0004777820808566248,0.0,-0.25222222222216967,0.0,-2.269999999999527
2003,1,0.03287671232876712,12.0,0.0,-0.00043394000674070837,0.0,-0.18727272727268096,0.0,-2.0599999999994907
2006,1,0.0273972602739726,10.0,0.0,-0.0003560582259922124,0.0,-0.18888888888886868,0.0,-1.699999999999818
2008,3,0.2410958904109589,29.333333333333332,26.637484032009397,-0.0020542694434867977,0.0019392227098472504,-0.35511784511783034,0.16393339490704878,-22.719999999999345
2009,1,0.024657534246575342,9.0,0.0,-0.00021228298793564635,0.0,-0.12625000000002728,0.0,-1.0100000000002183
2014,1,0.052054794520547946,19.0,0.0,-0.00432198014544279,0.0,-1.1394444444444565,0.0,-20.51000000000022
2016,1,0.09863013698630137,36.0,0.0,-0.0038580734931377273,0.0,-0.522857142857148,0.0,-18.300000000000182
2017,1,0.0273972602739726,10.0,0.0,-0.000565655888477761,0.0,-0.2999999999999798,0.0,-2.699999999999818
