Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference, Rate of Change, Drawdown
5/16/97,5/26/97,12,4581.84,4580.63,-0.00026408604403471887,-0.1100000000000033,-1.2100000000000364
6/12/97,6/26/97,16,4582.54,4580.15,-0.0005215448201216634,-0.15933333333335517,-2.3900000000003274
8/15/97,8/24/97,11,4580.43,4579.69,-0.0001615568843974673,-0.07400000000006912,-0.7400000000006912
6/25/98,7/10/98,17,4584.63,4580.67,-0.0008637556356783506,-0.24750000000000227,-3.9600000000000364
7/16/98,7/24/98,10,4580.38,4580.18,-4.3664499451970817e-05,-0.02222222222220201,-0.1999999999998181
8/15/98,9/9/98,27,4579.94,4577.02,-0.0006375629375055488,-0.11230769230766012,-2.9199999999991633
12/5/98,12/25/98,22,4577.69,4575.59,-0.0004587466604334183,-0.09999999999997401,-2.0999999999994543
6/25/99,7/16/99,23,4584.22,4579.52,-0.0010252562049813967,-0.21363636363635538,-4.699999999999818
7/23/99,7/31/99,10,4579.46,4578.86,-0.00013101981456336857,-0.06666666666670709,-0.6000000000003638
7/1/02,9/11/02,74,4578.39,4568.26,-0.0022125681735282727,-0.13876712328767274,-10.13000000000011
8/19/04,9/6/04,20,4565.59,4563.36,-0.0004884363247686439,-0.11736842105265648,-2.230000000000473
7/6/05,10/5/05,93,4563.45,4553.19,-0.002248298984321121,-0.11152173913043716,-10.260000000000218
6/27/06,9/21/06,88,4559.42,4546.78,-0.0027722824394331574,-0.14528735632184284,-12.640000000000327
6/25/07,10/19/07,118,4552.9,4539.68,-0.0029036438314040164,-0.11299145299144739,-13.219999999999345
6/5/10,6/24/10,21,4582.19,4579.95,-0.0004888492183867936,-0.11199999999998908,-2.2399999999997817
6/6/11,6/20/11,16,4584.63,4581.75,-0.0006281859168570002,-0.19200000000000728,-2.880000000000109
10/17/13,10/31/13,16,4576.58,4575.21,-0.0002993501697774082,-0.09133333333332606,-1.3699999999998909
8/27/14,9/28/14,34,4577.54,4567.95,-0.0020950117311918947,-0.29060606060606503,-9.590000000000146
7/2/15,10/17/15,109,4589.27,4572.52,-0.003649817944901912,-0.1550925925925926,-16.75
11/26/15,12/6/15,12,4573.96,4573.19,-0.00016834427935540243,-0.07000000000003968,-0.7700000000004366
6/7/19,7/3/19,28,4588.33,4580.25,-0.0017609892924004872,-0.29925925925925656,-8.079999999999927
7/14/19,8/16/19,35,4585.81,4577.87,-0.0017314280356143209,-0.23352941176472086,-7.940000000000509
