Year, Number of Drawdowns, Percent of Year in Drawdown, Average Days of Drawdown, SD of Drawdown, Average Percent Difference, SD Percent Difference, Average Rate of Change, SD Rate of Change, Max Daily Drawdown
1997,3,0.10684931506849316,13.0,2.160246899469287,-0.0003157292495179498,0.00015143336041788458,-0.11444444444447587,0.03497865310211767,-2.3900000000003274
1998,4,0.20821917808219179,19.0,6.284902544988268,-0.0005009324332673221,0.0003004921686257149,-0.1205074786324596,0.08104764846457621,-3.9600000000000364
1999,2,0.09041095890410959,16.5,6.5,-0.0005781380097723826,0.00044711819520901403,-0.14015151515153124,0.07348484848482414,-4.699999999999818
2002,1,0.20273972602739726,74.0,0.0,-0.0022125681735282727,0.0,-0.13876712328767274,0.0,-10.13000000000011
2004,1,0.0547945205479452,20.0,0.0,-0.0004884363247686439,0.0,-0.11736842105265648,0.0,-2.230000000000473
2005,1,0.2547945205479452,93.0,0.0,-0.002248298984321121,0.0,-0.11152173913043716,0.0,-10.260000000000218
2006,1,0.2410958904109589,88.0,0.0,-0.0027722824394331574,0.0,-0.14528735632184284,0.0,-12.640000000000327
2007,1,0.3232876712328767,118.0,0.0,-0.0029036438314040164,0.0,-0.11299145299144739,0.0,-13.219999999999345
2010,1,0.057534246575342465,21.0,0.0,-0.0004888492183867936,0.0,-0.11199999999998908,0.0,-2.2399999999997817
2011,1,0.043835616438356165,16.0,0.0,-0.0006281859168570002,0.0,-0.19200000000000728,0.0,-2.880000000000109
2013,1,0.043835616438356165,16.0,0.0,-0.0002993501697774082,0.0,-0.09133333333332606,0.0,-1.3699999999998909
2014,1,0.09315068493150686,34.0,0.0,-0.0020950117311918947,0.0,-0.29060606060606503,0.0,-9.590000000000146
2015,2,0.3315068493150685,60.5,48.5,-0.0019090811121286572,0.0017407368327732548,-0.11254629629631613,0.04254629629627645,-16.75
2019,2,0.1726027397260274,31.5,3.5,-0.0017462086640074041,1.4780628393083165e-05,-0.2663943355119887,0.03286492374726785,-8.079999999999927
