Year, Number of Drawdowns, Percent of Year in Drawdown, Average Days of Drawdown, SD of Drawdown, Average Percent Difference, SD Percent Difference, Average Rate of Change, SD Rate of Change, Max Daily Drawdown
1997,8,0.2219178082191781,10.125,1.2686114456365274,-0.00030018266160194935,0.0001517896188880418,-0.1463293650793651,0.0532928345326278,-0.36999999999989086
1998,10,0.29863013698630136,10.9,1.9209372712298547,-0.00034926408758607675,0.0002616603242152473,-0.15000000000000002,0.07049209744694178,-0.4600000000000364
1999,7,0.2136986301369863,11.142857142857142,2.7994168488950613,-0.0003429637923278842,0.00030528262479422377,-0.13725490196078433,0.06403894752374323,-0.5399999999999636
2000,4,0.1095890410958904,10.0,0.0,-0.00021837637883683912,3.9544534291636215e-08,-0.1111111111111111,0.0,-0.09000000000014552
2001,7,0.1780821917808219,9.285714285714286,1.749635530559413,-0.00021839512113088847,5.3655933747183826e-08,-0.13095238095238096,0.048600986959983696,-0.10999999999967258
2002,6,0.2,12.166666666666666,1.674979270186815,-0.0004007368091519354,0.0001501255193350748,-0.15922040922040923,0.041519536950147616,-0.27000000000043656
2003,8,0.2410958904109589,11.0,1.6583123951777,-0.00032780335364389465,0.00010916439331467991,-0.14664502164502166,0.02974550249845896,-0.19000000000050932
2004,8,0.2410958904109589,11.0,1.7320508075688772,-0.00027357702739944404,9.469269410090556e-05,-0.1217948717948718,0.01850481632018032,-0.22000000000025466
2005,6,0.19726027397260273,12.0,1.5275252316519468,-0.0004020710808902747,0.0001505059635360398,-0.16135716135716135,0.041517870775311494,-0.27000000000043656
2006,5,0.17534246575342466,12.8,1.9390719429665315,-0.0004828897456347496,0.00016400500329833966,-0.1819191919191919,0.045184833931605786,-0.32000000000061846
2007,10,0.28493150684931506,10.4,2.0099751242241783,-0.00032982046233603977,0.00014727835325057518,-0.15816239316239317,0.05208293775874325,-0.3000000000001819
2009,1,0.0273972602739726,10.0,0.0,-0.0002183406113537118,0.0,-0.1111111111111111,0.0,-0.07999999999992724
2010,6,0.1726027397260274,10.5,2.140872096444188,-0.00029108114517472126,0.00016256747428815141,-0.1335978835978836,0.03790092270342434,-0.3000000000001819
2011,7,0.2191780821917808,11.428571428571429,1.6781914463529615,-0.0003741145261931964,0.00022460351154465514,-0.1550671550671551,0.06686026981015623,-0.3900000000003274
2012,7,0.20273972602739726,10.571428571428571,1.3997084244475304,-0.00024979129382367234,7.657050196250451e-05,-0.11721611721611722,0.014954149833841142,-0.1500000000005457
2013,6,0.17534246575342466,10.666666666666666,1.4907119849998596,-0.0002912639232775905,0.00010299422454707281,-0.13675213675213674,0.04128597363586734,-0.2899999999999636
2014,6,0.24383561643835616,14.833333333333334,10.807661891248983,-0.0005824006327741085,0.000813870883072549,-0.14083820662768032,0.06647180634867797,-0.42000000000007276
2015,8,0.29041095890410956,13.25,4.322904116447646,-0.0005455309854863332,0.0005445740822492377,-0.17420441876963616,0.08635735301798395,-0.5900000000001455
2016,4,0.1095890410958904,10.0,0.0,-0.000218412156739071,5.333454816405607e-08,-0.1111111111111111,0.0,-0.12000000000080036
2017,4,0.1095890410958904,10.0,0.0,-0.0002184240931312783,7.05725968861824e-08,-0.1111111111111111,0.0,-0.1499999999996362
2018,6,0.1643835616438356,10.0,0.0,-0.0002183803645746231,6.408723243929243e-08,-0.11111111111111112,1.3877787807814457e-17,-0.1500000000005457
2019,5,0.2136986301369863,15.6,7.310266752998826,-0.0008286094863235579,0.0007597944498242168,-0.20701754385964916,0.11798381485771688,-0.5500000000001819
2020,3,0.0821917808219178,10.0,0.0,-0.0002183883013312149,3.894153867738222e-08,-0.1111111111111111,0.0,-0.15999999999985448
