Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference, Rate of Change, Drawdown
1/29/97,2/21/97,24,6393.0,6388.0,-0.000782105427811669,-0.21739130434782608,-5.0
2/25/97,3/9/97,13,6387.0,6384.0,-0.0004697040864255519,-0.25,-3.0
3/21/97,3/27/97,7,6393.0,6377.0,-0.002502737368997341,-2.6666666666666665,-16.0
3/29/97,4/3/97,6,6382.0,6375.0,-0.0010968348480100282,-1.4,-7.0
4/4/97,4/8/97,5,6377.0,6375.0,-0.00031362709738121374,-0.5,-2.0
6/20/97,6/29/97,10,6449.0,6448.0,-0.00015506280043417584,-0.1111111111111111,-1.0
8/21/97,9/23/97,34,6448.0,6433.0,-0.002326302729528536,-0.45454545454545453,-15.0
9/25/97,11/18/97,55,6433.0,6396.0,-0.005751593346805534,-0.6851851851851852,-37.0
11/19/97,11/26/97,8,6396.0,6394.0,-0.00031269543464665416,-0.2857142857142857,-2.0
11/28/97,12/13/97,16,6395.0,6391.0,-0.0006254886630179827,-0.26666666666666666,-4.0
1/26/98,2/4/98,10,6393.0,6392.0,-0.00015642108556233381,-0.1111111111111111,-1.0
3/26/98,4/1/98,7,6397.0,6379.0,-0.0028138189776457712,-3.0,-18.0
4/13/98,4/18/98,6,6386.0,6376.0,-0.0015659254619480112,-2.0,-10.0
5/14/98,5/18/98,5,6434.0,6430.0,-0.0006216972334473111,-1.0,-4.0
6/5/98,6/14/98,10,6449.0,6448.0,-0.00015506280043417584,-0.1111111111111111,-1.0
8/3/98,10/9/98,68,6448.0,6377.0,-0.011011166253101737,-1.0597014925373134,-71.0
10/31/98,11/7/98,8,6387.0,6386.0,-0.0001565680288085173,-0.14285714285714285,-1.0
12/13/98,12/22/98,10,6390.0,6389.0,-0.00015649452269170578,-0.1111111111111111,-1.0
12/24/98,12/28/98,5,6389.0,6388.0,-0.00015651901706057285,-0.25,-1.0
5/30/99,6/8/99,10,6449.0,6448.0,-0.00015506280043417584,-0.1111111111111111,-1.0
7/22/99,7/31/99,10,6448.0,6447.0,-0.00015508684863523573,-0.1111111111111111,-1.0
8/3/99,10/5/99,62,6447.0,6415.0,-0.004963548937490306,-0.5245901639344263,-32.0
10/12/99,10/31/99,20,6417.0,6394.0,-0.0035842293906810036,-1.2105263157894737,-23.0
3/16/00,4/17/00,33,6418.0,6385.0,-0.005141788719227174,-1.03125,-33.0
6/29/00,9/1/00,65,6448.0,6375.0,-0.011321339950372208,-1.140625,-73.0
9/3/00,9/12/00,10,6376.0,6375.0,-0.00015683814303638644,-0.1111111111111111,-1.0
9/14/00,9/23/00,10,6375.0,6373.0,-0.00031372549019607844,-0.2222222222222222,-2.0
9/27/00,10/2/00,6,6374.0,6373.0,-0.00015688735487919673,-0.2,-1.0
4/20/01,4/25/01,6,6423.0,6416.0,-0.001089833411178577,-1.4,-7.0
5/3/01,5/8/01,6,6419.0,6412.0,-0.0010905125408942203,-1.4,-7.0
5/22/01,5/26/01,5,6448.0,6446.0,-0.00031017369727047146,-0.5,-2.0
7/4/01,7/17/01,14,6448.0,6444.0,-0.0006203473945409429,-0.3076923076923077,-4.0
7/18/01,9/27/01,72,6444.0,6374.0,-0.010862818125387958,-0.9859154929577465,-70.0
6/13/02,8/13/02,62,6448.0,6374.0,-0.011476426799007445,-1.2131147540983607,-74.0
4/17/03,4/26/03,10,6423.0,6420.0,-0.00046707146193367583,-0.3333333333333333,-3.0
7/9/03,9/6/03,60,6448.0,6377.0,-0.011011166253101737,-1.2033898305084745,-71.0
2/19/04,2/28/04,10,6403.0,6402.0,-0.00015617679212868969,-0.1111111111111111,-1.0
3/22/04,4/4/04,14,6407.0,6393.0,-0.0021851100358982363,-1.0769230769230769,-14.0
7/6/04,9/4/04,61,6448.0,6378.0,-0.010856079404466501,-1.1666666666666667,-70.0
2/11/05,2/20/05,10,6404.0,6403.0,-0.0001561524047470331,-0.1111111111111111,-1.0
2/27/05,3/12/05,14,6403.0,6398.0,-0.0007808839606434484,-0.38461538461538464,-5.0
3/13/05,3/22/05,10,6398.0,6377.0,-0.0032822757111597373,-2.3333333333333335,-21.0
3/28/05,4/3/05,7,6387.0,6382.0,-0.0007828401440425865,-0.8333333333333334,-5.0
4/16/05,4/21/05,6,6387.0,6376.0,-0.0017222483168936903,-2.2,-11.0
4/28/05,5/3/05,6,6400.0,6383.0,-0.00265625,-3.4,-17.0
5/8/05,5/13/05,6,6393.0,6381.0,-0.0018770530267480056,-2.4,-12.0
7/3/05,7/12/05,10,6449.0,6448.0,-0.00015506280043417584,-0.1111111111111111,-1.0
7/30/05,8/8/05,10,6448.0,6446.0,-0.00031017369727047146,-0.2222222222222222,-2.0
8/9/05,10/6/05,59,6446.0,6395.0,-0.007911883338504499,-0.8793103448275862,-51.0
10/16/05,10/23/05,8,6399.0,6350.0,-0.007657446476011877,-7.0,-49.0
10/26/05,11/1/05,7,6397.0,6396.0,-0.0001563232765358762,-0.16666666666666666,-1.0
11/7/05,12/9/05,33,6399.0,6370.0,-0.004531958118456009,-0.90625,-29.0
4/1/06,4/12/06,12,6404.0,6384.0,-0.003123048094940662,-1.8181818181818181,-20.0
5/29/06,6/7/06,10,6449.0,6448.0,-0.00015506280043417584,-0.1111111111111111,-1.0
7/14/06,9/14/06,63,6448.0,6375.0,-0.011321339950372208,-1.1774193548387097,-73.0
10/19/06,11/15/06,28,6399.0,6382.0,-0.0026566651039224877,-0.6296296296296297,-17.0
12/21/06,1/2/07,13,6394.0,6392.0,-0.00031279324366593683,-0.16666666666666666,-2.0
1/6/07,2/2/07,28,6391.0,6377.0,-0.002190580503833516,-0.5185185185185185,-14.0
3/15/07,3/27/07,13,6397.0,6390.0,-0.0010942629357511334,-0.5833333333333334,-7.0
3/28/07,4/1/07,5,6391.0,6382.0,-0.0014082303238929744,-2.25,-9.0
5/4/07,5/13/07,10,6449.0,6448.0,-0.00015506280043417584,-0.1111111111111111,-1.0
5/14/07,5/23/07,10,6449.0,6448.0,-0.00015506280043417584,-0.1111111111111111,-1.0
7/5/07,9/14/07,72,6448.0,6376.0,-0.011166253101736972,-1.0140845070422535,-72.0
10/19/07,11/9/07,22,6392.0,6378.0,-0.002190237797246558,-0.6666666666666666,-14.0
12/30/07,1/5/08,7,6388.0,6387.0,-0.00015654351909830932,-0.16666666666666666,-1.0
1/26/08,2/4/08,10,6388.0,6387.0,-0.00015654351909830932,-0.1111111111111111,-1.0
2/11/08,2/20/08,10,6387.0,6386.0,-0.0001565680288085173,-0.1111111111111111,-1.0
3/13/08,3/20/08,8,6389.0,6381.0,-0.0012521521364845828,-1.1428571428571428,-8.0
4/1/08,4/8/08,8,6390.0,6379.0,-0.0017214397496087637,-1.5714285714285714,-11.0
5/23/08,5/30/08,8,6427.0,6419.0,-0.0012447487163528862,-1.1428571428571428,-8.0
7/3/08,7/12/08,10,6449.0,6448.0,-0.00015506280043417584,-0.1111111111111111,-1.0
7/31/08,8/9/08,10,6448.0,6445.0,-0.0004652605459057072,-0.3333333333333333,-3.0
8/15/08,8/20/08,6,6446.0,6444.0,-0.00031026993484331366,-0.4,-2.0
8/22/08,10/2/08,42,6445.0,6407.0,-0.005896043444530644,-0.926829268292683,-38.0
11/5/08,11/13/08,9,6409.0,6404.0,-0.0007801529099703542,-0.625,-5.0
11/19/08,11/24/08,6,6405.0,6403.0,-0.000312256049960968,-0.4,-2.0
1/4/09,2/11/09,39,6409.0,6392.0,-0.002652519893899204,-0.4473684210526316,-17.0
2/19/09,3/4/09,14,6395.0,6392.0,-0.0004691164972634871,-0.23076923076923078,-3.0
3/7/09,3/17/09,11,6392.0,6386.0,-0.0009386733416770963,-0.6,-6.0
3/29/09,4/7/09,10,6393.0,6391.0,-0.00031284217112466763,-0.2222222222222222,-2.0
4/15/09,4/28/09,14,6412.0,6379.0,-0.005146600124766063,-2.5384615384615383,-33.0
5/1/09,5/5/09,5,6389.0,6382.0,-0.0010956331194240101,-1.75,-7.0
6/7/09,6/16/09,10,6449.0,6448.0,-0.00015506280043417584,-0.1111111111111111,-1.0
7/18/09,9/19/09,64,6448.0,6372.0,-0.011786600496277916,-1.2063492063492063,-76.0
9/29/09,10/6/09,8,6372.0,6369.0,-0.00047080979284369113,-0.42857142857142855,-3.0
11/23/09,12/2/09,10,6383.0,6381.0,-0.00031333228889237035,-0.2222222222222222,-2.0
2/9/10,2/19/10,11,6387.0,6385.0,-0.0003131360576170346,-0.2,-2.0
2/20/10,3/1/10,10,6385.0,6383.0,-0.00031323414252153485,-0.2222222222222222,-2.0
4/12/10,4/16/10,5,6392.0,6385.0,-0.001095118898623279,-1.75,-7.0
4/19/10,4/25/10,7,6393.0,6380.0,-0.0020334741123103394,-2.1666666666666665,-13.0
6/8/10,6/17/10,10,6449.0,6448.0,-0.00015506280043417584,-0.1111111111111111,-1.0
7/8/10,8/4/10,28,6448.0,6437.0,-0.001705955334987593,-0.4074074074074074,-11.0
8/8/10,9/28/10,50,6437.0,6373.0,-0.009942519807363678,-1.3061224489795917,-64.0
11/8/10,11/19/10,12,6381.0,6370.0,-0.0017238677323303557,-1.0,-11.0
11/24/10,11/30/10,7,6370.0,6368.0,-0.0003139717425431711,-0.3333333333333333,-2.0
12/26/10,1/22/11,28,6390.0,6378.0,-0.0018779342723004694,-0.4444444444444444,-12.0
2/3/11,2/12/11,10,6377.0,6376.0,-0.00015681354869060687,-0.1111111111111111,-1.0
4/3/11,4/7/11,5,6383.0,6377.0,-0.0009399968666771111,-1.5,-6.0
5/17/11,5/23/11,7,6384.0,6379.0,-0.0007832080200501253,-0.8333333333333334,-5.0
7/14/11,7/23/11,10,6449.0,6448.0,-0.00015506280043417584,-0.1111111111111111,-1.0
8/8/11,10/16/11,70,6448.0,6375.0,-0.011321339950372208,-1.0579710144927537,-73.0
10/29/11,11/10/11,13,6377.0,6372.0,-0.0007840677434530343,-0.4166666666666667,-5.0
11/13/11,11/18/11,6,6376.0,6373.0,-0.00047051442910915934,-0.6,-3.0
11/25/11,12/2/11,8,6374.0,6371.0,-0.0004706620646375902,-0.42857142857142855,-3.0
12/16/11,12/29/11,14,6375.0,6369.0,-0.0009411764705882353,-0.46153846153846156,-6.0
1/3/12,1/8/12,6,6375.0,6371.0,-0.0006274509803921569,-0.8,-4.0
1/13/12,1/19/12,7,6376.0,6370.0,-0.0009410288582183187,-1.0,-6.0
1/25/12,2/4/12,11,6377.0,6370.0,-0.0010976948408342481,-0.7,-7.0
2/10/12,2/17/12,8,6377.0,6372.0,-0.0007840677434530343,-0.7142857142857143,-5.0
2/22/12,3/3/12,11,6378.0,6371.0,-0.0010975227343994983,-0.7,-7.0
6/12/12,8/23/12,73,6447.0,6361.0,-0.013339537769505196,-1.1944444444444444,-86.0
8/24/12,9/2/12,10,6362.0,6358.0,-0.0006287331027978623,-0.4444444444444444,-4.0
11/27/12,12/4/12,8,6383.0,6382.0,-0.00015666614444618518,-0.14285714285714285,-1.0
12/21/12,12/26/12,6,6385.0,6384.0,-0.00015661707126076742,-0.2,-1.0
1/16/13,1/26/13,11,6386.0,6384.0,-0.00031318509238960227,-0.2,-2.0
3/21/13,3/27/13,7,6388.0,6383.0,-0.0007827175954915466,-0.8333333333333334,-5.0
6/13/13,6/22/13,10,6448.0,6447.0,-0.00015508684863523573,-0.1111111111111111,-1.0
7/2/13,7/28/13,27,6448.0,6428.0,-0.003101736972704715,-0.7692307692307693,-20.0
8/3/13,9/22/13,51,6429.0,6359.0,-0.010888163011354798,-1.4,-70.0
10/21/13,10/28/13,8,6360.0,6359.0,-0.00015723270440251572,-0.14285714285714285,-1.0
11/11/13,11/20/13,10,6360.0,6359.0,-0.00015723270440251572,-0.1111111111111111,-1.0
11/29/13,12/11/13,13,6376.0,6372.0,-0.0006273525721455458,-0.3333333333333333,-4.0
12/24/13,1/5/14,13,6372.0,6370.0,-0.00031387319522912746,-0.16666666666666666,-2.0
3/3/14,3/9/14,7,6377.0,6372.0,-0.0007840677434530343,-0.8333333333333334,-5.0
3/12/14,3/21/14,10,6373.0,6371.0,-0.00031382394476698575,-0.2222222222222222,-2.0
3/28/14,4/1/14,5,6374.0,6372.0,-0.00031377470975839345,-0.5,-2.0
4/2/14,4/6/14,5,6373.0,6371.0,-0.00031382394476698575,-0.5,-2.0
4/9/14,4/15/14,7,6375.0,6371.0,-0.0006274509803921569,-0.6666666666666666,-4.0
4/18/14,4/22/14,5,6374.0,6372.0,-0.00031377470975839345,-0.5,-2.0
6/23/14,7/2/14,10,6448.0,6447.0,-0.00015508684863523573,-0.1111111111111111,-1.0
7/20/14,10/21/14,94,6447.0,6362.0,-0.013184426865208624,-0.9139784946236559,-85.0
10/25/14,11/3/14,10,6362.0,6361.0,-0.00015718327569946557,-0.1111111111111111,-1.0
11/6/14,11/11/14,6,6361.0,6359.0,-0.00031441597233139445,-0.4,-2.0
12/19/14,12/28/14,10,6377.0,6376.0,-0.00015681354869060687,-0.1111111111111111,-1.0
1/2/15,1/11/15,10,6377.0,6376.0,-0.00015681354869060687,-0.1111111111111111,-1.0
6/22/15,7/1/15,10,6448.0,6447.0,-0.00015508684863523573,-0.1111111111111111,-1.0
7/29/15,9/25/15,59,6447.0,6404.0,-0.006669768884752598,-0.7413793103448276,-43.0
9/27/15,10/28/15,32,6404.0,6388.0,-0.0024984384759525295,-0.5161290322580645,-16.0
11/4/15,11/16/15,13,6389.0,6383.0,-0.0009391141023634372,-0.5,-6.0
11/21/15,11/26/15,6,6383.0,6382.0,-0.00015666614444618518,-0.2,-1.0
11/30/15,12/9/15,10,6383.0,6382.0,-0.00015666614444618518,-0.1111111111111111,-1.0
12/31/15,1/9/16,10,6383.0,6382.0,-0.00015666614444618518,-0.1111111111111111,-1.0
4/14/16,4/21/16,8,6403.0,6377.0,-0.004060596595345932,-3.7142857142857144,-26.0
5/5/16,5/10/16,6,6404.0,6400.0,-0.0006246096189881324,-0.8,-4.0
5/16/16,5/20/16,5,6404.0,6399.0,-0.0007807620237351655,-1.25,-5.0
7/9/16,9/22/16,76,6448.0,6367.0,-0.012562034739454095,-1.08,-81.0
10/7/16,10/12/16,6,6368.0,6366.0,-0.000314070351758794,-0.4,-2.0
2/25/17,3/6/17,10,6396.0,6395.0,-0.00015634771732332708,-0.1111111111111111,-1.0
3/21/17,3/27/17,7,6401.0,6397.0,-0.0006249023590064052,-0.6666666666666666,-4.0
3/29/17,4/7/17,10,6398.0,6393.0,-0.0007814942169427947,-0.5555555555555556,-5.0
4/9/17,4/18/17,10,6395.0,6391.0,-0.0006254886630179827,-0.4444444444444444,-4.0
7/18/17,7/29/17,12,6448.0,6446.0,-0.00031017369727047146,-0.18181818181818182,-2.0
7/31/17,9/25/17,57,6446.0,6359.0,-0.013496742165684146,-1.5535714285714286,-87.0
12/10/17,12/19/17,10,6392.0,6391.0,-0.00015644555694618273,-0.1111111111111111,-1.0
6/12/18,8/8/18,58,6448.0,6384.0,-0.009925558312655087,-1.1228070175438596,-64.0
9/26/18,10/3/18,8,6384.0,6383.0,-0.00015664160401002505,-0.14285714285714285,-1.0
3/15/19,3/27/19,13,6408.0,6405.0,-0.00046816479400749064,-0.25,-3.0
3/28/19,4/6/19,10,6406.0,6403.0,-0.0004683109584764284,-0.3333333333333333,-3.0
4/9/19,4/15/19,7,6404.0,6398.0,-0.0009369144284821987,-1.0,-6.0
5/2/19,5/6/19,5,6417.0,6412.0,-0.0007791803023219573,-1.25,-5.0
5/9/19,5/13/19,5,6414.0,6408.0,-0.0009354536950420954,-1.5,-6.0
5/20/19,5/27/19,8,6421.0,6417.0,-0.0006229559258682448,-0.5714285714285714,-4.0
7/1/19,7/10/19,10,6449.0,6448.0,-0.00015506280043417584,-0.1111111111111111,-1.0
8/14/19,9/7/19,25,6448.0,6360.0,-0.013647642679900745,-3.6666666666666665,-88.0
9/8/19,10/11/19,34,6427.0,6379.0,-0.0074684922981173175,-1.4545454545454546,-48.0
10/27/19,11/1/19,6,6379.0,6378.0,-0.00015676438313215238,-0.2,-1.0
6/28/20,8/22/20,56,6448.0,6378.0,-0.010856079404466501,-1.2727272727272727,-70.0
9/16/20,9/23/20,8,6380.0,6379.0,-0.00015673981191222572,-0.14285714285714285,-1.0
10/2/20,10/6/20,5,6382.0,6381.0,-0.00015669069257286117,-0.25,-1.0
3/4/21,3/8/21,5,6395.0,6386.0,-0.0014073494917904612,-2.25,-9.0
