Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference, Rate of Change, Drawdown
3/23/97,4/8/97,18,6391.93,6375.82,-0.0025203655234022557,-0.9476470588235637,-16.110000000000582
4/21/97,4/27/97,7,6387.22,6380.87,-0.0009941727386876236,-1.058333333333394,-6.350000000000364
4/29/97,5/4/97,6,6388.32,6384.22,-0.0006417962782076437,-0.8199999999998908,-4.099999999999454
10/3/97,12/14/97,74,6430.06,6391.71,-0.005964174517811709,-0.5253424657534297,-38.350000000000364
3/26/98,4/4/98,11,6396.77,6379.56,-0.0026904203215060156,-1.7210000000000036,-17.210000000000036
4/13/98,4/21/98,9,6385.64,6382.0,-0.0005700290025745778,-0.4550000000000409,-3.6400000000003274
4/25/98,4/29/98,5,6393.61,6391.44,-0.0003394013710564255,-0.5425000000000182,-2.1700000000000728
5/15/98,5/20/98,6,6432.84,6431.36,-0.0002300694561034431,-0.2960000000000946,-1.480000000000473
8/22/98,10/11/98,52,6434.78,6378.87,-0.008688719738670142,-1.0962745098039186,-55.909999999999854
10/13/99,11/9/99,29,6416.32,6392.87,-0.0036547429055907156,-0.8374999999999935,-23.449999999999818
3/17/00,4/23/00,39,6416.8,6387.64,-0.004544321156962949,-0.7673684210526277,-29.159999999999854
7/29/00,9/2/00,37,6429.03,6375.52,-0.008323184057314916,-1.4863888888888697,-53.50999999999931
4/21/01,4/29/01,10,6421.78,6417.97,-0.0005932934482338995,-0.4233333333332767,-3.8099999999994907
5/3/01,5/10/01,8,6419.29,6417.11,-0.000339601420094791,-0.311428571428613,-2.180000000000291
8/28/01,9/30/01,35,6420.09,6373.81,-0.007208621685988786,-1.3611764705882279,-46.279999999999745
6/30/02,8/15/02,48,6435.86,6373.56,-0.009680135988041889,-1.3255319148936016,-62.29999999999927
7/31/03,9/6/03,39,6432.51,6377.7,-0.00852077960236368,-1.4423684210526422,-54.8100000000004
3/23/04,4/4/04,14,6406.44,6393.91,-0.0019558444315407224,-0.9638461538461343,-12.529999999999745
7/31/04,9/4/04,37,6431.61,6378.93,-0.00819079515082528,-1.463333333333316,-52.67999999999938
3/14/05,3/23/05,11,6396.75,6379.29,-0.00272951107984524,-1.7460000000000035,-17.460000000000036
3/31/05,4/6/05,7,6385.88,6383.86,-0.000316322887370329,-0.33666666666673944,-2.0200000000004366
4/9/05,4/14/05,6,6387.81,6386.31,-0.00023482226302911326,-0.3,-1.5
4/16/05,4/22/05,7,6387.01,6379.2,-0.0012227943904895091,-1.3016666666667334,-7.8100000000004
4/25/05,5/5/05,12,6401.13,6390.1,-0.0017231332592838678,-1.0027272727272496,-11.029999999999745
5/8/05,5/16/05,9,6392.52,6388.57,-0.0006179096819408821,-0.49375000000009095,-3.9500000000007276
9/2/05,10/7/05,37,6431.37,6396.12,-0.005480947294277891,-0.9791666666666666,-35.25
10/19/05,10/23/05,5,6397.97,6350.03,-0.007493001686472507,-11.985000000000127,-47.94000000000051
11/24/05,12/8/05,16,6390.01,6369.97,-0.0031361453268461182,-1.3359999999999976,-20.039999999999964
4/2/06,4/20/06,20,6403.24,6384.24,-0.0029672478307856648,-1.0,-19.0
7/28/06,9/16/06,52,6439.42,6380.06,-0.009218221516844633,-1.1639215686274447,-59.35999999999967
10/29/06,11/15/06,19,6393.24,6383.09,-0.0015876144177286691,-0.5638888888888687,-10.149999999999636
3/28/07,4/3/07,7,6390.96,6386.92,-0.0006321429018488558,-0.6733333333333272,-4.039999999999964
8/12/07,9/14/07,35,6425.57,6376.05,-0.007706709288047524,-1.4564705882352802,-49.51999999999953
11/2/07,11/10/07,10,6384.53,6379.61,-0.0007706127154230732,-0.5466666666666747,-4.920000000000073
3/14/08,3/22/08,10,6388.19,6383.75,-0.0006950325522565233,-0.4933333333332889,-4.4399999999996
4/1/08,4/13/08,14,6389.58,6382.27,-0.0011440501566612345,-0.5623076923076531,-7.309999999999491
4/15/08,4/27/08,14,6384.27,6380.0,-0.0006688313620821858,-0.32846153846157206,-4.270000000000437
5/1/08,5/7/08,7,6385.72,6381.61,-0.0006436235851243997,-0.685000000000097,-4.110000000000582
5/23/08,5/31/08,10,6426.93,6421.74,-0.0008075395250921527,-0.5766666666667233,-5.190000000000509
8/28/08,10/6/08,41,6439.33,6406.63,-0.005078168070280576,-0.8174999999999955,-32.69999999999982
11/19/08,11/24/08,6,6404.51,6403.37,-0.0001779995659309342,-0.22800000000006548,-1.1400000000003274
4/16/09,4/30/09,16,6411.34,6389.37,-0.003426740743744717,-1.4646666666666837,-21.970000000000255
5/1/09,5/7/09,7,6389.37,6387.79,-0.0002472857261357422,-0.2633333333333212,-1.5799999999999272
8/11/09,9/18/09,40,6433.41,6371.86,-0.009567243499170763,-1.5782051282051328,-61.55000000000018
4/13/10,4/17/10,5,6391.44,6388.17,-0.0005116217941496012,-0.8174999999998818,-3.269999999999527
4/20/10,4/28/10,10,6392.32,6387.01,-0.0008306843211853429,-0.5899999999999435,-5.309999999999491
4/29/10,5/7/10,10,6387.01,6382.59,-0.0006920296038365483,-0.4911111111111192,-4.420000000000073
8/17/10,9/29/10,43,6431.5,6373.0,-0.00909585633211537,-1.3928571428571428,-58.5
11/8/10,11/18/10,12,6380.56,6369.77,-0.0016910741376932373,-0.9809090909090876,-10.789999999999964
11/24/10,11/30/10,7,6369.73,6368.25,-0.00023234893786699962,-0.2466666666665939,-1.4799999999995634
3/27/11,4/8/11,14,6390.59,6380.84,-0.001525680727444571,-0.75,-9.75
4/9/11,4/17/11,9,6380.84,6378.61,-0.0003494837670276128,-0.2787500000000591,-2.230000000000473
4/19/11,4/28/11,11,6382.94,6377.65,-0.0008287716945482746,-0.5289999999999964,-5.289999999999964
5/9/11,5/15/11,7,6384.28,6382.19,-0.00032736659419701917,-0.3483333333333576,-2.0900000000001455
5/17/11,5/25/11,10,6383.53,6381.15,-0.00037283446619661994,-0.2644444444444566,-2.380000000000109
9/1/11,10/22/11,53,6428.54,6374.88,-0.008347151919409362,-1.031923076923074,-53.659999999999854
11/26/11,12/6/11,12,6373.28,6372.04,-0.00019456229759241424,-0.11272727272725289,-1.2399999999997817
1/13/12,1/21/12,10,6375.96,6374.38,-0.00024780582061366874,-0.17555555555554747,-1.5799999999999272
3/18/12,3/30/12,14,6385.64,6383.45,-0.0003429570097907977,-0.16846153846157763,-2.1900000000005093
6/28/12,9/2/12,68,6434.61,6358.35,-0.011851534125611235,-1.1382089552238703,-76.25999999999931
3/23/13,3/29/13,7,6386.31,6384.83,-0.0002317457185762158,-0.2466666666667455,-1.480000000000473
7/22/13,7/30/13,10,6433.94,6429.17,-0.0007413808646023319,-0.5299999999999474,-4.769999999999527
8/9/13,9/23/13,47,6424.34,6359.38,-0.010111544532200978,-1.412173913043479,-64.96000000000004
10/21/13,10/27/13,7,6360.33,6359.31,-0.00016036903745552937,-0.1699999999999212,-1.019999999999527
11/11/13,11/18/13,8,6360.03,6358.99,-0.00016352124125200096,-0.1485714285714234,-1.0399999999999636
3/3/14,3/11/14,10,6377.4,6372.91,-0.0007040486718725157,-0.4988888888888646,-4.489999999999782
3/28/14,4/6/14,10,6373.53,6371.32,-0.0003467466223584162,-0.2455555555555596,-2.2100000000000364
4/9/14,4/17/14,10,6375.15,6373.8,-0.00021175972330054265,-0.14999999999993938,-1.3499999999994543
4/30/14,5/10/14,12,6376.21,6370.77,-0.0008531713980561494,-0.49454545454541815,-5.4399999999996
8/10/14,10/23/14,76,6432.84,6361.57,-0.011079087930058953,-0.9502666666666725,-71.27000000000044
8/23/15,10/29/15,69,6429.1,6388.93,-0.006248152929648017,-0.5907352941176481,-40.17000000000007
11/6/15,11/18/15,14,6387.74,6382.86,-0.0007639634675174802,-0.37538461538462375,-4.880000000000109
4/15/16,4/24/16,11,6402.45,6379.33,-0.003611117619036446,-2.311999999999989,-23.11999999999989
5/7/16,5/14/16,8,6402.92,6401.48,-0.000224897390565634,-0.20571428571435849,-1.4400000000005093
5/16/16,5/23/16,8,6403.77,6402.63,-0.0001780201350142693,-0.16285714285718964,-1.1400000000003274
8/13/16,9/21/16,41,6424.95,6367.44,-0.008951042420563618,-1.4377500000000054,-57.51000000000022
3/22/17,3/30/17,10,6400.05,6396.7,-0.0005234334106765359,-0.37222222222226264,-3.350000000000364
3/31/17,4/8/17,10,6396.7,6394.86,-0.00028764831866433406,-0.2044444444444606,-1.8400000000001455
4/15/17,4/23/17,9,6392.73,6391.54,-0.00018614895357689124,-0.14874999999994998,-1.1899999999995998
8/13/17,10/1/17,51,6438.74,6358.87,-0.012404600900176106,-1.5973999999999977,-79.86999999999989
5/11/18,5/15/18,5,6446.98,6445.31,-0.00025903601376135233,-0.4174999999997908,-1.6699999999991633
6/27/18,8/12/18,48,6441.25,6384.08,-0.008875606442848837,-1.2163829787234057,-57.17000000000007
4/10/19,4/17/19,8,6402.65,6400.43,-0.00034673143151653537,-0.3171428571427636,-2.219999999999345
5/2/19,5/14/19,14,6416.7,6411.82,-0.0007605155297894726,-0.37538461538462375,-4.880000000000109
9/2/19,9/10/19,10,6433.26,6424.11,-0.001422296005446779,-1.0166666666667272,-9.150000000000546
9/11/19,10/11/19,32,6424.11,6378.7,-0.007068683444087952,-1.4648387096774147,-45.409999999999854
7/10/20,8/25/20,48,6439.83,6377.97,-0.009605843632518199,-1.3161702127659505,-61.85999999999967
3/4/21,3/8/21,5,6395.05,6385.62,-0.0014745779939172158,-2.3575000000000728,-9.430000000000291
