Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference, Rate of Change, Drawdown
3/5/03,3/10/03,6,6577.49,6576.18,-0.00019916411883552702,-0.26199999999989815,-1.3099999999994907
3/14/03,3/18/03,5,6576.25,6574.37,-0.00028587720965597555,-0.4700000000000273,-1.8800000000001091
3/26/03,4/10/03,17,6577.82,6573.82,-0.0006081042047365237,-0.25,-4.0
4/18/03,4/26/03,10,6576.47,6573.42,-0.00046377463897808124,-0.3388888888889091,-3.050000000000182
4/30/03,5/7/03,8,6575.56,6568.23,-0.0011147339542184752,-1.0471428571429766,-7.330000000000837
5/30/03,6/3/03,5,6576.08,6573.2,-0.00043795087651003474,-0.7200000000000273,-2.880000000000109
6/5/03,6/13/03,9,6577.13,6575.99,-0.00017332788009364683,-0.14250000000004093,-1.1400000000003274
6/15/03,6/25/03,12,6577.95,6570.88,-0.0010748029401256788,-0.6427272727272463,-7.069999999999709
7/10/03,7/18/03,9,6575.7,6573.42,-0.00034673114649387066,-0.28499999999996817,-2.2799999999997453
7/29/03,8/4/03,7,6576.59,6575.33,-0.00019158865004511734,-0.21000000000003638,-1.2600000000002183
8/25/03,9/2/03,10,6577.72,6571.27,-0.0009805829375528021,-0.7166666666666465,-6.449999999999818
9/20/03,9/24/03,5,6575.32,6568.56,-0.0010280868459632852,-1.6899999999998272,-6.759999999999309
10/26/03,11/4/03,11,6572.66,6568.45,-0.0006405321437591533,-0.42100000000000365,-4.210000000000036
11/9/03,11/17/03,10,6579.1,6575.3,-0.0005775865999909078,-0.4222222222222424,-3.800000000000182
12/12/03,12/20/03,10,6578.35,6573.86,-0.0006825419748114179,-0.4988888888889657,-4.490000000000691
1/8/04,1/14/04,7,6575.52,6573.92,-0.00024332676351077385,-0.2666666666667273,-1.6000000000003638
2/1/04,2/17/04,18,6578.39,6573.34,-0.0007676650365819268,-0.2970588235294225,-5.050000000000182
3/1/04,3/10/04,11,6576.72,6573.47,-0.0004941673052828766,-0.325,-3.25
4/11/04,4/20/04,11,6576.72,6573.64,-0.0004683185539296073,-0.3079999999999927,-3.0799999999999272
4/27/04,5/4/04,8,6575.59,6573.84,-0.00026613581442881933,-0.25,-1.75
5/6/04,5/14/04,10,6575.09,6573.03,-0.0003133036962232304,-0.22888888888893336,-2.0600000000004
5/20/04,5/28/04,10,6578.49,6574.65,-0.0005837205802547615,-0.42666666666668285,-3.8400000000001455
5/30/04,6/8/04,11,6575.43,6573.3,-0.00032393318763945615,-0.2130000000000109,-2.130000000000109
6/10/04,6/15/04,6,6572.68,6570.43,-0.00034232611354881114,-0.45,-2.25
6/18/04,6/26/04,10,6572.71,6570.97,-0.0002647309861533191,-0.19333333333330907,-1.7399999999997817
7/8/04,7/12/04,5,6574.38,6572.61,-0.0002692269080887379,-0.44250000000010914,-1.7700000000004366
7/24/04,7/30/04,7,6576.1,6574.99,-0.00016879305363370114,-0.185000000000097,-1.110000000000582
8/6/04,8/10/04,5,6577.08,6575.88,-0.00018245178711522714,-0.2999999999999545,-1.199999999999818
8/12/04,8/20/04,10,6576.58,6570.9,-0.000863670783294705,-0.6311111111111435,-5.680000000000291
8/29/04,9/6/04,10,6576.63,6573.51,-0.0004744071051587045,-0.3466666666666545,-3.119999999999891
