Year, Number of Drawdowns, Percent of Year in Drawdown, Average Days of Drawdown, SD of Drawdown, Average Percent Difference, SD Percent Difference, Average Rate of Change, SD Rate of Change, Max Daily Drawdown
2003,24,0.7095890410958904,10.791666666666666,6.831173439135882,-0.0003982724724168462,0.00033667317123887503,-0.2803633611758776,0.19606915736083874,-8.550000000000182
2004,25,0.6547945205479452,9.56,3.0077233915371937,-0.0005290578741329035,0.0005463002024603912,-0.37566901960784205,0.26728346641398826,-17.780000000000655
2005,27,0.8027397260273973,10.851851851851851,8.33423863395342,-0.0004743046140867666,0.0006413391803287121,-0.28517288241895566,0.20525893497884498,-22.470000000000255
2006,20,0.6438356164383562,11.75,9.766652445950967,-0.0004803698191349104,0.0005450792964328764,-0.2788188279857595,0.14868549602588377,-17.079999999999927
2007,22,0.6438356164383562,10.681818181818182,3.109901542381332,-0.0004393730977881479,0.0004232142556851529,-0.27111430262984904,0.22845405040007807,-10.090000000000146
2008,24,0.7616438356164383,11.583333333333334,4.071411166768702,-0.0006974228677344528,0.0006927468670040339,-0.4506223267473252,0.4405005406553898,-22.529999999999745
2009,21,0.6876712328767123,11.952380952380953,5.907833302579361,-0.00048103213177061265,0.00045585319459470855,-0.26903481771750354,0.15017903678494066,-11.769999999999527
2010,16,0.5150684931506849,11.75,5.414101956926928,-0.0005340341955166187,0.0007247294016169599,-0.3165096951659661,0.29604477015926933,-20.38000000000011
2011,17,0.5698630136986301,12.235294117647058,5.352617960506977,-0.0008255566910021555,0.0008374194651780848,-0.506552157393591,0.5922019085950629,-23.090000000000146
2012,20,0.684931506849315,12.5,6.248999919987197,-0.0005906378955500453,0.00042074554765325324,-0.35996984869703896,0.30457443711481313,-8.579999999999927
2013,20,0.7013698630136986,12.8,5.8702640485756685,-0.000704506816789746,0.0007090395360234617,-0.37840707176812083,0.2892198256822831,-20.699999999999818
2014,21,0.7726027397260274,13.428571428571429,5.141534221383718,-0.0008724598775572078,0.0007475442512661171,-0.41650605673219165,0.2702994890817912,-17.24000000000069
2015,21,0.6876712328767123,11.952380952380953,4.088033529778048,-0.0005062149617663577,0.0004151426430913651,-0.2806274080973384,0.17628611812041106,-11.86999999999989
2016,20,0.6712328767123288,12.25,6.59450528849587,-0.0006922391020844371,0.0004780360433469795,-0.42361438064858437,0.20028665552955907,-14.409999999999854
2017,18,0.5452054794520548,11.055555555555555,3.992663024184656,-0.0006457097944542611,0.0007045125682677032,-0.3822468587292941,0.3709217114392799,-19.079999999999927
2018,21,0.684931506849315,11.904761904761905,4.42831540478578,-0.0007330797468082612,0.0006801667473237521,-0.41233058211629225,0.26580031141097077,-18.579999999999927
2019,19,0.6465753424657534,12.421052631578947,8.785848606371044,-0.0005942959178670743,0.0005871249690108718,-0.3380794848426457,0.24416210718612885,-17.220000000000255
2020,30,1.0082191780821919,12.266666666666667,5.45242046149129,-0.0004884627441376442,0.0005657335243557663,-0.25205456621923317,0.16395553616110475,-20.3700000000008
2021,9,0.2410958904109589,9.777777777777779,2.8588178511708016,-0.00030271543535941194,0.00013634939850293052,-0.23494708994707705,0.09326696040683484,-3.5
