Year, Number of Drawdowns, Percent of Year in Drawdown, Average Days of Drawdown, SD of Drawdown, Average Percent Difference, SD Percent Difference, Average Rate of Change, SD Rate of Change, Max Daily Drawdown
2003,19,0.4301369863013699,8.263157894736842,2.380670079557609,-0.0006162019086018487,0.000309872620158527,-0.6065725210462052,0.295274258369586,-6.300000000000182
2004,18,0.3178082191780822,6.444444444444445,1.7708197167232473,-0.0007858333615267819,0.000445618216628464,-1.0500661375661375,0.6494487308849245,-7.789999999999964
2005,22,0.4712328767123288,7.818181818181818,4.141106172338318,-0.0009123752379788468,0.0005616020742604553,-1.081196417961124,0.838673582070953,-4.609999999999673
2006,15,0.3726027397260274,9.066666666666666,3.991101212558871,-0.0006792408154923381,0.00043681504975404557,-0.6083902841797578,0.47487038702956164,-6.630000000000109
2007,18,0.35342465753424657,7.166666666666667,2.192157739660984,-0.000844790856104647,0.0005580774383062457,-0.9820987654320987,0.7400866453638643,-5.920000000000073
2008,23,0.5287671232876713,8.391304347826088,2.944990299456713,-0.0009124712746100298,0.0006356049088425107,-0.8960882113056027,0.610409214944128,-17.980000000000473
2009,18,0.4328767123287671,8.777777777777779,4.589305872902974,-0.0006251626374392835,0.0005617701796234531,-0.5200449876920465,0.31935007236356927,-6.630000000000109
2010,15,0.3643835616438356,8.866666666666667,3.323986896618109,-0.0006488595533617988,0.0006810908751767554,-0.5404948646125117,0.3333778962419112,-5.829999999999927
2011,16,0.3835616438356164,8.75,3.799671038392666,-0.0010076251163361747,0.0008165294882694224,-1.0187699759390936,0.9549500766198734,-8.590000000000146
2012,18,0.4821917808219178,9.777777777777779,3.119037521692934,-0.0009127083946870848,0.0005244415209422573,-0.7982247690581026,0.5244943742051762,-5.5
2013,18,0.4465753424657534,9.055555555555555,3.045437794147943,-0.0009295649539706074,0.0006892089706878173,-0.7728157644824312,0.487326501887182,-6.75
2014,18,0.5397260273972603,10.944444444444445,4.600389140813371,-0.0013351289468214844,0.0008959999440350408,-0.9283557491890826,0.6568197153850337,-7.519999999999527
2015,19,0.4246575342465753,8.157894736842104,3.4376117458543014,-0.0007285905893702982,0.0004798648725905374,-0.7019391427286165,0.44005062709509213,-3.949999999999818
2016,23,0.5095890410958904,8.08695652173913,2.8879516357244546,-0.0007738667886388433,0.00039598547397462995,-0.7663849435588566,0.3765471824181961,-5.020000000000437
2017,18,0.3780821917808219,7.666666666666667,2.5819888974716116,-0.0008368054266484025,0.000641830074838294,-0.8581709956709959,0.5473735540501006,-3.550000000000182
2018,18,0.4575342465753425,9.277777777777779,4.616462757898273,-0.0011916902556462663,0.00071194238565042,-1.1314770512138932,0.8325453354672762,-10.050000000000182
2019,17,0.4383561643835616,9.411764705882353,6.287792313676621,-0.000760743545886891,0.0006305837181709984,-0.7273385111620407,0.6767683154483672,-6.920000000000073
2020,28,0.7315068493150685,9.535714285714286,5.165006865277853,-0.0006684062024624883,0.0005427562460378591,-0.5885474664506104,0.3925489462979011,-6.300000000000182
2021,8,0.15616438356164383,7.125,1.7633419974582356,-0.0007226302330697211,0.000508839556397751,-0.7069444444444445,0.30087000904988687,-4.969999999999345
