Year, Number of Drawdowns, Percent of Year in Drawdown, Average Days of Drawdown, SD of Drawdown, Average Percent Difference, SD Percent Difference, Average Rate of Change, SD Rate of Change, Max Daily Drawdown
2003,15,0.36712328767123287,8.933333333333334,3.0868898407440604,-0.0005870257414513664,0.00032063931294114495,-0.5411357864357877,0.3849001765366202,-7.330000000000837
2004,20,0.536986301369863,9.8,3.0919249667480613,-0.0005603867256475791,0.0005359407351580083,-0.38988349673204215,0.2209808386569378,-17.780000000000655
2005,23,0.5698630136986301,9.043478260869565,3.793338106293432,-0.0005106525484836256,0.00043933750110925157,-0.4008992661927378,0.176180727978057,-14.820000000000618
2006,13,0.4273972602739726,12.0,9.38083151964686,-0.0005420358481660948,0.0005052803776298922,-0.3194515974981308,0.11332474999264264,-14.339999999999236
2007,16,0.40821917808219177,9.3125,2.39057393736316,-0.00048252948867720795,0.00036100811944756134,-0.3833774038461755,0.24944026445769066,-9.090000000000146
2008,17,0.5397260273972603,11.588235294117647,4.923638343021548,-0.0008655385801844247,0.0007691278134445157,-0.5636685732568101,0.48079409312703325,-22.529999999999745
2009,12,0.37534246575342467,11.416666666666666,4.34853104188325,-0.0005859655419966089,0.000440243371927945,-0.35296049239431054,0.1853772282032186,-9.980000000000473
2010,11,0.2821917808219178,9.363636363636363,2.6379305688267105,-0.000629821684403484,0.0005755450662325789,-0.47309418863967406,0.3636209830996259,-14.4399999999996
2011,9,0.26575342465753427,10.777777777777779,2.1487866228681907,-0.000981437243496729,0.0009930451484882609,-0.6697580937580874,0.7276330038348267,-23.090000000000146
2012,12,0.36712328767123287,11.166666666666666,4.9972214501883165,-0.0007156246984226953,0.00039995002466614504,-0.485321304784537,0.22217780565771397,-8.579999999999927
2013,14,0.473972602739726,12.357142857142858,5.714732125419889,-0.0008478953201437094,0.0007472153860954969,-0.4855873015873199,0.2635085328535898,-20.699999999999818
2014,18,0.5506849315068493,11.166666666666666,5.469613027140647,-0.0009147989009099455,0.00071965082374366,-0.5609356361231415,0.3197356115286616,-15.949999999999818
2015,10,0.34794520547945207,12.7,4.360045871318328,-0.0008274422381193819,0.0004119400681149727,-0.5285769198637615,0.3240080559086058,-11.86999999999989
2016,14,0.4383561643835616,11.428571428571429,6.726432781139173,-0.0006834801138964162,0.0004537428269224858,-0.44939434523810157,0.1585913041819958,-13.649999999999636
2017,7,0.2356164383561644,12.285714285714286,3.325841921949376,-0.0011986600545045214,0.0008113523069015639,-0.6848275233538521,0.4189721081581579,-19.079999999999927
2018,15,0.4383561643835616,10.666666666666666,3.9944405810520642,-0.000907424750794837,0.0007083072800576149,-0.5651701261701308,0.2110251227964996,-18.579999999999927
2019,11,0.4,13.272727272727273,7.447890599368742,-0.0007492607248672568,0.0006204597813675458,-0.41780239898989335,0.26201360802309265,-15.75
2020,21,0.6712328767123288,11.666666666666666,4.9984124463800494,-0.0005883528748677681,0.0006153721572872244,-0.33842225294319805,0.187026362574547,-20.3700000000008
2021,6,0.13150684931506848,8.0,2.70801280154532,-0.0005173381672549619,0.0002482416761528853,-0.603879629629631,0.4876502220975541,-6.420000000000073
