Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference, Rate of Change, Drawdown
5/16/16,5/21/16,6,9973.0,9972.0,-0.0001002707309736288,-0.2,-1.0
5/25/16,5/30/16,6,9973.0,9972.0,-0.0001002707309736288,-0.2,-1.0
6/24/16,7/15/16,22,9998.0,9994.0,-0.00040008001600320064,-0.19047619047619047,-4.0
7/18/16,8/6/16,20,9993.0,9987.0,-0.0006004202942059442,-0.3157894736842105,-6.0
8/11/16,8/24/16,14,9987.0,9985.0,-0.00020026033843997197,-0.15384615384615385,-2.0
9/1/16,9/10/16,10,9985.0,9984.0,-0.00010015022533800701,-0.1111111111111111,-1.0
9/11/16,9/24/16,14,9984.0,9981.0,-0.00030048076923076925,-0.23076923076923078,-3.0
10/3/16,10/13/16,11,9980.0,9978.0,-0.0002004008016032064,-0.2,-2.0
10/17/16,10/26/16,10,9978.0,9977.0,-0.00010022048506714773,-0.1111111111111111,-1.0
11/12/16,11/21/16,10,9977.0,9976.0,-0.00010023053021950487,-0.1111111111111111,-1.0
11/23/16,12/2/16,10,9976.0,9975.0,-0.00010024057738572574,-0.1111111111111111,-1.0
12/5/16,12/14/16,10,9975.0,9974.0,-0.00010025062656641604,-0.1111111111111111,-1.0
3/25/17,4/3/17,10,9977.0,9974.0,-0.00030069159065851457,-0.3333333333333333,-3.0
6/29/17,7/17/17,19,10012.0,10005.0,-0.0006991610067918498,-0.3888888888888889,-7.0
7/18/17,7/27/17,10,10005.0,10004.0,-9.995002498750625e-05,-0.1111111111111111,-1.0
8/18/17,9/21/17,35,10004.0,9993.0,-0.0010995601759296281,-0.3235294117647059,-11.0
10/22/17,10/31/17,10,9994.0,9993.0,-0.00010006003602161297,-0.1111111111111111,-1.0
11/2/17,11/11/17,10,9993.0,9992.0,-0.00010007004903432403,-0.1111111111111111,-1.0
11/17/17,11/26/17,10,9992.0,9991.0,-0.00010008006405124099,-0.1111111111111111,-1.0
11/29/17,12/11/17,13,9991.0,9989.0,-0.00020018016214593134,-0.16666666666666666,-2.0
12/28/17,1/6/18,10,9989.0,9988.0,-0.00010011012113324657,-0.1111111111111111,-1.0
4/28/18,5/7/18,10,9991.0,9990.0,-0.00010009008107296567,-0.1111111111111111,-1.0
6/5/18,6/18/18,14,9991.0,9989.0,-0.00020018016214593134,-0.15384615384615385,-2.0
6/22/18,7/12/18,21,9989.0,9985.0,-0.0004004404845329863,-0.2,-4.0
7/13/18,7/22/18,10,9985.0,9984.0,-0.00010015022533800701,-0.1111111111111111,-1.0
8/5/18,8/14/18,10,9984.0,9983.0,-0.00010016025641025641,-0.1111111111111111,-1.0
8/26/18,9/4/18,10,9983.0,9982.0,-0.00010017028949213663,-0.1111111111111111,-1.0
12/21/18,12/30/18,10,9982.0,9981.0,-0.00010018032458425165,-0.1111111111111111,-1.0
3/15/19,3/24/19,10,9982.0,9981.0,-0.00010018032458425165,-0.1111111111111111,-1.0
5/1/19,5/10/19,10,9982.0,9981.0,-0.00010018032458425165,-0.1111111111111111,-1.0
5/19/19,5/28/19,10,9981.0,9980.0,-0.00010019036168720569,-0.1111111111111111,-1.0
7/6/19,7/15/19,10,10025.0,10023.0,-0.00019950124688279303,-0.2222222222222222,-2.0
7/17/19,8/7/19,22,10023.0,10018.0,-0.0004988526389304599,-0.23809523809523808,-5.0
8/9/19,10/23/19,76,10017.0,9986.0,-0.0030947389437955474,-0.41333333333333333,-31.0
10/28/19,11/6/19,10,9986.0,9985.0,-0.0001001401962747847,-0.1111111111111111,-1.0
11/7/19,11/20/19,14,9985.0,9983.0,-0.00020030045067601402,-0.15384615384615385,-2.0
11/24/19,12/3/19,10,9983.0,9982.0,-0.00010017028949213663,-0.1111111111111111,-1.0
12/4/19,12/13/19,10,9982.0,9981.0,-0.00010018032458425165,-0.1111111111111111,-1.0
12/18/19,12/27/19,10,9981.0,9980.0,-0.00010019036168720569,-0.1111111111111111,-1.0
5/20/20,5/29/20,10,9981.0,9980.0,-0.00010019036168720569,-0.1111111111111111,-1.0
6/9/20,6/18/20,10,9985.0,9984.0,-0.00010015022533800701,-0.1111111111111111,-1.0
6/19/20,7/26/20,36,9984.0,9975.0,-0.0009014423076923077,-0.2571428571428571,-9.0
7/30/20,8/8/20,10,9976.0,9975.0,-0.00010024057738572574,-0.1111111111111111,-1.0
8/12/20,8/21/20,10,9975.0,9974.0,-0.00010025062656641604,-0.1111111111111111,-1.0
8/24/20,9/2/20,10,9974.0,9973.0,-0.00010026067776218167,-0.1111111111111111,-1.0
9/3/20,9/11/20,9,9973.0,9972.0,-0.0001002707309736288,-0.125,-1.0
9/26/20,10/5/20,10,9973.0,9972.0,-0.0001002707309736288,-0.1111111111111111,-1.0
10/21/20,10/31/20,10,9972.0,9971.0,-0.00010028078620136381,-0.1111111111111111,-1.0
4/16/21,4/25/21,10,9973.0,9972.0,-0.0001002707309736288,-0.1111111111111111,-1.0
