Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference, Rate of Change, Drawdown
1/2/97,1/13/97,12,7736.0,7734.0,-0.0002585315408479835,-0.18181818181818182,-2.0
1/15/97,1/26/97,12,7734.0,7732.0,-0.0002585983966899405,-0.18181818181818182,-2.0
1/28/97,2/8/97,12,7732.0,7730.0,-0.0002586652871184687,-0.18181818181818182,-2.0
2/14/97,2/24/97,11,7729.0,7727.0,-0.00025876568766981497,-0.2,-2.0
3/1/97,3/17/97,17,7726.0,7722.0,-0.0005177323323841574,-0.25,-4.0
4/1/97,4/10/97,10,7721.0,7720.0,-0.00012951690195570523,-0.1111111111111111,-1.0
4/12/97,4/23/97,12,7719.0,7716.0,-0.000388651379712398,-0.2727272727272727,-3.0
4/29/97,5/6/97,8,7716.0,7715.0,-0.00012960082944530845,-0.14285714285714285,-1.0
7/19/97,7/28/97,10,7766.0,7765.0,-0.0001287664177182591,-0.1111111111111111,-1.0
7/31/97,8/12/97,13,7765.0,7763.0,-0.00025756600128783,-0.16666666666666666,-2.0
8/21/97,8/30/97,10,7763.0,7762.0,-0.0001288161793121216,-0.1111111111111111,-1.0
9/6/97,9/18/97,13,7761.0,7759.0,-0.00025769875016106174,-0.16666666666666666,-2.0
10/1/97,10/12/97,12,7759.0,7757.0,-0.0002577651759247326,-0.18181818181818182,-2.0
10/13/97,10/24/97,12,7757.0,7755.0,-0.00025783163594173,-0.18181818181818182,-2.0
10/25/97,11/7/97,14,7755.0,7752.0,-0.00038684719535783365,-0.23076923076923078,-3.0
11/12/97,11/24/97,13,7752.0,7750.0,-0.00025799793601651185,-0.16666666666666666,-2.0
11/25/97,2/28/98,96,7750.0,7724.0,-0.0033548387096774194,-0.2736842105263158,-26.0
3/1/98,4/26/98,57,7727.0,7701.0,-0.003364824640869678,-0.4642857142857143,-26.0
8/19/98,10/26/98,69,7764.0,7735.0,-0.0037351880473982485,-0.4264705882352941,-29.0
10/31/98,11/9/98,10,7735.0,7734.0,-0.0001292824822236587,-0.1111111111111111,-1.0
11/25/98,12/4/98,10,7734.0,7733.0,-0.00012929919834497026,-0.1111111111111111,-1.0
12/10/98,12/19/98,10,7733.0,7732.0,-0.000129315918789603,-0.1111111111111111,-1.0
