Year, Number of Drawdowns, Percent of Year in Drawdown, Average Days of Drawdown, SD of Drawdown, Average Percent Difference, SD Percent Difference, Average Rate of Change, SD Rate of Change, Max Daily Drawdown
1997,17,0.7863013698630137,16.88235294117647,19.86981853418181,-0.0004404817857188987,0.0007353204619070432,-0.1830860058414238,0.04926350874161335,-0.47000000000025466
1998,7,0.4821917808219178,25.142857142857142,24.15680070721625,-0.0011066560434058478,0.0015484773381355293,-0.20661597972522344,0.15134428142322418,-3.4600000000000364
1999,13,0.5178082191780822,14.538461538461538,9.475599308145144,-0.0003473238650823861,0.0005138646115866089,-0.15031976570438113,0.07017361437356796,-0.9700000000002547
2000,16,0.663013698630137,15.125,13.499421283892136,-0.0003950965640666905,0.0006999248363009322,-0.1658744033744034,0.0632134317482191,-0.7800000000006548
2001,17,0.6328767123287671,13.588235294117647,12.728193918039784,-0.00034168940028983844,0.0006903186052013631,-0.15434598081656908,0.06965760832050522,-0.6500000000005457
2002,9,0.4602739726027397,18.666666666666668,24.513035081133648,-0.0006895264451950923,0.0015836010005217328,-0.1498510004257131,0.10957295374708527,-0.8600000000005821
2003,9,0.43561643835616437,17.666666666666668,13.703203194062977,-0.0005018755997907725,0.0006807281698396929,-0.16340367827782018,0.08584417005847864,-0.5299999999997453
2004,14,0.5342465753424658,13.928571428571429,10.326555819925673,-0.00034141739534930435,0.00042915669276130566,-0.17831275866990154,0.06951067800184015,-0.8900000000003274
2005,14,0.5041095890410959,13.142857142857142,10.273802626494403,-0.0003131585537097735,0.0006282869672694957,-0.13538162517754357,0.07644767409653398,-0.5199999999995271
2006,10,0.4931506849315068,18.0,17.0,-0.0005291193529250566,0.0006968713882679633,-0.20991667706988165,0.08158411132295608,-0.4000000000005457
2007,13,0.46301369863013697,13.0,9.248700532424085,-0.00029766132855209423,0.00043852920053172724,-0.15439005439005438,0.06210000984201686,-0.47000000000025466
2008,9,0.6219178082191781,25.22222222222222,27.727955319006835,-0.0008889955450011338,0.0013535160321926794,-0.1823458005050045,0.09968644729080219,-0.6700000000000728
2009,15,0.547945205479452,13.333333333333334,11.169402649898316,-0.00036111875857603305,0.0007994559792291344,-0.1442199775533109,0.09267044307402264,-0.8100000000004002
2010,16,0.5917808219178082,13.5,12.55985668708047,-0.00032247468950044074,0.0006830364062553201,-0.1373476250525431,0.06795280757990493,-0.6000000000003638
2011,15,0.5726027397260274,13.933333333333334,9.622658445333887,-0.00038737120778549683,0.0005197296236983209,-0.19625624777798692,0.125301778734065,-0.6000000000003638
2012,11,0.4958904109589041,16.454545454545453,14.195797306140461,-0.00045787687167249207,0.0007963329989353552,-0.16452991452991453,0.07447298104144393,-0.5299999999997453
2013,10,0.32054794520547947,11.7,2.794637722496424,-0.00021944208420056227,0.000141680533838471,-0.14652777777777778,0.056455386351951825,-0.3600000000005821
2014,9,0.5013698630136987,20.333333333333332,18.049315160907845,-0.000573579294786429,0.0007656135672048424,-0.17120650104282667,0.07459235714014195,-0.4099999999998545
2015,10,0.5123287671232877,18.7,20.479501947068925,-0.0005801375003812049,0.001095971031213234,-0.1730562686258889,0.07407945047366868,-0.6199999999998909
2016,14,0.5561643835616439,14.5,14.642160262162722,-0.00038692561933187516,0.0008601047764569268,-0.13874458874458878,0.07837759672905069,-0.5299999999997453
2017,15,0.5616438356164384,13.666666666666666,13.45444990411062,-0.00033538099254658873,0.0007372208656350018,-0.13502645502645505,0.06934762209747479,-0.569999999999709
2018,9,0.44931506849315067,18.22222222222222,24.00822904190134,-0.0006309421597320567,0.001373586767621418,-0.16224995048524463,0.09413741754120539,-0.8299999999999272
2019,14,0.4876712328767123,12.714285714285714,10.9441998430256,-0.00033177105994455753,0.0007294967862306942,-0.14173669467787117,0.08875383034116367,-0.6300000000001091
2020,24,0.915068493150685,13.916666666666666,13.631815318910714,-0.0002906311173896927,0.0005174937020501419,-0.13914233914233917,0.0480706665045914,-0.6499999999996362
2021,5,0.136986301369863,10.0,0.0,-0.00012958403959881384,2.3747507156937272e-08,-0.11111111111111112,1.3877787807814457e-17,-0.11999999999989086
