Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference, Rate of Change, Drawdown
4/14/00,4/20/00,7,1528.0,1524.0,-0.002617801047120419,-0.6666666666666666,-4.0
5/26/00,6/4/00,10,1527.0,1526.0,-0.0006548788474132286,-0.1111111111111111,-1.0
7/2/00,7/7/00,6,1527.0,1523.0,-0.0026195153896529143,-0.8,-4.0
7/13/00,7/18/00,6,1524.0,1523.0,-0.0006561679790026247,-0.2,-1.0
7/24/00,7/29/00,6,1524.0,1523.0,-0.0006561679790026247,-0.2,-1.0
7/31/00,8/5/00,6,1524.0,1523.0,-0.0006561679790026247,-0.2,-1.0
8/17/00,8/25/00,9,1524.0,1523.0,-0.0006561679790026247,-0.125,-1.0
8/30/00,9/8/00,10,1524.0,1523.0,-0.0006561679790026247,-0.1111111111111111,-1.0
9/17/00,9/26/00,10,1524.0,1523.0,-0.0006561679790026247,-0.1111111111111111,-1.0
10/1/00,10/10/00,10,1524.0,1523.0,-0.0006561679790026247,-0.1111111111111111,-1.0
11/8/00,11/12/00,5,1524.0,1523.0,-0.0006561679790026247,-0.25,-1.0
11/22/00,11/30/00,9,1524.0,1523.0,-0.0006561679790026247,-0.125,-1.0
12/1/00,12/10/00,10,1524.0,1523.0,-0.0006561679790026247,-0.1111111111111111,-1.0
12/18/00,12/27/00,10,1524.0,1523.0,-0.0006561679790026247,-0.1111111111111111,-1.0
2/19/01,2/25/01,7,1528.0,1523.0,-0.0032722513089005235,-0.8333333333333334,-5.0
3/13/01,3/19/01,7,1524.0,1523.0,-0.0006561679790026247,-0.16666666666666666,-1.0
3/20/01,3/25/01,6,1524.0,1522.0,-0.0013123359580052493,-0.4,-2.0
4/28/01,5/2/01,5,1525.0,1523.0,-0.0013114754098360656,-0.5,-2.0
5/11/01,5/16/01,6,1524.0,1523.0,-0.0006561679790026247,-0.2,-1.0
5/20/01,5/25/01,6,1524.0,1523.0,-0.0006561679790026247,-0.2,-1.0
5/26/01,6/1/01,7,1524.0,1523.0,-0.0006561679790026247,-0.16666666666666666,-1.0
6/6/01,6/13/01,8,1524.0,1523.0,-0.0006561679790026247,-0.14285714285714285,-1.0
6/15/01,6/20/01,6,1527.0,1523.0,-0.0026195153896529143,-0.8,-4.0
6/24/01,6/30/01,7,1524.0,1523.0,-0.0006561679790026247,-0.16666666666666666,-1.0
7/7/01,7/16/01,10,1524.0,1523.0,-0.0006561679790026247,-0.1111111111111111,-1.0
7/30/01,8/6/01,8,1526.0,1523.0,-0.001965923984272608,-0.42857142857142855,-3.0
8/10/01,8/15/01,6,1524.0,1523.0,-0.0006561679790026247,-0.2,-1.0
8/16/01,8/25/01,10,1524.0,1523.0,-0.0006561679790026247,-0.1111111111111111,-1.0
8/26/01,8/31/01,6,1524.0,1523.0,-0.0006561679790026247,-0.2,-1.0
9/3/01,9/12/01,10,1524.0,1523.0,-0.0006561679790026247,-0.1111111111111111,-1.0
9/13/01,9/22/01,10,1524.0,1523.0,-0.0006561679790026247,-0.1111111111111111,-1.0
10/6/01,10/15/01,10,1525.0,1523.0,-0.0013114754098360656,-0.2222222222222222,-2.0
10/17/01,10/26/01,10,1525.0,1523.0,-0.0013114754098360656,-0.2222222222222222,-2.0
11/13/01,11/19/01,7,1524.0,1522.0,-0.0013123359580052493,-0.3333333333333333,-2.0
11/21/01,11/30/01,10,1524.0,1523.0,-0.0006561679790026247,-0.1111111111111111,-1.0
12/4/01,12/10/01,7,1525.0,1522.0,-0.0019672131147540984,-0.5,-3.0
12/17/01,12/26/01,10,1523.0,1522.0,-0.0006565988181221273,-0.1111111111111111,-1.0
1/8/02,1/12/02,5,1523.0,1522.0,-0.0006565988181221273,-0.25,-1.0
1/22/02,1/31/02,10,1527.0,1525.0,-0.0013097576948264572,-0.2222222222222222,-2.0
2/2/02,2/11/02,10,1525.0,1522.0,-0.0019672131147540984,-0.3333333333333333,-3.0
3/4/02,3/10/02,7,1525.0,1524.0,-0.0006557377049180328,-0.16666666666666666,-1.0
3/18/02,3/27/02,10,1525.0,1524.0,-0.0006557377049180328,-0.1111111111111111,-1.0
3/29/02,4/7/02,10,1525.0,1524.0,-0.0006557377049180328,-0.1111111111111111,-1.0
4/10/02,4/14/02,5,1525.0,1524.0,-0.0006557377049180328,-0.25,-1.0
4/15/02,4/26/02,12,1525.0,1523.0,-0.0013114754098360656,-0.18181818181818182,-2.0
5/30/02,6/8/02,10,1525.0,1522.0,-0.0019672131147540984,-0.3333333333333333,-3.0
6/14/02,6/23/02,10,1522.0,1520.0,-0.001314060446780552,-0.2222222222222222,-2.0
6/26/02,7/1/02,6,1527.0,1524.0,-0.0019646365422396855,-0.6,-3.0
7/4/02,7/9/02,6,1525.0,1524.0,-0.0006557377049180328,-0.2,-1.0
7/13/02,7/24/02,12,1528.0,1524.0,-0.002617801047120419,-0.36363636363636365,-4.0
8/4/02,8/10/02,7,1525.0,1524.0,-0.0006557377049180328,-0.16666666666666666,-1.0
9/5/02,9/10/02,6,1526.0,1525.0,-0.000655307994757536,-0.2,-1.0
9/21/02,9/26/02,6,1526.0,1525.0,-0.000655307994757536,-0.2,-1.0
9/27/02,10/6/02,10,1526.0,1525.0,-0.000655307994757536,-0.1111111111111111,-1.0
10/17/02,10/28/02,12,1526.0,1524.0,-0.001310615989515072,-0.18181818181818182,-2.0
11/5/02,11/9/02,5,1527.0,1525.0,-0.0013097576948264572,-0.5,-2.0
11/12/02,11/19/02,8,1526.0,1525.0,-0.000655307994757536,-0.14285714285714285,-1.0
11/22/02,11/26/02,5,1526.0,1525.0,-0.000655307994757536,-0.25,-1.0
11/27/02,12/1/02,5,1526.0,1525.0,-0.000655307994757536,-0.25,-1.0
12/26/02,1/1/03,7,1526.0,1525.0,-0.000655307994757536,-0.16666666666666666,-1.0
1/10/03,1/14/03,5,1526.0,1525.0,-0.000655307994757536,-0.25,-1.0
1/27/03,2/3/03,8,1527.0,1525.0,-0.0013097576948264572,-0.2857142857142857,-2.0
3/7/03,3/16/03,10,1527.0,1525.0,-0.0013097576948264572,-0.2222222222222222,-2.0
3/31/03,4/4/03,5,1526.0,1525.0,-0.000655307994757536,-0.25,-1.0
4/7/03,4/16/03,10,1526.0,1525.0,-0.000655307994757536,-0.1111111111111111,-1.0
4/23/03,5/2/03,10,1526.0,1525.0,-0.000655307994757536,-0.1111111111111111,-1.0
5/7/03,5/16/03,10,1526.0,1525.0,-0.000655307994757536,-0.1111111111111111,-1.0
6/10/03,6/19/03,10,1526.0,1525.0,-0.000655307994757536,-0.1111111111111111,-1.0
7/20/03,7/24/03,5,1526.0,1525.0,-0.000655307994757536,-0.25,-1.0
7/25/03,7/30/03,6,1526.0,1525.0,-0.000655307994757536,-0.2,-1.0
7/31/03,8/6/03,7,1526.0,1525.0,-0.000655307994757536,-0.16666666666666666,-1.0
8/10/03,8/19/03,10,1526.0,1525.0,-0.000655307994757536,-0.1111111111111111,-1.0
9/7/03,9/16/03,10,1526.0,1525.0,-0.000655307994757536,-0.1111111111111111,-1.0
10/3/03,10/12/03,10,1526.0,1525.0,-0.000655307994757536,-0.1111111111111111,-1.0
10/19/03,10/28/03,10,1526.0,1525.0,-0.000655307994757536,-0.1111111111111111,-1.0
