Year, Number of Drawdowns, Percent of Year in Drawdown, Average Days of Drawdown, SD of Drawdown, Average Percent Difference, SD Percent Difference, Average Rate of Change, SD Rate of Change, Max Daily Drawdown
2000,14,0.31232876712328766,8.142857142857142,1.9219462924391018,-0.0009364316466582452,0.0006867662777202279,-0.23095238095238096,0.21137686161594457,-2.089999999999918
2001,23,0.4904109589041096,7.782608695652174,1.743472839631602,-0.0011117732386197866,0.0007073548454962661,-0.2760524499654934,0.20569036033297516,-2.1800000000000637
2002,23,0.5041095890410959,8.0,2.467175818975845,-0.0010543787854602608,0.0005708703704745884,-0.2397641006336659,0.1175689149398835,-2.3600000000001273
2003,21,0.4547945205479452,7.904761904761905,2.021427169218202,-0.000748800809053096,0.0002290096896409071,-0.1840891912320484,0.09049789431848605,-1.7000000000000455
2004,19,0.410958904109589,7.894736842105263,2.0234087143937987,-0.0007930192075668155,0.0002668429773716795,-0.19791144527986634,0.10524305363569471,-1.5799999999999272
2005,22,0.4136986301369863,6.863636363636363,2.095351013021111,-0.0011015628659388791,0.000994633990884263,-0.336038961038961,0.3915874843087723,-2.7100000000000364
2006,19,0.336986301369863,6.473684210526316,1.81712384227706,-0.0008618635354021626,0.0003041874827861584,-0.25029239766081873,0.08262808168973128,-1.7200000000000273
2007,17,0.3013698630136986,6.470588235294118,1.8508391438296792,-0.0010790028417771837,0.00044608715003303874,-0.3340336134453781,0.1660260424564236,-2.410000000000082
2008,16,0.27945205479452057,6.375,1.7633419974582356,-0.00114649412776841,0.00043296916906504935,-0.35954861111111114,0.15587135834722574,-1.9199999999998454
2009,14,0.27123287671232876,7.071428571428571,2.186461123573424,-0.0014973565114979135,0.0005765473732337884,-0.43707482993197283,0.2574279704487341,-2.6000000000001364
2010,14,0.27671232876712326,7.214285714285714,1.7393993802694172,-0.0011229561068924366,0.0004582699225536134,-0.28469387755102044,0.10644580028469747,-2.490000000000009
2011,13,0.2493150684931507,7.0,2.0754980866510833,-0.0012596803653059112,0.0006524665092630477,-0.35534188034188036,0.24299409855127616,-2.0700000000001637
2012,16,0.32054794520547947,7.3125,1.757795138803154,-0.0009419786318110099,0.0003988640539869203,-0.25649801587301585,0.16423879274680034,-1.6900000000000546
2013,14,0.273972602739726,7.142857142857143,2.44532039551767,-0.0012627970751065702,0.0005226605410552703,-0.3590048840048841,0.18426800970631876,-2.1400000000001
2014,12,0.2191780821917808,6.666666666666667,1.9720265943665387,-0.0008738157989755276,0.00030856106063492574,-0.2537037037037037,0.0964741946491193,-2.6799999999998363
2015,12,0.25205479452054796,7.666666666666667,2.3921166824012206,-0.0013640455361124178,0.0007295850670030275,-0.33287037037037037,0.14632779196834744,-2.5799999999999272
2016,17,0.3041095890410959,6.529411764705882,2.2782254977690686,-0.0008089429422706234,0.00035688216081312984,-0.24248366013071898,0.10528760584043799,-2.2000000000000455
2017,16,0.28493150684931506,6.5,1.8708286933869707,-0.000941603162853564,0.0005168052394754858,-0.27306547619047616,0.12142321181695585,-2.3600000000001273
2018,16,0.2958904109589041,6.75,1.6393596310755,-0.0010643658790096312,0.00039256941541662206,-0.3059027777777777,0.13879814744089594,-1.849999999999909
2019,10,0.21095890410958903,7.7,1.8466185312619385,-0.0016368972209321216,0.00043895501413275425,-0.40702380952380945,0.1484769882398787,-1.7899999999999636
2020,15,0.31232876712328766,7.6,2.870540018881465,-0.0018331181598273023,0.000595367897146996,-0.4770736670736671,0.20721764555044947,-3.0299999999999727
