Start Date, End Date, Duration, Start Elevation, Min Elevation, Percent Difference, Rate of Change, Drawdown
6/23/97,7/10/97,19,8926.91,8925.88,-0.0001153814701840452,-0.06866666666671033,-1.0300000000006548
7/31/97,9/24/97,57,8925.38,8902.98,-0.0025096970661192732,-0.4307692307692238,-22.399999999999636
5/20/98,5/27/98,8,8926.79,8926.26,-5.9371845870761474e-05,-0.17666666666688494,-0.5300000000006548
6/4/98,6/12/98,10,8926.53,8926.03,-5.601280676813946e-05,-0.07142857142857142,-0.5
7/16/98,10/6/98,84,8925.42,8872.08,-0.005976189355795037,-0.6504878048780506,-53.340000000000146
7/5/99,7/26/99,23,8926.26,8922.01,-0.00047612325878923533,-0.2236842105263158,-4.25
7/31/99,8/5/99,6,8924.11,8923.31,-8.964479371064357e-05,-0.2666666666670305,-0.8000000000010914
8/12/99,11/5/99,87,8924.54,8899.91,-0.0027598061076538416,-0.2967469879518195,-24.63000000000102
12/28/99,1/11/00,11,8903.25,8902.41,-9.434756970770736e-05,-0.8400000000001455,-0.8400000000001455
5/23/00,5/28/00,6,8926.77,8926.2,-6.385288295763294e-05,-0.189999999999903,-0.569999999999709
5/31/00,6/8/00,10,8926.83,8926.11,-8.065573109371918e-05,-0.11999999999989086,-0.7199999999993452
6/9/00,6/28/00,10,8926.24,8924.51,-0.00019381060782586661,-0.21624999999994543,-1.7299999999995634
6/29/00,7/15/00,18,8925.1,8919.74,-0.0006005534951989985,-0.35733333333337214,-5.360000000000582
7/18/00,9/14/00,60,8920.26,8882.07,-0.004281265344283744,-0.6943636363636456,-38.19000000000051
6/11/01,6/19/01,10,8926.16,8925.35,-9.074450827673834e-05,-0.1349999999999151,-0.8099999999994907
6/30/01,10/18/01,112,8925.23,8870.0,-0.006188075825496886,-0.506697247706418,-55.22999999999956
3/2/02,3/22/02,21,8871.59,8869.38,-0.0002491097988073103,-0.13000000000005563,-2.210000000000946
6/13/02,10/2/02,113,8913.16,8853.77,-0.00666318118377763,-0.5399090909090856,-59.38999999999942
10/19/02,10/27/02,10,8856.48,8855.31,-0.0001321066608855971,-0.19500000000001214,-1.1700000000000728
7/4/03,9/10/03,70,8925.54,8886.91,-0.004328029452559847,-0.5765671641791197,-38.63000000000102
5/28/04,6/2/04,6,8926.59,8926.13,-5.153143585635118e-05,-0.11500000000023647,-0.4600000000009459
6/9/04,9/21/04,106,8926.51,8878.3,-0.00540076692906869,-0.4773267326732767,-48.210000000000946
7/11/05,9/22/05,75,8925.68,8880.82,-0.005025947602871779,-0.6230555555555637,-44.86000000000058
10/3/05,10/8/05,6,8881.84,8881.48,-4.053214198866249e-05,-0.18000000000029104,-0.3600000000005821
6/14/06,6/25/06,13,8926.14,8925.62,-5.825586423679413e-05,-0.047272727272601595,-0.5199999999986176
6/30/06,7/8/06,10,8925.3,8924.62,-7.61879152519772e-05,-0.13599999999969442,-0.679999999998472
7/14/06,9/21/06,71,8925.1,8887.04,-0.004264377990162518,-0.5680597014925297,-38.05999999999949
5/22/07,5/27/07,6,8926.01,8925.57,-4.9294141503371526e-05,-0.11000000000012733,-0.4400000000005093
6/5/07,6/13/07,9,8926.26,8925.79,-5.2653630971912664e-05,-0.23499999999967258,-0.46999999999934516
7/6/07,9/7/07,65,8925.21,8894.25,-0.003468825943591146,-0.5159999999999855,-30.959999999999127
5/21/08,5/26/08,6,8926.86,8926.38,-5.377030669254166e-05,-0.24000000000069122,-0.48000000000138243
6/20/08,6/29/08,11,8927.1,8926.26,-9.409550693955994e-05,-0.10500000000001819,-0.8400000000001455
8/17/08,10/20/08,66,8926.78,8876.65,-0.005615686731385899,-0.8085483870967907,-50.13000000000102
10/22/08,12/2/08,43,8879.11,8865.24,-0.0015620934981096979,-0.34675000000002,-13.8700000000008
5/19/09,5/30/09,13,8926.89,8925.98,-0.00010193919718959846,-0.10111111111109494,-0.9099999999998545
6/26/09,10/9/09,107,8926.32,8870.64,-0.006237732906729794,-0.5458823529411794,-55.68000000000029
6/9/10,6/17/10,10,8926.69,8925.76,-0.00010418195322121536,-0.1860000000000582,-0.930000000000291
6/30/10,8/4/10,37,8925.11,8909.1,-0.0017938154263645173,-0.5003125000000068,-16.01000000000022
8/5/10,11/1/10,89,8909.16,8860.48,-0.0054640392584710895,-0.5660465116279103,-48.68000000000029
6/6/11,6/14/11,10,8927.02,8926.58,-4.9288564381003886e-05,-0.06285714285721562,-0.4400000000005093
6/16/11,6/23/11,8,8926.88,8926.2,-7.617443048393975e-05,-0.13599999999969442,-0.679999999998472
7/12/11,7/17/11,6,8926.28,8925.69,-6.60969631246326e-05,-0.14750000000003638,-0.5900000000001455
8/5/11,11/7/11,95,8924.9,8882.23,-0.0047810059496465026,-0.4741111111111119,-42.67000000000007
6/10/12,9/5/12,89,8924.99,8862.07,-0.0070498678429891885,-0.7402352941176479,-62.92000000000007
12/30/12,1/8/13,11,8878.92,8877.91,-0.00011375257351121739,-0.16833333333336972,-1.0100000000002183
5/27/13,6/7/13,13,8926.03,8920.37,-0.0006341004903635607,-0.7074999999999818,-5.6599999999998545
6/21/13,9/13/13,86,8919.37,8895.08,-0.0027232865101459937,-0.2926506024096491,-24.290000000000873
11/5/13,12/5/13,32,8910.75,8905.0,-0.0006452879948376961,-0.21296296296296297,-5.75
6/13/14,6/24/14,13,8926.87,8926.33,-6.04915272655335e-05,-0.06000000000009701,-0.5400000000008731
7/21/14,9/8/14,51,8925.23,8897.97,-0.003054263027395397,-0.5563265306122493,-27.26000000000022
9/13/14,9/22/14,11,8901.1,8899.88,-0.00013706171147399355,-0.15250000000014552,-1.2200000000011642
7/22/15,10/21/15,93,8925.08,8882.32,-0.004790993470086567,-0.46989010989011226,-42.76000000000022
5/23/16,5/31/16,10,8926.38,8925.01,-0.0001534776695591025,-0.2739999999997963,-1.3699999999989814
6/21/16,6/29/16,10,8926.24,8925.6,-7.169872197021567e-05,-0.07999999999992724,-0.6399999999994179
7/19/16,9/22/16,67,8925.41,8870.81,-0.00611736603696641,-0.8666666666666725,-54.600000000000364
7/23/17,7/29/17,7,8925.44,8924.57,-9.747418614665498e-05,-0.2175000000002001,-0.8700000000008004
8/1/17,11/30/17,123,8925.33,8875.23,-0.005613237829861794,-0.4140495867768625,-50.100000000000364
6/18/18,10/10/18,116,8924.83,8849.32,-0.00846066535721131,-0.6741964285714305,-75.51000000000022
10/27/18,11/4/18,10,8851.95,8851.49,-5.196595100525261e-05,-0.15333333333364862,-0.4600000000009459
