Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference, Rate of Change, Drawdown
8/22/98,10/6/98,47,8906.77,8872.23,-0.003877949020801129,-0.7508695652174103,-34.54000000000087
8/15/00,9/14/00,32,8905.88,8882.36,-0.0026409518205947778,-0.7587096774193103,-23.519999999998618
9/7/01,10/18/01,43,8893.58,8870.34,-0.002613120925431579,-0.5533333333333281,-23.23999999999978
3/2/02,3/22/02,21,8871.59,8869.49,-0.00023671066854987256,-0.10500000000001819,-2.100000000000364
8/13/02,10/2/02,52,8881.43,8854.14,-0.003072703382225708,-0.5350980392157034,-27.290000000000873
9/2/03,9/10/03,10,8890.52,8887.84,-0.0003014446849003535,-0.2977777777778101,-2.680000000000291
9/16/05,9/24/05,10,8883.58,8881.02,-0.0002881721107931139,-0.2844444444443879,-2.5599999999994907
8/28/08,10/20/08,55,8918.8,8877.71,-0.004607122034354414,-0.7609259259259287,-41.090000000000146
10/29/08,12/2/08,36,8877.45,8865.72,-0.0013213253805993141,-0.33514285714289666,-11.730000000001382
8/31/10,11/1/10,63,8893.31,8860.71,-0.0036656767840095943,-0.5258064516129091,-32.600000000000364
8/10/12,9/5/12,28,8891.66,8863.42,-0.0031760098789202222,-1.045925925925918,-28.23999999999978
6/3/13,9/13/13,104,8925.79,8896.08,-0.0033285569120493474,-0.28844660194175675,-29.710000000000946
8/30/15,10/21/15,54,8900.6,8882.45,-0.0020391883693233756,-0.3424528301886724,-18.149999999999636
8/31/16,9/22/16,24,8895.49,8871.95,-0.002646284802748253,-1.023478260869524,-23.539999999999054
9/6/17,11/30/17,87,8902.57,8875.28,-0.0030654069555194796,-0.31732558139533784,-27.289999999999054
8/2/18,10/10/18,71,8900.24,8849.78,-0.005669510035684333,-0.7208571428571304,-50.45999999999913
5/1/19,5/13/19,14,8876.08,8867.02,-0.001020720858757412,-0.6969230769230378,-9.05999999999949
8/29/19,11/9/19,74,8909.74,8859.64,-0.005623059707690725,-0.6863013698630187,-50.100000000000364
8/20/20,10/17/20,60,8894.55,8848.57,-0.005169457701626228,-0.7793220338982977,-45.97999999999956
