Start Date, End Date, Duration, Start Elevation, End Elevation, Drawdown
6/26/97,6/28/97,3,8927.0,8926.0,-1.0
7/24/97,7/27/97,4,8926.0,8925.0,-1.0
1/15/98,1/16/98,2,8911.0,8910.0,-1.0
6/15/99,6/16/99,2,8927.0,8926.0,-1.0
6/28/99,6/29/99,2,8927.0,8926.0,-1.0
8/2/99,8/3/99,2,8924.0,8923.0,-1.0
5/23/00,5/26/00,4,8927.0,8926.0,-1.0
5/27/00,5/28/00,2,8927.0,8926.0,-1.0
6/1/00,6/3/00,3,8927.0,8926.0,-1.0
9/26/00,9/28/00,3,8883.0,8882.0,-1.0
3/29/01,4/1/01,4,8878.0,8877.0,-1.0
6/15/01,6/18/01,4,8926.0,8925.0,-1.0
12/17/01,12/18/01,2,8874.0,8873.0,-1.0
12/19/01,12/20/01,2,8874.0,8873.0,-1.0
12/22/01,12/25/01,4,8874.0,8873.0,-1.0
2/28/02,3/1/02,2,8871.0,8870.0,-1.0
5/29/03,6/1/03,4,8927.0,8926.0,-1.0
6/19/05,6/22/05,4,8927.0,8926.0,-1.0
10/4/05,10/5/05,2,8882.0,8881.0,-1.0
10/7/05,10/8/05,2,8882.0,8881.0,-1.0
5/18/06,5/20/06,3,8927.0,8926.0,-1.0
5/24/06,5/25/06,2,8927.0,8926.0,-1.0
4/24/07,4/25/07,2,8926.0,8925.0,-1.0
9/19/07,9/22/07,4,8895.0,8894.0,-1.0
10/4/07,10/5/07,2,8895.0,8893.0,-2.0
5/22/08,5/25/08,4,8927.0,8926.0,-1.0
7/11/08,7/12/08,2,8927.0,8926.0,-1.0
5/20/09,5/22/09,3,8927.0,8926.0,-1.0
5/31/10,6/3/10,4,8927.0,8926.0,-1.0
10/30/10,11/1/10,3,8861.0,8860.0,-1.0
6/2/11,6/3/11,2,8927.0,8926.0,-1.0
7/23/11,7/25/11,3,8926.0,8925.0,-1.0
5/26/12,5/29/12,4,8926.0,8925.0,-1.0
6/1/12,6/2/12,2,8926.0,8925.0,-1.0
6/3/12,6/4/12,2,8926.0,8925.0,-1.0
6/3/13,6/4/13,2,8926.0,8920.0,-6.0
6/15/14,6/16/14,2,8927.0,8926.0,-1.0
6/17/14,6/19/14,3,8927.0,8926.0,-1.0
6/8/17,6/9/17,2,8927.0,8926.0,-1.0
10/6/18,10/9/18,4,8850.0,8849.0,-1.0
10/29/18,10/30/18,2,8852.0,8851.0,-1.0
11/5/18,11/7/18,3,8852.0,8851.0,-1.0
11/8/18,11/9/18,2,8852.0,8851.0,-1.0
3/25/19,3/27/19,3,8867.0,8866.0,-1.0
6/16/19,6/18/19,3,8927.0,8926.0,-1.0
10/26/20,10/27/20,2,8849.0,8848.0,-1.0
