Year, Number of Drawdowns, Percent of Year in Drawdown, Average Days of Drawdown, SD of Drawdown, Average Percent Difference, SD Percent Difference, Average Rate of Change, SD Rate of Change, Max Daily Drawdown
1998,1,0.12876712328767123,47.0,0.0,-0.003877949020801129,0.0,-0.7508695652174103,0.0,-34.54000000000087
2000,1,0.08767123287671233,32.0,0.0,-0.0026409518205947778,0.0,-0.7587096774193103,0.0,-23.519999999998618
2001,1,0.1178082191780822,43.0,0.0,-0.002613120925431579,0.0,-0.5533333333333281,0.0,-23.23999999999978
2002,2,0.2,36.5,15.5,-0.0016547070253877902,0.0014179963568379179,-0.3200490196078608,0.21504901960784262,-27.290000000000873
2003,1,0.0273972602739726,10.0,0.0,-0.0003014446849003535,0.0,-0.2977777777778101,0.0,-2.680000000000291
2005,1,0.0273972602739726,10.0,0.0,-0.0002881721107931139,0.0,-0.2844444444443879,0.0,-2.5599999999994907
2008,2,0.2493150684931507,45.5,9.5,-0.002964223707476864,0.00164289832687755,-0.5480343915344127,0.212891534391516,-41.090000000000146
2010,1,0.1726027397260274,63.0,0.0,-0.0036656767840095943,0.0,-0.5258064516129091,0.0,-32.600000000000364
2012,1,0.07671232876712329,28.0,0.0,-0.0031760098789202222,0.0,-1.045925925925918,0.0,-28.23999999999978
2013,1,0.28493150684931506,104.0,0.0,-0.0033285569120493474,0.0,-0.28844660194175675,0.0,-29.710000000000946
2015,1,0.14794520547945206,54.0,0.0,-0.0020391883693233756,0.0,-0.3424528301886724,0.0,-18.149999999999636
2016,1,0.06575342465753424,24.0,0.0,-0.002646284802748253,0.0,-1.023478260869524,0.0,-23.539999999999054
2017,1,0.23835616438356164,87.0,0.0,-0.0030654069555194796,0.0,-0.31732558139533784,0.0,-27.289999999999054
2018,1,0.19452054794520549,71.0,0.0,-0.005669510035684333,0.0,-0.7208571428571304,0.0,-50.45999999999913
2019,2,0.2410958904109589,44.0,30.0,-0.0033218902832240684,0.0023011694244666567,-0.6916122233930282,0.0053108535300095405,-50.100000000000364
2020,1,0.1643835616438356,60.0,0.0,-0.005169457701626228,0.0,-0.7793220338982977,0.0,-45.97999999999956
