Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference, Rate of Change, Drawdown
4/17/00,4/26/00,10,2078.0,2077.0,-0.00048123195380173246,-0.1111111111111111,-1.0
4/28/00,5/11/00,14,2077.0,2075.0,-0.0009629272989889263,-0.15384615384615385,-2.0
5/12/00,5/22/00,11,2075.0,2073.0,-0.0009638554216867469,-0.2,-2.0
5/23/00,6/5/00,14,2073.0,2070.0,-0.001447178002894356,-0.23076923076923078,-3.0
6/9/00,6/22/00,14,2069.0,2066.0,-0.0014499758337361043,-0.23076923076923078,-3.0
6/24/00,7/5/00,12,2066.0,2064.0,-0.000968054211035818,-0.18181818181818182,-2.0
7/9/00,8/13/00,36,2064.0,2054.0,-0.0048449612403100775,-0.2857142857142857,-10.0
8/20/00,8/29/00,10,2053.0,2052.0,-0.0004870920603994155,-0.1111111111111111,-1.0
10/4/00,10/8/00,5,2053.0,2051.0,-0.000974184120798831,-0.5,-2.0
10/10/00,10/19/00,10,2066.0,2064.0,-0.000968054211035818,-0.2222222222222222,-2.0
5/21/01,5/30/01,10,2091.0,2090.0,-0.00047824007651841227,-0.1111111111111111,-1.0
6/6/01,6/20/01,15,2089.0,2086.0,-0.0014360938247965534,-0.21428571428571427,-3.0
6/25/01,7/5/01,11,2085.0,2083.0,-0.0009592326139088729,-0.2,-2.0
7/11/01,7/21/01,11,2082.0,2080.0,-0.0009606147934678194,-0.2,-2.0
7/22/01,8/1/01,11,2080.0,2078.0,-0.0009615384615384616,-0.2,-2.0
8/7/01,8/20/01,14,2078.0,2076.0,-0.0009624639076034649,-0.15384615384615385,-2.0
8/23/01,9/2/01,11,2076.0,2074.0,-0.0009633911368015414,-0.2,-2.0
9/6/01,9/19/01,14,2073.0,2070.0,-0.001447178002894356,-0.23076923076923078,-3.0
9/20/01,9/29/01,10,2070.0,2068.0,-0.000966183574879227,-0.2222222222222222,-2.0
10/4/01,10/13/01,10,2067.0,2066.0,-0.0004837929366231253,-0.1111111111111111,-1.0
10/14/01,10/22/01,9,2066.0,2065.0,-0.000484027105517909,-0.125,-1.0
1/9/02,1/18/02,10,2067.0,2066.0,-0.0004837929366231253,-0.1111111111111111,-1.0
2/12/02,2/21/02,10,2066.0,2065.0,-0.000484027105517909,-0.1111111111111111,-1.0
3/22/02,3/31/02,10,2065.0,2064.0,-0.00048426150121065375,-0.1111111111111111,-1.0
4/6/02,4/15/02,10,2064.0,2063.0,-0.00048449612403100775,-0.1111111111111111,-1.0
4/23/02,4/29/02,7,2063.0,2061.0,-0.0009694619486185168,-0.3333333333333333,-2.0
5/2/02,5/7/02,6,2062.0,2060.0,-0.0009699321047526673,-0.4,-2.0
5/9/02,5/13/02,5,2061.0,2059.0,-0.0009704027171276079,-0.5,-2.0
5/15/02,5/25/02,11,2060.0,2058.0,-0.000970873786407767,-0.2,-2.0
5/28/02,7/18/02,52,2057.0,2040.0,-0.008264462809917356,-0.3333333333333333,-17.0
7/25/02,8/3/02,10,2040.0,2039.0,-0.0004901960784313725,-0.1111111111111111,-1.0
8/15/02,8/24/02,10,2039.0,2036.0,-0.0014713094654242277,-0.3333333333333333,-3.0
8/28/02,9/10/02,14,2035.0,2033.0,-0.0009828009828009828,-0.15384615384615385,-2.0
6/6/03,6/15/03,10,2078.0,2077.0,-0.00048123195380173246,-0.1111111111111111,-1.0
6/18/03,6/27/03,10,2077.0,2076.0,-0.00048146364949446316,-0.1111111111111111,-1.0
6/28/03,7/7/03,10,2076.0,2075.0,-0.0004816955684007707,-0.1111111111111111,-1.0
7/16/03,7/25/03,10,2074.0,2073.0,-0.00048216007714561236,-0.1111111111111111,-1.0
8/5/03,8/14/03,10,2073.0,2072.0,-0.000482392667631452,-0.1111111111111111,-1.0
8/21/03,8/30/03,10,2072.0,2071.0,-0.00048262548262548264,-0.1111111111111111,-1.0
5/19/04,5/28/04,10,2089.0,2088.0,-0.0004786979415988511,-0.1111111111111111,-1.0
6/1/04,6/14/04,14,2088.0,2086.0,-0.0009578544061302681,-0.15384615384615385,-2.0
6/15/04,6/26/04,12,2086.0,2084.0,-0.0009587727708533077,-0.18181818181818182,-2.0
7/2/04,7/12/04,11,2083.0,2081.0,-0.0009601536245799327,-0.2,-2.0
7/19/04,7/30/04,12,2080.0,2078.0,-0.0009615384615384616,-0.18181818181818182,-2.0
7/31/04,8/14/04,15,2078.0,2075.0,-0.0014436958614051972,-0.21428571428571427,-3.0
8/24/04,9/2/04,10,2075.0,2074.0,-0.00048192771084337347,-0.1111111111111111,-1.0
9/13/04,9/19/04,7,2074.0,2073.0,-0.00048216007714561236,-0.16666666666666666,-1.0
6/3/05,6/12/05,10,2148.0,2147.0,-0.0004655493482309125,-0.1111111111111111,-1.0
6/17/05,6/26/05,10,2147.0,2146.0,-0.0004657661853749418,-0.1111111111111111,-1.0
6/27/05,7/10/05,14,2146.0,2144.0,-0.0009319664492078285,-0.15384615384615385,-2.0
7/13/05,7/24/05,12,2144.0,2142.0,-0.0009328358208955224,-0.18181818181818182,-2.0
7/31/05,8/9/05,10,2142.0,2141.0,-0.00046685340802987864,-0.1111111111111111,-1.0
8/27/05,9/9/05,14,2141.0,2139.0,-0.0009341429238673517,-0.15384615384615385,-2.0
9/13/05,9/22/05,10,2139.0,2138.0,-0.0004675081813931744,-0.1111111111111111,-1.0
10/1/05,10/10/05,10,2137.0,2136.0,-0.0004679457182966776,-0.1111111111111111,-1.0
10/16/05,10/25/05,10,2136.0,2135.0,-0.00046816479400749064,-0.1111111111111111,-1.0
12/6/05,12/15/05,10,2135.0,2134.0,-0.000468384074941452,-0.1111111111111111,-1.0
3/18/06,3/27/06,10,2134.0,2133.0,-0.00046860356138706655,-0.1111111111111111,-1.0
3/29/06,4/7/06,10,2133.0,2132.0,-0.00046882325363338024,-0.1111111111111111,-1.0
4/12/06,4/25/06,14,2132.0,2130.0,-0.0009380863039399625,-0.15384615384615385,-2.0
4/28/06,5/10/06,13,2130.0,2128.0,-0.0009389671361502347,-0.16666666666666666,-2.0
5/12/06,5/24/06,13,2128.0,2126.0,-0.0009398496240601503,-0.16666666666666666,-2.0
5/25/06,6/5/06,12,2126.0,2124.0,-0.0009407337723424271,-0.18181818181818182,-2.0
6/9/06,6/19/06,11,2123.0,2121.0,-0.0009420631182289214,-0.2,-2.0
6/23/06,7/3/06,11,2120.0,2118.0,-0.0009433962264150943,-0.2,-2.0
7/8/06,7/19/06,12,2117.0,2115.0,-0.000944733112895607,-0.18181818181818182,-2.0
7/24/06,7/30/06,7,2114.0,2113.0,-0.0004730368968779565,-0.16666666666666666,-1.0
1/12/07,1/25/07,14,2120.0,2118.0,-0.0009433962264150943,-0.15384615384615385,-2.0
2/1/07,2/10/07,10,2118.0,2117.0,-0.00047214353163361664,-0.1111111111111111,-1.0
2/11/07,2/20/07,10,2117.0,2116.0,-0.0004723665564478035,-0.1111111111111111,-1.0
4/27/07,5/6/07,10,2119.0,2118.0,-0.00047192071731949034,-0.1111111111111111,-1.0
5/7/07,5/16/07,10,2118.0,2117.0,-0.00047214353163361664,-0.1111111111111111,-1.0
5/24/07,6/2/07,10,2117.0,2116.0,-0.0004723665564478035,-0.1111111111111111,-1.0
6/3/07,6/14/07,12,2116.0,2114.0,-0.000945179584120983,-0.18181818181818182,-2.0
6/15/07,7/3/07,19,2114.0,2110.0,-0.001892147587511826,-0.2222222222222222,-4.0
7/7/07,7/20/07,14,2109.0,2106.0,-0.001422475106685633,-0.23076923076923078,-3.0
7/23/07,8/3/07,12,2106.0,2104.0,-0.000949667616334283,-0.18181818181818182,-2.0
8/16/07,8/29/07,14,2106.0,2104.0,-0.000949667616334283,-0.15384615384615385,-2.0
9/2/07,9/13/07,12,2103.0,2101.0,-0.0009510223490252021,-0.18181818181818182,-2.0
9/25/07,10/8/07,14,2101.0,2099.0,-0.0009519276534983341,-0.15384615384615385,-2.0
5/8/08,5/17/08,10,2150.0,2149.0,-0.00046511627906976747,-0.1111111111111111,-1.0
6/19/08,6/28/08,10,2149.0,2148.0,-0.00046533271288971617,-0.1111111111111111,-1.0
7/4/08,7/13/08,10,2148.0,2147.0,-0.0004655493482309125,-0.1111111111111111,-1.0
7/21/08,7/30/08,10,2147.0,2146.0,-0.0004657661853749418,-0.1111111111111111,-1.0
8/11/08,8/20/08,10,2146.0,2145.0,-0.00046598322460391424,-0.1111111111111111,-1.0
8/23/08,9/1/08,10,2145.0,2144.0,-0.0004662004662004662,-0.1111111111111111,-1.0
9/14/08,9/23/08,10,2144.0,2143.0,-0.0004664179104477612,-0.1111111111111111,-1.0
9/28/08,10/7/08,10,2143.0,2142.0,-0.0004666355576294914,-0.1111111111111111,-1.0
10/11/08,10/17/08,7,2143.0,2142.0,-0.0004666355576294914,-0.16666666666666666,-1.0
2/2/09,2/6/09,5,2151.0,2150.0,-0.00046490004649000463,-0.25,-1.0
4/14/09,4/23/09,10,2151.0,2150.0,-0.00046490004649000463,-0.1111111111111111,-1.0
6/9/09,6/18/09,10,2150.0,2149.0,-0.00046511627906976747,-0.1111111111111111,-1.0
6/19/09,7/1/09,13,2149.0,2147.0,-0.0009306654257794323,-0.16666666666666666,-2.0
7/3/09,7/16/09,14,2147.0,2145.0,-0.0009315323707498836,-0.15384615384615385,-2.0
7/18/09,7/30/09,13,2145.0,2143.0,-0.0009324009324009324,-0.16666666666666666,-2.0
8/1/09,8/11/09,11,2143.0,2141.0,-0.0009332711152589828,-0.2,-2.0
8/17/09,8/29/09,13,2140.0,2138.0,-0.0009345794392523365,-0.16666666666666666,-2.0
8/30/09,9/9/09,11,2138.0,2136.0,-0.0009354536950420954,-0.2,-2.0
9/13/09,9/24/09,12,2136.0,2134.0,-0.0009363295880149813,-0.18181818181818182,-2.0
9/25/09,10/4/09,10,2134.0,2133.0,-0.00046860356138706655,-0.1111111111111111,-1.0
10/13/09,10/22/09,10,2133.0,2132.0,-0.00046882325363338024,-0.1111111111111111,-1.0
11/28/09,12/7/09,10,2132.0,2131.0,-0.00046904315196998124,-0.1111111111111111,-1.0
3/14/10,3/23/10,10,2152.0,2150.0,-0.0009293680297397769,-0.2222222222222222,-2.0
5/2/10,5/11/10,10,2152.0,2151.0,-0.00046468401486988845,-0.1111111111111111,-1.0
5/23/10,6/1/10,10,2151.0,2150.0,-0.00046490004649000463,-0.1111111111111111,-1.0
6/21/10,6/30/10,10,2150.0,2149.0,-0.00046511627906976747,-0.1111111111111111,-1.0
7/4/10,7/13/10,10,2149.0,2148.0,-0.00046533271288971617,-0.1111111111111111,-1.0
7/14/10,7/23/10,10,2148.0,2147.0,-0.0004655493482309125,-0.1111111111111111,-1.0
8/24/10,9/2/10,10,2148.0,2147.0,-0.0004655493482309125,-0.1111111111111111,-1.0
9/7/10,9/20/10,14,2147.0,2145.0,-0.0009315323707498836,-0.15384615384615385,-2.0
10/3/10,10/12/10,10,2145.0,2144.0,-0.0004662004662004662,-0.1111111111111111,-1.0
10/19/10,10/28/10,10,2144.0,2143.0,-0.0004664179104477612,-0.1111111111111111,-1.0
11/3/10,11/12/10,10,2143.0,2142.0,-0.0004666355576294914,-0.1111111111111111,-1.0
5/18/11,5/29/11,12,2146.0,2144.0,-0.0009319664492078285,-0.18181818181818182,-2.0
5/31/11,6/9/11,10,2144.0,2143.0,-0.0004664179104477612,-0.1111111111111111,-1.0
6/15/11,6/25/11,11,2142.0,2140.0,-0.0009337068160597573,-0.2,-2.0
6/26/11,7/6/11,11,2140.0,2138.0,-0.0009345794392523365,-0.2,-2.0
7/11/11,7/21/11,11,2137.0,2135.0,-0.0009358914365933552,-0.2,-2.0
7/28/11,8/8/11,12,2134.0,2132.0,-0.0009372071227741331,-0.18181818181818182,-2.0
8/10/11,8/21/11,12,2132.0,2130.0,-0.0009380863039399625,-0.18181818181818182,-2.0
8/24/11,9/2/11,10,2130.0,2129.0,-0.00046948356807511736,-0.1111111111111111,-1.0
9/10/11,9/19/11,10,2128.0,2127.0,-0.00046992481203007516,-0.1111111111111111,-1.0
9/26/11,10/7/11,12,2126.0,2124.0,-0.0009407337723424271,-0.18181818181818182,-2.0
10/10/11,10/23/11,14,2124.0,2122.0,-0.0009416195856873823,-0.15384615384615385,-2.0
10/26/11,11/4/11,10,2122.0,2121.0,-0.000471253534401508,-0.1111111111111111,-1.0
11/5/11,11/14/11,10,2121.0,2120.0,-0.0004714757190004715,-0.1111111111111111,-1.0
