Year, Number of Drawdowns, Percent of Year in Drawdown, Average Days of Drawdown, SD of Drawdown, Average Percent Difference, SD Percent Difference, Average Rate of Change, SD Rate of Change, Max Daily Drawdown
2000,10,0.3726027397260274,13.6,7.901898506055364,-0.0013547514354687825,0.001202716538901901,-0.22273615273615274,0.10622059866656738,-1.6100000000001273
2001,11,0.3452054794520548,11.454545454545455,1.8763424945954814,-0.0009184324031408855,0.0003205785038797055,-0.1789405039405039,0.04298390278908141,-0.41000000000030923
2002,12,0.4246575342465753,12.916666666666666,12.003182448371302,-0.0014188347967385995,0.002086018266973646,-0.2341168091168091,0.1326028543294723,-0.6799999999998363
2003,6,0.1643835616438356,10.0,0.0,-0.0004819282331832522,5.017276230309447e-07,-0.11111111111111112,1.3877787807814457e-17,-0.31999999999993634
2004,8,0.2493150684931507,11.375,2.341874249399399,-0.0008406001067618756,0.00031789449652779614,-0.1650821400821401,0.035628185628106684,-0.36000000000012733
2005,10,0.3013698630136986,11.0,1.61245154965971,-0.0006069116904245229,0.00021346535650579052,-0.12672882672882674,0.024925744105137915,-0.2600000000002183
2006,10,0.3095890410958904,11.3,1.9000000000000001,-0.0007998293005930801,0.00021583370956646138,-0.16397047397047398,0.029909646520143225,-0.3000000000001819
2007,13,0.4410958904109589,12.384615384615385,2.527950265408459,-0.0008743403564159977,0.00040931936860544657,-0.1550415396569243,0.04118680951118667,-0.3400000000001455
2008,9,0.23835616438356164,9.666666666666666,0.9428090415820634,-0.00046595969356405135,5.262396836196972e-07,-0.11728395061728397,0.017459426695964134,-0.15999999999985448
2009,13,0.38904109589041097,10.923076923076923,2.2000537917038603,-0.0007181245311952961,0.00023259885175668527,-0.15701691470922238,0.042771458065418155,-0.2899999999999636
2010,11,0.31232876712328766,10.363636363636363,1.1499191491521379,-0.0005501169167771437,0.0001792923715673366,-0.12509712509712514,0.03305679469492253,-0.2300000000000182
2011,13,0.3972602739726027,11.153846153846153,1.166596222161777,-0.000757103574600932,0.00022721987635485318,-0.1566672643595721,0.03777282976385994,-0.4099999999998545
2012,18,0.5589041095890411,11.333333333333334,1.5986105077709065,-0.0007108255171128774,0.00023631983422724569,-0.1422688422688423,0.03385557429388365,-0.34999999999990905
2013,7,0.2273972602739726,11.857142857142858,1.456862718169367,-0.0008147777693266635,0.00021471736699416144,-0.15588855588855588,0.03131569865107569,-0.2899999999999636
2014,10,0.29315068493150687,10.7,1.1,-0.0006678285383123964,0.00023326803680576906,-0.14191919191919194,0.03992455388681146,-0.5899999999996908
2015,11,0.32054794520547947,10.636363636363637,1.3666633071248098,-0.0005637020971468533,0.00018397849554453732,-0.12004662004662005,0.019151138374306508,-0.3000000000001819
2016,13,0.41643835616438357,11.692307692307692,1.587674418503869,-0.0007705143868010111,0.00023272805938291086,-0.14845496383957926,0.03242908538690859,-0.27999999999974534
2017,9,0.27945205479452057,11.333333333333334,1.5634719199411433,-0.0006813938000124324,0.00023434755543001867,-0.13606146939480274,0.028666530668964726,-0.3000000000001819
2018,14,0.4328767123287671,11.285714285714286,1.2777531299998799,-0.0007474983946633367,0.00023555263131262385,-0.14973359973359976,0.03477235627714655,-0.33999999999969077
2019,8,0.25205479452054796,11.5,1.7320508075688772,-0.0007051105146481802,0.00023474448541127834,-0.13985042735042735,0.03168721290381206,-0.29999999999972715
2020,12,0.3589041095890411,10.916666666666666,1.6051133570215184,-0.0005832423552429091,0.00020209236682574793,-0.12286324786324787,0.02057837637207075,-0.20000000000027285
