Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference, Rate of Change, Drawdown
1/13/97,1/21/97,10,9191.1,9189.6,-0.00016320135783529717,-0.16666666666666666,-1.5
4/27/97,5/1/97,5,9184.96,9183.16,-0.00019597254642363959,-0.4499999999998181,-1.7999999999992724
6/21/97,6/28/97,8,9196.46,9195.32,-0.00012396074141565538,-0.1628571428570597,-1.139999999999418
8/8/97,8/12/97,5,9199.65,9198.58,-0.0001163087726163179,-0.26749999999992724,-1.069999999999709
3/18/98,3/26/98,10,9196.63,9192.51,-0.0004479901877099526,-0.4577777777776646,-4.119999999998981
7/5/98,7/11/98,7,9196.85,9195.55,-0.0001413527457772054,-0.21666666666684856,-1.3000000000010914
7/17/98,7/25/98,10,9198.87,9197.68,-0.0001293637153259595,-0.1322222222222788,-1.1900000000005093
1/28/99,2/2/99,6,9188.68,9187.46,-0.00013277206301679504,-0.24400000000023284,-1.2200000000011642
2/11/99,2/19/99,10,9186.51,9185.46,-0.00011429803048177071,-0.11666666666678793,-1.0500000000010914
3/15/99,3/22/99,8,9186.23,9185.04,-0.00012954171624253807,-0.1699999999998129,-1.1899999999986903
7/13/99,7/21/99,10,9199.58,9197.8,-0.00019348709397610053,-0.19777777777785055,-1.7800000000006548
10/30/99,11/7/99,10,9195.39,9193.9,-0.0001620377167254224,-0.1655555555555313,-1.4899999999997817
2/13/01,2/22/01,11,9191.31,9180.7,-0.001154351229585202,-1.0609999999998763,-10.609999999998763
4/26/01,5/4/01,10,9185.5,9182.78,-0.0002961188830220832,-0.30222222222214945,-2.719999999999345
6/23/01,7/1/01,10,9194.33,9192.24,-0.00022731400765473345,-0.2322222222222384,-2.0900000000001455
9/30/01,10/8/01,10,9190.55,9189.14,-0.00015341845700201344,-0.1566666666666505,-1.4099999999998545
1/6/04,3/5/04,61,9190.0,9179.33,-0.0011610446137105628,-0.17783333333333454,-10.670000000000073
5/15/08,5/22/08,8,9180.74,9179.71,-0.00011219139197936712,-0.1471428571429507,-1.0300000000006548
12/24/08,1/1/09,10,9182.57,9180.55,-0.00021998198761353702,-0.22444444444449296,-2.0200000000004366
