Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference, Rate of Change, Drawdown
3/22/97,3/31/97,10,1895.0,1894.0,-0.0005277044854881266,-0.1111111111111111,-1.0
5/10/97,5/19/97,10,1895.0,1894.0,-0.0005277044854881266,-0.1111111111111111,-1.0
6/19/97,6/28/97,10,1895.0,1894.0,-0.0005277044854881266,-0.1111111111111111,-1.0
7/3/97,7/12/97,10,1894.0,1893.0,-0.0005279831045406547,-0.1111111111111111,-1.0
7/18/97,7/31/97,14,1893.0,1891.0,-0.0010565240359218173,-0.15384615384615385,-2.0
8/10/97,8/19/97,10,1891.0,1890.0,-0.0005288207297726071,-0.1111111111111111,-1.0
8/28/97,9/6/97,10,1890.0,1889.0,-0.0005291005291005291,-0.1111111111111111,-1.0
4/24/98,5/3/98,10,1895.0,1894.0,-0.0005277044854881266,-0.1111111111111111,-1.0
6/4/98,6/10/98,7,1895.0,1894.0,-0.0005277044854881266,-0.16666666666666666,-1.0
6/11/98,6/20/98,10,1895.0,1894.0,-0.0005277044854881266,-0.1111111111111111,-1.0
6/27/98,7/6/98,10,1894.0,1893.0,-0.0005279831045406547,-0.1111111111111111,-1.0
7/16/98,7/25/98,10,1893.0,1892.0,-0.0005282620179609086,-0.1111111111111111,-1.0
7/28/98,8/6/98,10,1892.0,1891.0,-0.0005285412262156448,-0.1111111111111111,-1.0
8/17/98,8/26/98,10,1891.0,1890.0,-0.0005288207297726071,-0.1111111111111111,-1.0
9/2/98,9/11/98,10,1890.0,1889.0,-0.0005291005291005291,-0.1111111111111111,-1.0
7/19/99,7/28/99,10,1895.0,1894.0,-0.0005277044854881266,-0.1111111111111111,-1.0
8/11/99,8/20/99,10,1894.0,1893.0,-0.0005279831045406547,-0.1111111111111111,-1.0
8/25/99,9/3/99,10,1893.0,1892.0,-0.0005282620179609086,-0.1111111111111111,-1.0
6/8/00,6/17/00,10,1895.0,1894.0,-0.0005277044854881266,-0.1111111111111111,-1.0
6/21/00,6/30/00,10,1894.0,1893.0,-0.0005279831045406547,-0.1111111111111111,-1.0
7/5/00,7/14/00,10,1893.0,1892.0,-0.0005282620179609086,-0.1111111111111111,-1.0
7/28/00,8/6/00,10,1891.0,1890.0,-0.0005288207297726071,-0.1111111111111111,-1.0
