Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference, Rate of Change, Drawdown
1/1/97,1/25/97,26,1213.59,1199.59,-0.011536021226279057,-0.56,-14.0
1/28/97,2/17/97,22,1200.19,1195.09,-0.004249327189861719,-0.24285714285714935,-5.100000000000136
3/16/97,3/24/97,10,1199.07,1198.47,-0.0005003878005453468,-0.06666666666665656,-0.599999999999909
6/3/97,6/17/97,16,1209.5,1209.03,-0.00038859032658125446,-0.03133333333333515,-0.4700000000000273
7/27/97,8/6/97,11,1209.11,1208.8,-0.00025638692922889185,-0.030999999999994542,-0.30999999999994543
10/14/97,11/14/97,33,1208.83,1198.82,-0.00828073426370953,-0.3128124999999997,-10.009999999999991
11/19/97,11/30/97,13,1199.81,1198.39,-0.0011835207241145227,-0.11833333333332045,-1.4199999999998454
1/7/98,1/12/98,6,1198.87,1198.51,-0.000300282766271489,-0.07199999999998,-0.35999999999989996
1/19/98,1/28/98,11,1200.85,1198.55,-0.0019153099887579254,-0.22999999999999546,-2.2999999999999545
2/7/98,2/19/98,14,1213.92,1207.55,-0.005247462765256457,-0.4900000000000091,-6.370000000000118
2/23/98,3/6/98,13,1208.64,1199.34,-0.007694598888006504,-0.7750000000000151,-9.300000000000182
3/13/98,3/21/98,10,1200.26,1199.84,-0.00034992418309372366,-0.04666666666667475,-0.42000000000007276
3/25/98,4/2/98,10,1202.68,1200.15,-0.002103635214687176,-0.2811111111111081,-2.5299999999999727
4/12/98,4/17/98,6,1203.52,1203.21,-0.00025757777186913837,-0.061999999999989085,-0.30999999999994543
5/29/98,6/6/98,10,1210.33,1209.03,-0.001074087232407653,-0.14444444444443938,-1.2999999999999545
7/18/98,7/22/98,5,1209.22,1209.01,-0.00017366566877825075,-0.052500000000009095,-0.21000000000003638
8/6/98,8/14/98,10,1209.28,1208.94,-0.0002811590367821498,-0.03777777777776868,-0.33999999999991815
8/22/98,8/29/98,8,1209.19,1208.94,-0.00020674997312250347,-0.03571428571428571,-0.25
10/9/98,11/15/98,39,1209.39,1199.13,-0.008483615707091996,-0.26999999999999974,-10.259999999999991
11/23/98,12/1/98,10,1199.65,1198.82,-0.0006918684616347723,-0.0922222222222394,-0.8300000000001546
12/4/98,12/8/98,5,1198.59,1198.21,-0.00031703918771212994,-0.09499999999997044,-0.37999999999988177
12/31/98,1/8/99,10,1198.83,1198.54,-0.00024190252162522097,-0.03222222222221818,-0.2899999999999636
1/20/99,1/25/99,6,1198.9,1198.52,-0.0003169572107766362,-0.07600000000002183,-0.38000000000010914
1/27/99,2/4/99,10,1198.83,1198.46,-0.00030863425172867785,-0.04111111111109898,-0.36999999999989086
2/7/99,2/15/99,10,1199.04,1198.65,-0.00032526020816642703,-0.043333333333319186,-0.38999999999987267
2/24/99,3/2/99,7,1198.99,1198.74,-0.00020850882826378868,-0.041666666666666664,-0.25
3/27/99,4/4/99,10,1202.26,1200.01,-0.0018714753880192305,-0.25,-2.25
5/5/99,5/9/99,5,1209.36,1209.06,-0.0002480650922801767,-0.07499999999998863,-0.2999999999999545
5/17/99,5/24/99,8,1209.35,1209.02,-0.0002728738578574666,-0.04714285714284675,-0.32999999999992724
8/13/99,8/21/99,10,1209.28,1209.02,-0.00021500396930404118,-0.028888888888887878,-0.2599999999999909
10/20/99,11/18/99,31,1209.06,1198.68,-0.008585181876829837,-0.34599999999999603,-10.379999999999882
11/21/99,11/28/99,8,1198.75,1198.48,-0.00022523461939518815,-0.038571428571425974,-0.2699999999999818
1/14/00,1/19/00,6,1198.72,1198.48,-0.00020021356113188158,-0.04800000000000182,-0.2400000000000091
1/20/00,1/26/00,7,1198.63,1198.34,-0.00024194288479363187,-0.04833333333336517,-0.290000000000191
1/31/00,2/4/00,5,1198.83,1198.41,-0.00035034158304333843,-0.10499999999996135,-0.4199999999998454
2/5/00,2/10/00,6,1199.05,1198.33,-0.000600475376339625,-0.14400000000000546,-0.7200000000000273
2/14/00,2/22/00,10,1203.25,1200.53,-0.0022605443590276563,-0.3022222222222253,-2.7200000000000273
2/23/00,3/4/00,12,1200.53,1198.54,-0.0016576012261251356,-0.18090909090909174,-1.990000000000009
3/9/00,3/17/00,10,1198.98,1198.35,-0.0005254466296352809,-0.07000000000001212,-0.6300000000001091
4/17/00,4/23/00,7,1207.69,1207.15,-0.00044713461235910176,-0.08999999999999393,-0.5399999999999636
5/20/00,5/24/00,5,1209.07,1208.74,-0.00027293705079104374,-0.08249999999998181,-0.32999999999992724
8/1/00,8/5/00,5,1209.13,1208.87,-0.00021503064186664648,-0.06500000000005457,-0.2600000000002183
9/6/00,11/20/00,77,1209.53,1189.21,-0.016799914016188053,-0.26736842105263076,-20.319999999999936
11/30/00,12/11/00,13,1193.53,1192.66,-0.0007289301483832755,-0.0724999999999909,-0.8699999999998909
1/26/01,2/8/01,15,1201.83,1199.88,-0.0016225256483860598,-0.1392857142857013,-1.949999999999818
2/9/01,2/17/01,10,1199.88,1198.43,-0.0012084541787512463,-0.16111111111111617,-1.4500000000000455
2/22/01,3/4/01,12,1203.82,1202.43,-0.001154657673073942,-0.1263636363636248,-1.3899999999998727
3/7/01,3/15/01,10,1203.02,1198.24,-0.0039733337766620445,-0.5311111111111081,-4.779999999999973
3/25/01,3/31/01,7,1198.48,1198.28,-0.00016687804552436875,-0.03333333333334091,-0.20000000000004547
6/4/01,6/12/01,10,1209.22,1208.87,-0.00028944278129714726,-0.038888888888904044,-0.3500000000001364
7/2/01,7/6/01,5,1209.13,1208.93,-0.00016540818605116528,-0.05000000000001137,-0.20000000000004547
9/15/01,10/9/01,26,1208.65,1202.1,-0.00541926943283844,-0.2620000000000073,-6.550000000000182
10/14/01,10/24/01,12,1201.96,1198.43,-0.0029368697793603553,-0.3209090909090884,-3.5299999999999727
12/20/01,1/1/02,14,1206.97,1202.93,-0.0033472248688865202,-0.31076923076922797,-4.039999999999964
1/3/02,1/11/02,10,1202.98,1198.59,-0.0036492709770736837,-0.4877777777777889,-4.3900000000001
