Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference, Rate of Change, Drawdown
1/1/97,1/24/97,24,1214.0,1197.0,-0.01400329489291598,-0.7391304347826086,-17.0
1/29/97,2/3/97,6,1200.0,1198.0,-0.0016666666666666668,-0.4,-2.0
2/5/97,2/16/97,12,1199.0,1195.0,-0.003336113427856547,-0.36363636363636365,-4.0
3/16/97,3/25/97,10,1199.0,1198.0,-0.0008340283569641367,-0.1111111111111111,-1.0
3/28/97,4/1/97,5,1199.0,1198.0,-0.0008340283569641367,-0.25,-1.0
5/8/97,5/17/97,10,1210.0,1209.0,-0.0008264462809917355,-0.1111111111111111,-1.0
6/3/97,6/12/97,10,1210.0,1209.0,-0.0008264462809917355,-0.1111111111111111,-1.0
10/14/97,10/23/97,10,1209.0,1207.0,-0.0016542597187758478,-0.2222222222222222,-2.0
10/25/97,11/3/97,10,1207.0,1204.0,-0.0024855012427506215,-0.3333333333333333,-3.0
11/4/97,11/13/97,10,1203.0,1199.0,-0.0033250207813798837,-0.4444444444444444,-4.0
11/19/97,11/25/97,7,1200.0,1198.0,-0.0016666666666666668,-0.3333333333333333,-2.0
11/30/97,12/4/97,5,1199.0,1198.0,-0.0008340283569641367,-0.25,-1.0
12/10/97,12/17/97,8,1199.0,1198.0,-0.0008340283569641367,-0.14285714285714285,-1.0
12/18/97,12/27/97,10,1199.0,1198.0,-0.0008340283569641367,-0.1111111111111111,-1.0
1/19/98,1/25/98,7,1201.0,1198.0,-0.002497918401332223,-0.5,-3.0
2/7/98,2/18/98,12,1214.0,1206.0,-0.006589785831960461,-0.7272727272727273,-8.0
2/23/98,3/5/98,11,1209.0,1198.0,-0.009098428453267164,-1.1,-11.0
3/15/98,3/20/98,6,1200.0,1198.0,-0.0016666666666666668,-0.4,-2.0
3/25/98,3/30/98,6,1203.0,1198.0,-0.004156275976724855,-1.0,-5.0
4/12/98,4/17/98,6,1204.0,1203.0,-0.0008305647840531562,-0.2,-1.0
10/15/98,10/25/98,11,1209.0,1206.0,-0.0024813895781637717,-0.3,-3.0
10/27/98,11/16/98,21,1205.0,1199.0,-0.004979253112033195,-0.3,-6.0
11/23/98,11/28/98,6,1200.0,1198.0,-0.0016666666666666668,-0.4,-2.0
12/4/98,12/8/98,5,1199.0,1198.0,-0.0008340283569641367,-0.25,-1.0
12/9/98,12/15/98,7,1199.0,1198.0,-0.0008340283569641367,-0.16666666666666666,-1.0
1/4/99,1/8/99,5,1199.0,1198.0,-0.0008340283569641367,-0.25,-1.0
1/10/99,1/14/99,5,1199.0,1198.0,-0.0008340283569641367,-0.25,-1.0
1/27/99,2/5/99,10,1199.0,1198.0,-0.0008340283569641367,-0.1111111111111111,-1.0
2/7/99,2/15/99,9,1199.0,1198.0,-0.0008340283569641367,-0.125,-1.0
3/28/99,4/2/99,6,1202.0,1198.0,-0.0033277870216306157,-0.8,-4.0
10/21/99,11/18/99,29,1209.0,1198.0,-0.009098428453267164,-0.39285714285714285,-11.0
11/21/99,11/26/99,6,1199.0,1198.0,-0.0008340283569641367,-0.2,-1.0
12/1/99,12/5/99,5,1199.0,1198.0,-0.0008340283569641367,-0.25,-1.0
12/6/99,12/15/99,10,1199.0,1198.0,-0.0008340283569641367,-0.1111111111111111,-1.0
1/5/00,1/12/00,8,1199.0,1198.0,-0.0008340283569641367,-0.14285714285714285,-1.0
1/14/00,1/19/00,6,1199.0,1198.0,-0.0008340283569641367,-0.2,-1.0
1/20/00,1/27/00,8,1199.0,1198.0,-0.0008340283569641367,-0.14285714285714285,-1.0
1/31/00,2/4/00,5,1199.0,1198.0,-0.0008340283569641367,-0.25,-1.0
2/15/00,2/20/00,6,1203.0,1198.0,-0.004156275976724855,-1.0,-5.0
3/9/00,3/14/00,6,1199.0,1198.0,-0.0008340283569641367,-0.2,-1.0
3/16/00,3/20/00,5,1199.0,1198.0,-0.0008340283569641367,-0.25,-1.0
9/6/00,9/15/00,10,1210.0,1209.0,-0.0008264462809917355,-0.1111111111111111,-1.0
9/18/00,10/18/00,31,1209.0,1192.0,-0.014061207609594707,-0.5666666666666667,-17.0
10/23/00,11/2/00,11,1192.0,1190.0,-0.0016778523489932886,-0.2,-2.0
11/5/00,11/14/00,10,1190.0,1189.0,-0.0008403361344537816,-0.1111111111111111,-1.0
11/15/00,11/20/00,6,1189.0,1188.0,-0.0008410428931875525,-0.2,-1.0
11/30/00,12/9/00,10,1194.0,1193.0,-0.0008375209380234506,-0.1111111111111111,-1.0
1/9/01,1/13/01,5,1199.0,1198.0,-0.0008340283569641367,-0.25,-1.0
1/26/01,2/4/01,10,1202.0,1200.0,-0.0016638935108153079,-0.2222222222222222,-2.0
