Start Date, End Date, Duration, Start Elevation, End Elevation, Drawdown
3/11/97,3/13/97,3,1199.0,1198.0,-1.0
11/26/97,11/29/97,4,1199.0,1198.0,-1.0
1/8/98,1/11/98,4,1199.0,1198.0,-1.0
1/14/98,1/16/98,3,1200.0,1199.0,-1.0
1/27/98,1/28/98,2,1199.0,1198.0,-1.0
1/29/98,1/30/98,2,1199.0,1198.0,-1.0
3/8/98,3/10/98,3,1199.0,1198.0,-1.0
3/31/98,4/1/98,2,1199.0,1198.0,-1.0
5/29/98,6/1/98,4,1210.0,1208.0,-2.0
11/18/98,11/20/98,3,1199.0,1198.0,-1.0
11/30/98,12/1/98,2,1199.0,1198.0,-1.0
12/23/98,12/24/98,2,1199.0,1198.0,-1.0
12/27/98,12/30/98,4,1199.0,1198.0,-1.0
12/31/98,1/2/99,3,1199.0,1198.0,-1.0
1/17/99,1/18/99,2,1199.0,1198.0,-1.0
1/20/99,1/21/99,2,1199.0,1198.0,-1.0
1/23/99,1/24/99,2,1199.0,1198.0,-1.0
2/17/99,2/18/99,2,1199.0,1198.0,-1.0
2/21/99,2/22/99,2,1199.0,1198.0,-1.0
2/26/99,3/1/99,4,1199.0,1198.0,-1.0
3/3/99,3/5/99,3,1199.0,1198.0,-1.0
3/8/99,3/11/99,4,1199.0,1198.0,-1.0
3/15/99,3/17/99,3,1199.0,1198.0,-1.0
11/27/99,11/28/99,2,1199.0,1198.0,-1.0
12/26/99,12/27/99,2,1199.0,1198.0,-1.0
12/28/99,12/29/99,2,1199.0,1198.0,-1.0
12/31/99,1/2/00,3,1199.0,1198.0,-1.0
1/29/00,1/30/00,2,1199.0,1198.0,-1.0
2/5/00,2/7/00,3,1199.0,1198.0,-1.0
2/9/00,2/10/00,2,1199.0,1198.0,-1.0
2/23/00,2/26/00,4,1201.0,1199.0,-2.0
2/28/00,3/2/00,4,1200.0,1198.0,-2.0
3/3/00,3/4/00,2,1199.0,1198.0,-1.0
3/5/00,3/6/00,2,1199.0,1198.0,-1.0
3/26/00,3/27/00,2,1200.0,1199.0,-1.0
4/17/00,4/20/00,4,1208.0,1206.0,-2.0
11/25/00,11/27/00,3,1193.0,1192.0,-1.0
10/27/01,10/29/01,3,1199.0,1198.0,-1.0
2/23/02,2/24/02,2,1199.0,1198.0,-1.0
11/12/02,11/13/02,2,1199.0,1198.0,-1.0
11/14/02,11/15/02,2,1199.0,1198.0,-1.0
11/16/02,11/17/02,2,1199.0,1198.0,-1.0
11/18/02,11/19/02,2,1199.0,1198.0,-1.0
12/31/02,1/3/03,4,1201.0,1198.0,-3.0
1/10/03,1/11/03,2,1199.0,1198.0,-1.0
1/14/03,1/17/03,4,1199.0,1198.0,-1.0
1/18/03,1/20/03,3,1199.0,1198.0,-1.0
1/24/03,1/27/03,4,1199.0,1198.0,-1.0
1/29/03,1/31/03,3,1199.0,1198.0,-1.0
2/2/03,2/4/03,3,1199.0,1198.0,-1.0
2/5/03,2/7/03,3,1199.0,1198.0,-1.0
2/10/03,2/12/03,3,1199.0,1198.0,-1.0
2/25/03,2/26/03,2,1198.0,1197.0,-1.0
3/11/03,3/12/03,2,1199.0,1198.0,-1.0
4/23/03,4/26/03,4,1209.0,1207.0,-2.0
12/2/03,12/5/03,4,1199.0,1198.0,-1.0
1/8/04,1/9/04,2,1199.0,1198.0,-1.0
1/27/04,1/28/04,2,1199.0,1198.0,-1.0
2/11/04,2/12/04,2,1199.0,1198.0,-1.0
2/26/04,2/29/04,4,1200.0,1198.0,-2.0
3/1/04,3/2/04,2,1199.0,1198.0,-1.0
4/9/04,4/10/04,2,1199.0,1198.0,-1.0
10/19/04,10/20/04,2,1209.0,1208.0,-1.0
1/30/05,1/31/05,2,1201.0,1200.0,-1.0
2/17/05,2/18/05,2,1199.0,1198.0,-1.0
2/19/05,2/20/05,2,1199.0,1198.0,-1.0
3/2/05,3/5/05,4,1200.0,1198.0,-2.0
3/7/05,3/8/05,2,1199.0,1198.0,-1.0
3/9/05,3/10/05,2,1199.0,1198.0,-1.0
3/12/05,3/13/05,2,1199.0,1198.0,-1.0
11/24/05,11/25/05,2,1199.0,1198.0,-1.0
11/29/05,11/30/05,2,1199.0,1198.0,-1.0
12/15/05,12/16/05,2,1199.0,1198.0,-1.0
12/17/05,12/18/05,2,1199.0,1198.0,-1.0
12/19/05,12/21/05,3,1199.0,1198.0,-1.0
12/28/05,12/29/05,2,1199.0,1198.0,-1.0
1/8/06,1/9/06,2,1199.0,1198.0,-1.0
1/10/06,1/12/06,3,1199.0,1198.0,-1.0
1/14/06,1/17/06,4,1199.0,1198.0,-1.0
1/24/06,1/25/06,2,1199.0,1198.0,-1.0
1/31/06,2/1/06,2,1199.0,1198.0,-1.0
2/4/06,2/5/06,2,1199.0,1198.0,-1.0
2/6/06,2/9/06,4,1199.0,1198.0,-1.0
2/11/06,2/13/06,3,1199.0,1198.0,-1.0
2/14/06,2/15/06,2,1199.0,1198.0,-1.0
2/23/06,2/25/06,3,1200.0,1198.0,-2.0
3/18/06,3/20/06,3,1200.0,1199.0,-1.0
3/29/06,3/30/06,2,1200.0,1199.0,-1.0
12/26/06,12/27/06,2,1199.0,1198.0,-1.0
2/8/07,2/9/07,2,1199.0,1198.0,-1.0
2/22/07,2/23/07,2,1199.0,1198.0,-1.0
2/25/07,2/27/07,3,1199.0,1198.0,-1.0
9/16/07,9/17/07,2,1209.0,1208.0,-1.0
