Year, Number of Drawdowns, Percent of Year in Drawdown, Average Days of Drawdown, SD of Drawdown, Average Percent Difference, SD Percent Difference, Average Rate of Change, SD Rate of Change, Max Daily Drawdown
1997,14,0.37534246575342467,9.785714285714286,4.4589968671467455,-0.0024257541245583125,0.0033296461786609735,-0.280242979932421,0.16965639585114053,-1.5399999999999636
1998,11,0.2684931506849315,8.909090909090908,4.4813663795877225,-0.0032395460167996756,0.0025737577308634118,-0.4858126721763086,0.3049664542944994,-1.7200000000000273
1999,9,0.2328767123287671,9.444444444444445,7.197393218089621,-0.0020293793304051928,0.0026174492605082,-0.27667548500881833,0.20363616156566677,-0.9300000000000637
2000,13,0.33424657534246577,9.384615384615385,6.557889687983727,-0.002172680947981092,0.003545440386694425,-0.2681318681318682,0.2400854641863134,-1.5199999999999818
2001,10,0.30684931506849317,11.2,4.664761515876241,-0.0030718009280765917,0.0020954702014463708,-0.3523792270531401,0.19942000350185876,-1.6900000000000546
2002,12,0.3041095890410959,9.25,3.112474899497183,-0.0020768900846200576,0.0016413060326788556,-0.3092592592592593,0.22526086082225058,-1.5200000000002092
2003,10,0.2493150684931507,9.1,3.23882694814033,-0.0018260985687721515,0.0016895903746257628,-0.24801587301587302,0.10815585205892975,-1.3599999999999
2004,11,0.2876712328767123,9.545454545454545,2.7423823870906103,-0.0018872860692666685,0.0016208100283831032,-0.2926043653316381,0.3315965891954926,-1.8999999999998636
2005,10,0.25753424657534246,9.4,7.045565981523415,-0.001991934334001543,0.0022559477803457692,-0.27083196496989603,0.1553532474831024,-1.150000000000091
2006,16,0.4191780821917808,9.5625,4.415438115295015,-0.0016070084374101988,0.0016381712724893721,-0.21812996031746035,0.14028224821896582,-1.6599999999998545
2007,9,0.2273972602739726,9.222222222222221,4.871180048173994,-0.0015688629453217398,0.0018068723413836494,-0.20097001763668432,0.07728289611184985,-1.0799999999999272
2008,12,0.34794520547945207,10.583333333333334,5.282965286865154,-0.001592163551915561,0.001803223163691869,-0.18053867428867432,0.07779167996009242,-0.9200000000000728
2009,12,0.3041095890410959,9.25,2.947456530637899,-0.0015899772150084236,0.001039760795223837,-0.2303839678839679,0.11301735104937306,-1.2200000000000273
2010,10,0.30684931506849317,11.2,5.325410782277738,-0.0033133437623768767,0.0028873486183415,-0.3564255189255189,0.19875648869288645,-1.0399999999999636
2011,14,0.36712328767123287,9.571428571428571,3.9227229193559943,-0.0015427420511037373,0.001208401531312181,-0.21695011337868483,0.11093710343777836,-0.8699999999998909
2012,8,0.24383561643835616,11.125,9.198335447242615,-0.0022821859952750025,0.0026378102332660952,-0.2535860177404295,0.09581151830149551,-1.2300000000000182
2013,8,0.2356164383561644,10.75,3.897114317029974,-0.0015564698601109855,0.0016230408992368123,-0.17174707602339181,0.08943293723735907,-0.5900000000001455
2014,11,0.28493150684931506,9.454545454545455,5.01567789968499,-0.0018878519790070782,0.0015040083532861974,-0.2572871572871573,0.12453114993664878,-1.1799999999998363
2015,7,0.26301369863013696,13.714285714285714,6.6486150161257696,-0.0028423676502985,0.0032433771582476016,-0.20304232804232808,0.14138906151841163,-1.0100000000002183
2016,12,0.3178082191780822,9.666666666666666,2.778888666755511,-0.0021427789571617064,0.0012874629757794174,-0.2948893698893699,0.14334776151185283,-0.9400000000000546
2017,11,0.3452054794520548,11.454545454545455,6.853846118171188,-0.0030097579460879585,0.0034757759271602955,-0.2919191919191919,0.23959097717407954,-1.9299999999998363
2018,11,0.29863013698630136,9.909090909090908,3.232070697205669,-0.0015105741276106373,0.0011065399556961075,-0.1904761904761905,0.07246482571176639,-0.650000000000091
2019,11,0.33424657534246577,11.090909090909092,7.329325225725953,-0.0032394003468738455,0.0025286490128664353,-0.4061220975993704,0.289905641275257,-1.509999999999991
2020,9,0.25753424657534246,10.444444444444445,6.075654717552141,-0.0017520646314802735,0.002319511854958001,-0.18625356125356127,0.08751703641052219,-0.7300000000000182
2021,3,0.057534246575342465,7.0,2.160246899469287,-0.0008340283569641367,0.0,-0.18703703703703703,0.05743726821952157,-0.38000000000010914
