Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference, Rate of Change
4/27/04,9/4/04,131,3179.2,3165.6,-0.004277805737292372,-0.10461538461538392
9/6/04,9/17/04,12,3165.8,3165.4,-0.00012635036957485974,-0.03636363636364463
5/25/05,6/6/05,13,3171.6,3171.2,-0.00012611930886621608,-0.03333333333334091
6/26/05,8/19/05,55,3176.4,3170.2,-0.0019518952273014332,-0.11481481481481987
8/22/05,9/23/05,33,3170.0,3166.6,-0.0010725552050473474,-0.10625000000000284
5/26/06,8/8/06,75,3172.0,3164.4,-0.0023959646910466296,-0.10270270270270147
8/9/06,8/25/06,17,3164.6,3163.4,-0.0003791948429500784,-0.07499999999998863
5/20/07,7/3/07,45,3169.4,3166.2,-0.0010096548242570433,-0.07272727272727893
7/7/07,7/16/07,10,3166.2,3166.0,-6.316720358783972e-05,-0.02222222222220201
8/11/07,8/15/07,5,3166.0,3165.8,-6.317119393550793e-05,-0.049999999999954525
8/19/07,8/23/07,5,3166.0,3165.8,-6.317119393550793e-05,-0.049999999999954525
9/15/07,9/24/07,10,3166.0,3165.8,-6.317119393550793e-05,-0.02222222222220201
6/25/08,7/18/08,24,3178.2,3176.4,-0.0005663583160278545,-0.07826086956520553
7/20/08,7/29/08,10,3177.0,3176.8,-6.295247088442496e-05,-0.02222222222220201
8/1/08,9/19/08,50,3176.6,3173.2,-0.00107032676446518,-0.06938775510204268
5/20/09,6/4/09,16,3181.0,3180.4,-0.0001886199308393301,-0.039999999999993936
6/27/09,7/4/09,8,3181.4,3181.0,-0.0001257308103351012,-0.05714285714287014
7/11/09,9/21/09,73,3181.4,3174.8,-0.0020745583705286696,-0.0916666666666654
5/30/10,6/8/10,10,3187.0,3186.8,-6.275494195162162e-05,-0.02222222222220201
6/16/10,6/20/10,5,3187.2,3186.8,-0.0001255020080320144,-0.09999999999990905
6/22/10,6/28/10,7,3187.0,3186.6,-0.00012550988390338592,-0.06666666666668182
7/4/10,7/24/10,21,3186.8,3185.6,-0.00037655328228952955,-0.06000000000001364
7/27/10,8/5/10,10,3185.4,3185.0,-0.0001255729264770801,-0.04444444444445455
8/6/10,9/21/10,47,3185.0,3181.4,-0.0011302982731553875,-0.07826086956521541
3/2/11,3/11/11,10,3186.0,3185.8,-6.277463904576839e-05,-0.02222222222220201
3/15/11,3/24/11,10,3186.6,3185.4,-0.00037657691583500223,-0.13333333333331313
5/23/11,5/27/11,5,3187.0,3186.6,-0.00012550988390338592,-0.10000000000002274
7/1/11,7/15/11,15,3186.8,3186.2,-0.0001882766411448361,-0.042857142857168844
7/17/11,9/22/11,68,3186.0,3180.6,-0.0016949152542373167,-0.0805970149253745
4/23/12,5/6/12,14,3186.0,3185.6,-0.0001255492780916795,-0.030769230769237765
5/9/12,5/25/12,17,3185.4,3184.6,-0.0002511458529541602,-0.05000000000001137
5/27/12,6/7/12,12,3184.6,3184.2,-0.00012560447151921465,-0.03636363636364463
6/12/12,9/19/12,100,3184.0,3174.0,-0.00314070351758794,-0.10101010101010101
