Start Date, End Date, Duration, Start Elevation, End Elevation, Drawdown
9/27/05,9/28/05,2,3166.8,3166.6,-0.20000000000027285
10/2/05,10/3/05,2,3166.8,3166.6,-0.20000000000027285
11/2/05,11/3/05,2,3167.4,3167.2,-0.20000000000027285
10/2/06,10/3/06,2,3163.8,3163.6,-0.20000000000027285
10/7/06,10/8/06,2,3163.8,3163.6,-0.20000000000027285
7/31/07,8/2/07,3,3166.0,3165.8,-0.1999999999998181
8/17/07,8/18/07,2,3166.0,3165.8,-0.1999999999998181
9/7/07,9/8/07,2,3166.0,3165.8,-0.1999999999998181
9/11/07,9/12/07,2,3166.0,3165.8,-0.1999999999998181
9/13/07,9/14/07,2,3166.0,3165.8,-0.1999999999998181
5/25/10,5/28/10,4,3187.2,3186.4,-0.7999999999997272
6/13/10,6/14/10,2,3187.0,3186.8,-0.1999999999998181
10/5/10,10/6/10,2,3181.4,3181.2,-0.20000000000027285
3/25/11,3/28/11,4,3185.4,3185.0,-0.40000000000009095
5/19/11,5/21/11,3,3187.0,3186.8,-0.1999999999998181
5/29/11,5/31/11,3,3186.8,3186.0,-0.8000000000001819
6/2/11,6/5/11,4,3187.0,3186.0,-1.0
6/22/11,6/25/11,4,3186.8,3186.6,-0.20000000000027285
11/11/11,11/12/11,2,3181.2,3181.0,-0.1999999999998181
4/29/14,4/30/14,2,3186.0,3185.8,-0.1999999999998181
5/13/14,5/16/14,4,3186.8,3186.0,-0.8000000000001819
2/2/15,2/3/15,2,3184.4,3184.0,-0.40000000000009095
4/13/15,4/14/15,2,3185.4,3185.2,-0.20000000000027285
5/15/15,5/18/15,4,3186.8,3186.0,-0.8000000000001819
6/4/15,6/5/15,2,3185.4,3185.2,-0.20000000000027285
6/7/15,6/10/15,4,3187.6,3184.8,-2.799999999999727
6/11/15,6/12/15,2,3185.0,3184.8,-0.1999999999998181
6/13/15,6/14/15,2,3185.0,3184.8,-0.1999999999998181
6/30/15,7/2/15,3,3186.0,3185.6,-0.40000000000009095
11/22/15,11/23/15,2,3183.4,3183.2,-0.20000000000027285
5/10/16,5/11/16,2,3186.6,3186.4,-0.1999999999998181
10/3/16,10/5/16,3,3179.2,3179.0,-0.1999999999998181
12/7/16,12/8/16,2,3180.2,3180.0,-0.1999999999998181
10/19/17,10/20/17,2,3177.8,3177.6,-0.20000000000027285
12/21/17,12/22/17,2,3179.0,3178.8,-0.1999999999998181
5/17/18,5/19/18,3,3186.6,3186.4,-0.1999999999998181
11/13/18,11/14/18,2,3182.2,3182.0,-0.1999999999998181
11/18/18,11/19/18,2,3182.2,3182.0,-0.1999999999998181
11/20/18,11/23/18,4,3182.2,3182.0,-0.1999999999998181
5/21/19,5/22/19,2,3186.6,3186.4,-0.1999999999998181
5/31/19,6/3/19,4,3186.0,3185.4,-0.599999999999909
6/5/19,6/8/19,4,3185.6,3185.4,-0.1999999999998181
7/7/19,7/8/19,2,3186.4,3186.2,-0.20000000000027285
11/11/19,11/14/19,4,3184.2,3184.0,-0.1999999999998181
11/15/19,11/16/19,2,3184.2,3184.0,-0.1999999999998181
12/23/19,12/24/19,2,3183.0,3182.8,-0.1999999999998181
12/26/19,12/27/19,2,3183.0,3182.8,-0.1999999999998181
