Year, Number of Drawdowns, Percent of Year in Drawdown, Average Days of Drawdown, SD of Drawdown, Average Percent Difference, SD Percent Difference, Average Rate of Change, SD Rate of Change, Max Daily Drawdown
2004,2,0.3917808219178082,71.5,59.5,-0.0022020780534336157,0.0020757276838587564,-0.07048951048951427,0.03412587412586964,-0.1999999999998181
2005,3,0.27671232876712326,33.666666666666664,17.15290710702481,-0.0010501899137383322,0.0007455376497427849,-0.08479938271605454,0.03655958326258626,-0.19000000000005457
2006,2,0.25205479452054796,46.0,29.0,-0.001387579766998354,0.0010083849240482756,-0.08885135135134506,0.013851351351356421,-0.17000000000007276
2007,5,0.2054794520547945,15.0,15.165750888103101,-0.0002524671219302814,0.00037859385116653535,-0.0434343434343184,0.019205205395794043,-0.14000000000032742
2008,3,0.23013698630136986,28.0,16.57307052620807,-0.0005665458504591532,0.0004112588545905555,-0.056623615629816736,0.02459369758506172,-0.13000000000010914
2009,3,0.26575342465753427,32.333333333333336,28.94055209486432,-0.000796303037234367,0.0009042275831488978,-0.06293650793650983,0.021486986809853326,-0.15000000000009095
2010,6,0.273972602739726,16.666666666666668,14.476033833738976,-0.0003243652193015032,0.0003740098072080629,-0.06193236714974607,0.02457856568698637,-0.38999999999987267
2011,5,0.2958904109589041,21.6,23.414525406251563,-0.0004896106668332619,0.0006117346397037105,-0.07580194266761624,0.039685125390019324,-0.44000000000005457
2012,4,0.3917808219178082,35.75,37.13741374947911,-0.0009107507800382485,0.0012884839925256329,-0.054535742035748694,0.027728647101107475,-0.16000000000030923
2013,7,0.29315068493150687,15.285714285714286,6.363159271805739,-0.00026976067960339257,0.00020935144415975778,-0.050123037218483615,0.023335499929395622,-0.13999999999987267
2014,9,0.4547945205479452,18.444444444444443,10.510429858120414,-0.0003418659867937744,0.00025822555216239735,-0.060636132705110715,0.016170618164572548,-0.3599999999996726
2015,5,0.2273972602739726,16.6,16.25546062097288,-0.0005398532655858158,0.0002739754389878726,-0.17859523809523475,0.11675313608027865,-1.9200000000000728
2016,4,0.3643835616438356,33.25,43.205179087697346,-0.0006433229293641345,0.0010054638815599286,-0.04136812045688488,0.020538688218497032,-0.17000000000007276
2017,2,0.29041095890410956,53.0,43.0,-0.001318430977568449,0.0012556523976198417,-0.054269005847967414,0.03204678362571488,-0.16000000000030923
2018,8,0.35342465753424657,16.125,14.641016870422629,-0.0002981756109018664,0.00030229637190362895,-0.06879344057410954,0.037146711621878006,-0.34999999999990905
2019,12,0.3780821917808219,11.5,6.87386354243376,-0.0003086666601536853,0.00024369865918700238,-0.11430911680911592,0.1196723698135786,-0.7800000000002001
2020,13,0.6821917808219178,19.153846153846153,19.437656371257845,-0.0002610200182888952,0.00032968237421021764,-0.04145452586629432,0.017016221246608197,-0.25
