Start Date, End Date, Duration, Start Elevation, End Elevation, Drawdown
1/1/00,1/3/00,3,1907.2,1906.6,-0.6000000000001364
1/4/00,1/5/00,2,1906.8,1906.0,-0.7999999999999545
1/6/00,1/7/00,2,1907.2,1906.6,-0.6000000000001364
1/8/00,1/9/00,2,1906.8,1906.4,-0.3999999999998636
1/11/00,1/12/00,2,1906.8,1906.6,-0.20000000000004547
1/13/00,1/15/00,3,1906.8,1906.4,-0.3999999999998636
1/16/00,1/17/00,2,1906.8,1906.6,-0.20000000000004547
1/19/00,1/20/00,2,1907.0,1906.8,-0.20000000000004547
1/22/00,1/23/00,2,1907.0,1906.8,-0.20000000000004547
1/24/00,1/25/00,2,1907.0,1906.6,-0.40000000000009095
1/27/00,1/28/00,2,1906.8,1906.6,-0.20000000000004547
2/5/00,2/6/00,2,1907.4,1907.0,-0.40000000000009095
2/13/00,2/14/00,2,1907.4,1907.0,-0.40000000000009095
2/16/00,2/19/00,4,1907.6,1907.0,-0.599999999999909
2/20/00,2/22/00,3,1907.6,1907.2,-0.3999999999998636
2/24/00,2/26/00,3,1907.4,1907.2,-0.20000000000004547
2/28/00,3/2/00,4,1907.6,1907.2,-0.3999999999998636
3/4/00,3/6/00,3,1907.6,1907.4,-0.1999999999998181
3/9/00,3/10/00,2,1908.2,1908.0,-0.20000000000004547
3/14/00,3/16/00,3,1908.2,1907.6,-0.6000000000001364
3/19/00,3/20/00,2,1908.0,1907.8,-0.20000000000004547
4/2/00,4/3/00,2,1910.8,1910.4,-0.3999999999998636
4/8/00,4/9/00,2,1911.6,1911.4,-0.1999999999998181
4/29/00,4/30/00,2,1912.2,1912.0,-0.20000000000004547
5/2/00,5/3/00,2,1912.2,1911.8,-0.40000000000009095
5/5/00,5/8/00,4,1912.0,1910.8,-1.2000000000000455
5/31/00,6/3/00,4,1912.2,1912.0,-0.20000000000004547
6/4/00,6/6/00,3,1912.2,1911.8,-0.40000000000009095
6/7/00,6/8/00,2,1912.0,1911.8,-0.20000000000004547
6/11/00,6/12/00,2,1912.0,1911.8,-0.20000000000004547
6/13/00,6/14/00,2,1912.2,1911.6,-0.6000000000001364
6/15/00,6/17/00,3,1912.0,1911.4,-0.599999999999909
6/20/00,6/21/00,2,1912.0,1911.6,-0.40000000000009095
6/25/00,6/26/00,2,1912.2,1911.8,-0.40000000000009095
6/30/00,7/2/00,3,1912.6,1912.0,-0.599999999999909
7/4/00,7/5/00,2,1913.0,1912.0,-1.0
7/7/00,7/8/00,2,1912.2,1911.0,-1.2000000000000455
7/11/00,7/13/00,3,1912.0,1911.6,-0.40000000000009095
7/14/00,7/15/00,2,1912.0,1911.8,-0.20000000000004547
7/16/00,7/18/00,3,1912.4,1911.8,-0.6000000000001364
7/28/00,7/31/00,4,1912.2,1911.4,-0.7999999999999545
8/1/00,8/3/00,3,1911.6,1911.2,-0.3999999999998636
8/9/00,8/10/00,2,1912.2,1911.8,-0.40000000000009095
8/12/00,8/13/00,2,1912.6,1911.8,-0.7999999999999545
8/14/00,8/16/00,3,1912.6,1912.0,-0.599999999999909
8/17/00,8/19/00,3,1912.8,1912.6,-0.20000000000004547
8/22/00,8/23/00,2,1913.2,1912.8,-0.40000000000009095
8/24/00,8/26/00,3,1913.0,1912.2,-0.7999999999999545
8/31/00,9/2/00,3,1913.0,1912.8,-0.20000000000004547
9/6/00,9/9/00,4,1913.2,1912.8,-0.40000000000009095
9/18/00,9/21/00,4,1912.2,1911.4,-0.7999999999999545
10/8/00,10/10/00,3,1908.4,1908.2,-0.20000000000004547
11/1/00,11/4/00,4,1906.6,1906.0,-0.599999999999909
11/5/00,11/6/00,2,1906.2,1905.8,-0.40000000000009095
11/16/00,11/17/00,2,1904.6,1904.4,-0.1999999999998181
11/25/00,11/28/00,4,1905.0,1904.0,-1.0
12/3/00,12/5/00,3,1905.0,1904.4,-0.599999999999909
12/7/00,12/8/00,2,1905.0,1904.8,-0.20000000000004547
12/17/00,12/18/00,2,1905.0,1904.8,-0.20000000000004547
12/19/00,12/20/00,2,1905.0,1904.8,-0.20000000000004547
1/3/01,1/5/01,3,1905.4,1904.8,-0.6000000000001364
1/6/01,1/8/01,3,1905.4,1904.6,-0.8000000000001819
1/11/01,1/13/01,3,1905.4,1905.2,-0.20000000000004547
1/15/01,1/18/01,4,1905.8,1905.2,-0.599999999999909
1/29/01,1/30/01,2,1906.0,1905.2,-0.7999999999999545
2/4/01,2/6/01,3,1906.4,1905.8,-0.6000000000001364
2/8/01,2/10/01,3,1906.0,1905.8,-0.20000000000004547
2/11/01,2/12/01,2,1906.2,1905.8,-0.40000000000009095
2/13/01,2/15/01,3,1906.0,1905.6,-0.40000000000009095
2/19/01,2/21/01,3,1905.8,1905.2,-0.599999999999909
2/25/01,2/26/01,2,1907.0,1906.8,-0.20000000000004547
3/4/01,3/5/01,2,1908.2,1908.0,-0.20000000000004547
3/18/01,3/20/01,3,1910.8,1910.2,-0.599999999999909
3/25/01,3/26/01,2,1911.4,1911.0,-0.40000000000009095
3/28/01,3/30/01,3,1911.4,1911.2,-0.20000000000004547
4/1/01,4/2/01,2,1911.6,1911.4,-0.1999999999998181
4/5/01,4/6/01,2,1911.6,1911.4,-0.1999999999998181
4/8/01,4/9/01,2,1912.2,1912.0,-0.20000000000004547
