Year, Number of Drawdowns, Percent of Year in Drawdown, Average Days of Drawdown, SD of Drawdown, Average Percent Difference, SD Percent Difference, Average Rate of Change, SD Rate of Change, Max Daily Drawdown
2000,20,0.536986301369863,9.8,3.9319206502674997,-0.00034176900247696147,0.0004732596858202137,-0.054413455988456205,0.062188017740702546,-3.1799999999998363
2001,25,0.6273972602739726,9.16,4.696211238860535,-0.00020831461609860984,0.00040872437948070056,-0.03004907647907933,0.051118962818169494,-3.6700000000000728
2002,15,0.4821917808219178,11.733333333333333,5.57932692077538,-0.0004401924891007222,0.0005487313924489689,-0.06137243098536328,0.05305644376509847,-3.980000000000018
2003,18,0.5068493150684932,10.277777777777779,3.2796604762545427,-0.00021013395757974576,0.0003691157500965865,-0.025472767972768515,0.08197012024726015,-2.0
2004,19,0.5123287671232877,9.842105263157896,5.091408221025907,-0.000339662631712302,0.0005804846111926579,-0.04625759912601883,0.07552188354503372,-4.509999999999991
2005,27,0.6986301369863014,9.444444444444445,4.236816881097249,-0.00036705780860979897,0.0005746642831229913,-0.05732825203960311,0.09160406291648156,-3.5299999999999727
2006,12,0.4986301369863014,15.166666666666666,13.897441810955314,-0.002142639563448122,0.005343086521416309,-0.12556620380561165,0.17321925543571878,-37.63000000000011
2007,14,0.42191780821917807,11.0,4.675162334843877,-0.000585124859873788,0.0007633393708604166,-0.07898216466073685,0.07873244063186693,-5.620000000000118
2008,19,0.4958904109589041,9.526315789473685,2.962367848309534,-0.0003981601153305961,0.0006100912387826932,-0.06706220095693441,0.10763088800131258,-4.120000000000118
2009,25,0.7095890410958904,10.36,3.4511447376196793,-0.0004900503779052378,0.0004751960236352556,-0.08570018759019017,0.08226333958236066,-3.130000000000109
2010,27,0.7150684931506849,9.666666666666666,3.559026084010437,-0.0003908561774387005,0.0006533077373575094,-0.06280752737942084,0.10426840027904664,-4.539999999999964
2011,25,0.6438356164383562,9.4,5.091168824543143,-0.0003752004554478617,0.000786188586836817,-0.052944444444444974,0.11369533788325215,-6.990000000000009
2012,20,0.5506849315068493,10.05,3.427462618322773,-0.0003021877538187291,0.0003994382346818435,-0.05103022345302113,0.049438237914936456,-3.5800000000001546
2013,23,0.5452054794520548,8.652173913043478,2.3145794181228116,-0.0002063699033149516,0.00024496717305982983,-0.044639547650414474,0.05266619827941896,-1.7000000000000455
2014,24,0.5835616438356165,8.875,2.127449568536624,-0.00019972268969846083,0.00023604120484459575,-0.04408492664743147,0.047531836203497026,-1.25
2015,19,0.5589041095890411,10.736842105263158,5.5804367426060075,-0.00025570896283793563,0.000457177785784757,-0.03229003445133021,0.06987291979117626,-2.9700000000000273
2016,14,0.40273972602739727,10.5,2.97008898375597,-0.0004760806806195507,0.0005297281509862125,-0.08549030742833287,0.08833911020227903,-3.2799999999999727
2017,20,0.6,10.95,4.543952024394624,-0.000320869461244063,0.00040792191041096986,-0.05323354408748967,0.06632977262849828,-2.730000000000018
2018,22,0.6,9.954545454545455,3.4703585448411616,-0.0003057232026990969,0.0003487454615487389,-0.04847245179063368,0.06111237918392414,-2.3599999999999
2019,13,0.3506849315068493,9.846153846153847,2.957289659498629,-0.0005921614492218947,0.000746364735329109,-0.10086664724164743,0.12969470919609624,-4.369999999999891
2020,20,0.5178082191780822,9.45,3.2322592717787972,-0.00046514794470440423,0.0005783195437595592,-0.08097588383838757,0.09171487536914916,-4.2000000000000455
