Year, Number of Drawdowns, Percent of Year in Drawdown, Average Days of Drawdown, SD of Drawdown, Average Percent Difference, SD Percent Difference, Average Rate of Change, SD Rate of Change, Max Daily Drawdown
2000,9,0.4849315068493151,19.666666666666668,24.54474372334012,-0.0020319328906363812,0.002650754074569376,-0.17443668144141616,0.12518817877248462,-1.2799999999999727
2001,10,0.4931506849315068,18.0,21.12818023399081,-0.0032292229208511483,0.00838768484432255,-0.13897046413502273,0.18186267023126454,-1.5900000000001455
2002,10,0.5205479452054794,19.0,11.924764148611073,-0.0013702384970523008,0.0017465465059912355,-0.09902094686922444,0.06556293058278927,-1.2899999999999636
2003,7,0.6082191780821918,31.714285714285715,16.95131082764723,-0.002914425024494218,0.00253014937876987,-0.12921616244299455,0.08824551294752579,-0.4700000000000273
2004,9,0.3452054794520548,14.0,11.015141094572204,-0.0009746104504189113,0.001300230745105898,-0.09281373327350459,0.0822462400172872,-0.4500000000000455
2005,14,0.5287671232876713,13.785714285714286,12.823965129110928,-0.0018370299138471353,0.0023104644073464373,-0.4164711905345341,0.7526995019920292,-7.119999999999891
2006,8,0.6301369863013698,28.75,33.71479645496915,-0.0038779176615612865,0.006865252480826189,-0.12846192002441534,0.1314665528971203,-0.8099999999999454
2007,5,0.4191780821917808,30.6,11.77454882362802,-0.0025993449909266038,0.0018551683476266962,-0.14285414639760077,0.09609498366539418,-0.8899999999998727
2008,11,0.4520547945205479,15.0,16.453792047041095,-0.003157598787383632,0.006670050930098741,-0.21163059163059514,0.18673014414447248,-1.150000000000091
2009,11,0.5835616438356165,19.363636363636363,12.97741203555223,-0.003167042120872451,0.006928711474620415,-0.16207736707737055,0.21948039936790154,-1.6100000000001273
2010,13,0.6054794520547945,17.0,15.787044347526527,-0.00198246374146707,0.0029137850780895824,-0.19293761793761563,0.09440717717168415,-1.349999999999909
2011,10,0.6821917808219178,24.9,22.726416347501864,-0.003156291897966272,0.006257561773816321,-0.14440896358543248,0.13096656372681345,-1.050000000000182
2012,6,0.33972602739726027,20.666666666666668,17.96910929592474,-0.0017478082107453632,0.002358480322926261,-0.1254894179894163,0.09387953430865777,-0.709999999999809
2013,16,0.7123287671232876,16.25,16.656455205114924,-0.0016768707584650885,0.0028574026480626597,-0.13271731868710304,0.08879532330168455,-1.1299999999998818
2014,12,0.5260273972602739,16.0,11.16542281629615,-0.0019507006617926787,0.002497641571193438,-0.15136376467931303,0.13496392844339217,-1.290000000000191
2015,6,0.8438356164383561,51.333333333333336,73.08366590574272,-0.006658925646795997,0.0090343921081737,-0.19031897203324621,0.1316617813353401,-0.8900000000001
2016,7,0.4904109589041096,25.571428571428573,18.584610706227906,-0.0035725696041826386,0.0033599193080224867,-0.2540858663214462,0.14453153427805196,-0.6900000000000546
2017,6,0.663013698630137,40.333333333333336,56.905379554328796,-0.003823694965609411,0.005397314016844553,-0.1622225413650687,0.06844363774265602,-2.410000000000082
2018,10,0.473972602739726,17.3,11.27874106449829,-0.0014425928540631931,0.0017490081222460213,-0.1477169666082669,0.1492542205982365,-0.9500000000000455
2019,9,0.5698630136986301,23.11111111111111,22.45214389389349,-0.0029700398306895096,0.0049050002849663505,-0.19071206869354118,0.157137364217389,-1.0399999999999636
2020,8,0.5616438356164384,25.625,38.36319036524465,-0.002837960695193732,0.006414014639838314,-0.10161505161505197,0.07401111927231631,-0.9200000000000728
