Year, Number of Drawdowns, Percent of Year in Drawdown, Average Days of Drawdown, SD of Drawdown, Average Percent Difference, SD Percent Difference, Average Rate of Change, SD Rate of Change, Max Daily Drawdown
2000,6,0.3506849315068493,21.333333333333332,18.624953392931992,-0.00250731962048864,0.002306318721532024,-0.2441543040293066,0.11039204915139725,-10.3599999999999
2001,2,0.25753424657534246,47.0,34.0,-0.014902761665144492,0.013336329680526074,-0.46266666666666534,0.18566666666666717,-50.569999999999936
2002,3,0.25205479452054796,30.666666666666668,15.69146972791976,-0.0033491309644285566,0.0020423985103460588,-0.5800882117080867,0.5020247850942036,-10.019999999999982
2003,4,0.4246575342465753,38.75,10.985786271359915,-0.004386209911334719,0.001874104477385442,-0.21623515024458614,0.045865645245833246,-12.019999999999982
2004,3,0.2191780821917808,26.666666666666668,11.469767022723502,-0.0024949226118434523,0.0008917288268250318,-0.2205769230769206,0.06563808336754932,-6.220000000000027
2005,7,0.30684931506849317,16.0,9.486832980505138,-0.00404827324525348,0.0025853294048515385,-1.395008210180621,1.5237324523701827,-13.349999999999909
2006,2,0.4246575342465753,77.5,37.5,-0.014434080902797871,0.006267162516043865,-0.3692642642642663,0.03629129129129302,-36.960000000000036
2007,3,0.2136986301369863,26.0,7.2571803523590805,-0.0028880174224346065,0.0021249144215151807,-0.19335409035409432,0.1050693553862209,-10.220000000000027
2008,6,0.3835616438356164,23.333333333333332,20.07209228976613,-0.0054739828504235775,0.008319536204262316,-0.33983146630237265,0.18692398167798677,-42.680000000000064
2009,4,0.4191780821917808,38.25,11.321991874224253,-0.007966091486130592,0.0096188210920429,-0.3478062518562536,0.3177191473625312,-43.940000000000055
2010,8,0.5863013698630137,26.75,35.205645854038806,-0.0030043748152276573,0.005096250452859565,-0.2423118137900743,0.11236285750628563,-29.019999999999982
2011,4,0.4547945205479452,41.5,28.02231253840411,-0.0070901563187641785,0.008491406849826579,-0.2501292016806731,0.12763766532115303,-38.81000000000017
2012,4,0.3178082191780822,29.0,19.63415391607186,-0.002522253535865376,0.002539067313891597,-0.18538751987279406,0.0795464113350909,-11.559999999999945
2013,6,0.6465753424657534,39.333333333333336,40.945763584961455,-0.005696594977116447,0.007416530476274506,-0.22029834365325243,0.0818239858159789,-38.159999999999854
2014,2,0.19452054794520549,35.5,25.5,-0.0045901899806129794,0.004330286822789591,-0.21649122807018195,0.06315789473683651,-15.940000000000055
2015,3,0.8027397260273973,97.66666666666667,82.79425637620577,-0.013035427658817385,0.008945502466987873,-0.3071404761904773,0.08812357422872273,-46.039999999999964
2016,4,0.32054794520547947,29.25,19.66437133498043,-0.005304872203017451,0.0033619729700289664,-0.38392847693800136,0.044159784930789675,-19.24000000000001
2017,5,0.4246575342465753,31.0,27.546324618721822,-0.0038482083828119697,0.0039466987353125515,-0.6607514451463917,0.8758230833029934,-20.809999999999945
2018,4,0.2547945205479452,23.25,15.20485119953497,-0.0028641284522299753,0.0017931347879150074,-0.33062896825397164,0.17974830736047784,-10.490000000000009
2019,5,0.4986301369863014,36.4,46.34911002381814,-0.004869620666403918,0.007769306681234504,-0.20559084249083903,0.09236169169998044,-36.50999999999999
2020,2,0.04657534246575343,8.5,1.5,-0.00039914041798716883,2.9332437979166494e-05,-0.13016666666667334,0.0018333333333430402,-0.7699999999999818
