Start Date, End Date, Duration, Start Elevation, End Elevation, Drawdown
4/21/98,4/23/98,3,7471.0,7470.0,-1.0
4/5/01,4/7/01,3,7476.0,7475.0,-1.0
7/6/01,7/7/01,2,7502.0,7501.0,-1.0
8/9/01,8/11/01,3,7500.0,7499.0,-1.0
8/15/01,8/18/01,4,7500.0,7499.0,-1.0
11/15/01,11/17/01,3,7487.0,7486.0,-1.0
12/19/01,12/21/01,3,7486.0,7485.0,-1.0
2/22/02,2/23/02,2,7483.0,7482.0,-1.0
5/31/02,6/1/02,2,7477.0,7476.0,-1.0
5/12/03,5/15/03,4,7448.0,7447.0,-1.0
8/28/03,8/29/03,2,7466.0,7465.0,-1.0
7/22/04,7/23/04,2,7495.0,7494.0,-1.0
4/21/05,4/22/05,2,7462.0,7461.0,-1.0
7/13/05,7/15/05,3,7499.0,7498.0,-1.0
7/19/05,7/22/05,4,7499.0,7498.0,-1.0
7/26/05,7/29/05,4,7499.0,7498.0,-1.0
8/17/05,8/19/05,3,7498.0,7497.0,-1.0
10/20/05,10/21/05,2,7490.0,7489.0,-1.0
6/22/06,6/23/06,2,7518.0,7517.0,-1.0
11/15/10,11/16/10,2,7487.0,7486.0,-1.0
1/12/11,1/14/11,3,7487.0,7486.0,-1.0
1/18/11,1/21/11,4,7487.0,7486.0,-1.0
5/10/13,5/12/13,3,7455.0,7454.0,-1.0
10/31/18,11/1/18,2,7438.0,7437.0,-1.0
12/13/18,12/15/18,3,7438.0,7437.0,-1.0
12/18/18,12/19/18,2,7438.0,7437.0,-1.0
12/14/20,12/15/20,2,7465.0,7464.0,-1.0
