Year, Number of Drawdowns, Percent of Year in Drawdown, Average Days of Drawdown, SD of Drawdown, Average Percent Difference, SD Percent Difference, Average Rate of Change, SD Rate of Change, Max Daily Drawdown
1998,8,0.663013698630137,30.25,26.484665374514364,-0.0005838354984173859,0.0007655595830149896,-0.11124999946210964,0.04700970092055688,-0.47000000000025466
1999,10,0.7643835616438356,27.9,39.411800263372896,-0.0005005849541946917,0.001062090699667373,-0.08632066484240346,0.049863181868541114,-0.6199999999998909
2000,10,0.6821917808219178,24.9,26.759857996633688,-0.0004612875437499331,0.0008260684933107395,-0.10303257419952808,0.06889033631269573,-1.019999999999527
2001,22,0.7232876712328767,12.0,10.694093526972559,-0.00016990158348824115,0.00025699668276825307,-0.11623366532458519,0.0718501711407981,-0.42000000000007276
2002,12,0.726027397260274,22.083333333333332,30.733961490326774,-0.0005327295966088566,0.0012751924998671094,-0.11509113790443413,0.07968149131289368,-0.5199999999995271
2003,18,0.4301369863013699,8.722222222222221,3.9413133112306555,-0.0002231914223426099,0.00016526470389814266,-0.20716151132816635,0.08794654887462464,-0.4399999999995998
2004,15,0.32054794520547947,7.8,2.508651696296904,-0.00022615349646766522,0.00012795273194682398,-0.2409523809523563,0.0683552471351085,-0.4600000000000364
2005,19,0.5972602739726027,11.473684210526315,7.762042738817172,-0.00023788741745563337,0.0003098161758153519,-0.14778744647165531,0.08705414911961573,-0.6899999999995998
2006,18,0.8328767123287671,16.88888888888889,26.703909178846807,-0.0003479546545084716,0.0006915621366926537,-0.14138685388685784,0.07710109926363465,-0.36999999999989086
2007,7,0.4602739726027397,24.0,14.716366011058184,-0.0005291465904728774,0.0004574840671903423,-0.15233477202135018,0.07020543658598949,-0.3400000000001455
2008,12,0.7095890410958904,21.583333333333332,23.52111935167108,-0.0005470638474896103,0.0008582187665301243,-0.13676678740849932,0.09235050646889793,-0.4600000000000364
2009,11,0.8602739726027397,28.545454545454547,26.884817061489407,-0.0004893575483658634,0.0006651613642720069,-0.08949718400698271,0.06352209836833525,-0.47999999999956344
2010,14,0.5232876712328767,13.642857142857142,9.9470537120808,-0.0002934333576125036,0.00031839351055458904,-0.15804206531097326,0.13120139934126085,-0.7999999999992724
2011,8,0.8246575342465754,37.625,28.372246562441966,-0.0008132671169980956,0.0006426991303353025,-0.1561551457333626,0.05088452663196549,-0.5399999999999636
2012,8,0.5643835616438356,25.75,40.54858197273981,-0.0005680135785300086,0.0013214882050438606,-0.07462121212121832,0.0635610374689916,-0.32999999999992724
2013,6,0.33972602739726027,20.666666666666668,28.830924754891615,-0.00045960265540775556,0.0008726440852510125,-0.10753968253968604,0.07589469427523794,-0.3600000000005821
2014,10,0.5424657534246575,19.8,17.0926884953772,-0.00032285682953521396,0.00030698768327169253,-0.11661701140388461,0.06953250143435367,-0.5200000000004366
2015,9,0.6958904109589041,28.22222222222222,30.698453735137782,-0.0005179142056189012,0.0006886371445327902,-0.11608088556470708,0.04203234174459552,-0.3000000000001819
2016,9,0.5534246575342465,22.444444444444443,34.61570328016241,-0.00042902853476334,0.0009263571025239722,-0.08858627937058561,0.06533219342127253,-0.43000000000029104
2017,7,0.673972602739726,35.142857142857146,29.70054627409388,-0.0010237432652498081,0.0009622201511123608,-0.25788529463192555,0.3355089929942275,-2.2700000000004366
2018,10,0.673972602739726,24.6,26.142685401465553,-0.0007145256174056385,0.0012519641152140154,-0.13002126072643455,0.09587361213815242,-0.5400000000008731
2019,5,0.6958904109589041,50.8,69.01999710228912,-0.0010866913417550527,0.0015146143126185403,-0.15368453768454046,0.12051429218639333,-0.8599999999996726
2020,5,0.4986301369863014,36.4,34.58091959448157,-0.0009348804362100434,0.0011568434112516602,-0.1554466386554968,0.07244447049771457,-0.38000000000010914
