Year, Number of Drawdowns, Percent of Year in Drawdown, Average Days of Drawdown, SD of Drawdown, Average Percent Difference, SD Percent Difference, Average Rate of Change, SD Rate of Change, Max Daily Drawdown
1998,3,0.6191780821917808,75.33333333333333,8.178562764256865,-0.001352221488823295,0.0007561030363731288,-0.12942410714285502,0.06270403424809658,-17.0600000000004
1999,2,0.5424657534246575,99.0,82.0,-0.002148970119488274,0.0019352355350951247,-0.13530555555556703,0.035305555555544293,-30.710000000000036
2000,4,0.36712328767123287,33.5,24.60182920028509,-0.0008093812668936299,0.0008832401208802056,-0.10928779802288549,0.10546807715311086,-16.5600000000004
2001,3,0.35342465753424657,43.0,28.994252303976847,-0.0007255064243560091,0.0006812787536411146,-0.09273129970800446,0.053404199171010164,-12.359999999999673
2002,4,0.4986301369863014,45.5,53.153080813815485,-0.0013530516650213011,0.0020393317078387587,-0.11515277777775569,0.0957297779874226,-36.42000000000007
2003,7,0.410958904109589,21.428571428571427,22.282966863613513,-0.00043169273040038765,0.0007675676958393418,-0.08431916876344635,0.08957739754472518,-17.040000000000873
2004,2,0.31232876712328766,57.0,47.0,-0.0013519873873255508,0.0013038478468441312,-0.11665048543692484,0.07665048543686016,-19.909999999999854
2005,5,0.5315068493150685,38.8,19.009471323527123,-0.0007487912313476836,0.0004356291615799299,-0.140602898284694,0.0767104716827016,-10.0600000000004
2006,2,0.5671232876712329,103.5,3.5,-0.002507770419842278,0.00027277085886002464,-0.18319754145226108,0.013500571755289528,-20.850000000000364
2007,2,0.5671232876712329,103.5,63.5,-0.0028273206784510192,0.0017197270055799145,-0.20943775100401474,0.0038955823293111286,-34.1200000000008
2008,4,0.336986301369863,30.75,29.961433543807612,-0.0007448381447742142,0.0009716756031125237,-0.09894375000001504,0.11218777559156586,-17.710000000000036
2009,3,0.38904109589041097,47.333333333333336,17.15290710702481,-0.0011782177449673565,0.000764001224618392,-0.16367096432729542,0.08736632950861985,-14.610000000000582
2010,3,0.336986301369863,41.0,22.464787260658994,-0.0010498152646701564,0.00041383799557750896,-0.22789325729078294,0.05584019363483827,-10.429999999999382
2011,4,0.7726027397260274,70.5,39.657912199206855,-0.0014617653215821158,0.00097845559102792,-0.14134032822170073,0.03972514099446381,-21.099999999999454
2012,1,0.36164383561643837,132.0,0.0,-0.004008141914151813,0.0,-0.22893129770992893,0.0,-29.99000000000069
2013,2,0.25205479452054796,46.0,39.0,-0.00114489677613873,0.0011811141285430172,-0.08095238095234522,0.12595238095241798,-17.38000000000011
2014,4,0.29315068493150687,26.75,22.151467220028564,-0.0004931027748997429,0.0003867468049608638,-0.14183441558441146,0.05660907865440171,-7.719999999999345
2015,6,0.6164383561643836,37.5,32.32001443894067,-0.0006541165528152577,0.0007176209423967703,-0.10327013948492551,0.05175262122688522,-12.8100000000004
2016,2,0.3506849315068493,64.0,49.0,-0.0015986407642977467,0.001295570812548561,-0.17816964285715844,0.01602678571427013,-21.75
2017,3,0.6520547945205479,79.33333333333333,86.0322936783366,-0.0022303605804355167,0.001640206637517957,-0.3982600217864984,0.3499302957892008,-32.590000000000146
2018,3,0.5753424657534246,70.0,56.50368719532086,-0.0022084083031232477,0.002466303243455496,-0.1525395272264085,0.10778562550141213,-42.33000000000084
2019,5,0.6794520547945205,49.6,67.65086843492847,-0.0010119342872281826,0.0014536187948121745,-0.13599649229610702,0.11007612389919065,-29.170000000000073
2020,3,0.4301369863013699,52.333333333333336,55.77534301901592,-0.0013802355793944927,0.0017372602356119662,-0.12255095884508749,0.08267607421682181,-28.710000000000036
