Start Date, End Date, Duration, Start Elevation, Min Elevation, Percent Difference, Rate of Change, Drawdown
7/8/97,8/13/97,36,2243.27,2237.21,-0.0027014135614526766,-0.17314285714285557,-6.059999999999945
7/18/98,10/1/98,75,2243.05,2234.78,-0.003686944116270249,-0.11175675675675652,-8.269999999999982
1/29/99,4/29/99,90,2241.3,2224.85,-0.007339490474278442,-0.18693181818182128,-16.450000000000273
1/26/00,5/18/00,113,2243.51,2227.22,-0.007260943788973714,-0.14675675675676053,-16.29000000000042
1/23/01,4/8/01,75,2244.02,2230.24,-0.0061407652338215345,-0.18876712328767398,-13.7800000000002
1/21/02,4/25/02,94,2243.91,2225.79,-0.00807519018142434,-0.19912087912087792,-18.11999999999989
2/5/03,4/17/03,71,2242.64,2223.67,-0.008458780722719564,-0.27492753623188115,-18.9699999999998
2/13/04,4/16/04,63,2240.85,2229.56,-0.0050382667291429435,-0.17920634920634862,-11.289999999999964
12/26/04,3/11/05,75,2243.15,2229.64,-0.006022780464971232,-0.18013333333333625,-13.510000000000218
12/14/05,2/24/06,72,2243.3,2230.42,-0.00574154147907106,-0.18400000000000155,-12.88000000000011
8/14/06,8/23/06,9,2242.71,2242.33,-0.00016943786757989625,-0.054285714285729876,-0.38000000000010914
12/7/06,2/19/07,74,2242.57,2233.28,-0.004142568570880714,-0.12902777777777727,-9.289999999999964
12/23/07,2/21/08,60,2240.64,2231.49,-0.004083654670094299,-0.1605263157894753,-9.150000000000091
12/13/08,2/23/09,72,2241.83,2233.89,-0.00354174937439505,-0.11183098591549373,-7.940000000000055
11/17/09,11/30/09,13,2245.92,2243.46,-0.0010953195127164086,-0.24600000000000363,-2.4600000000000364
12/24/09,2/23/10,61,2241.39,2227.37,-0.006255047091313864,-0.24172413793103417,-14.019999999999982
12/20/10,2/18/11,60,2242.31,2232.18,-0.004517662589026544,-0.17771929824561594,-10.13000000000011
11/23/11,3/6/12,104,2241.55,2221.03,-0.009154379781847374,-0.203168316831683,-20.519999999999982
8/4/12,8/8/12,4,2243.74,2243.15,-0.000262953818178439,-0.2949999999998454,-0.5899999999996908
8/9/12,8/14/12,5,2243.85,2243.25,-0.0002673975533123467,-0.14999999999997726,-0.599999999999909
9/8/12,9/16/12,8,2244.19,2243.65,-0.00024062133776550274,-0.06749999999999545,-0.5399999999999636
10/4/12,10/18/12,14,2244.04,2243.31,-0.0003253061442755112,-0.05214285714285844,-0.7300000000000182
12/3/12,2/24/13,83,2243.53,2229.93,-0.006061875704804644,-0.16585365853658982,-13.600000000000364
12/22/13,2/16/14,56,2242.2,2235.39,-0.003037195611453013,-0.1261111111111101,-6.809999999999945
12/9/14,2/14/15,67,2242.44,2231.02,-0.005092666916394674,-0.17303030303030414,-11.420000000000073
12/13/15,2/23/16,72,2242.39,2232.0,-0.004633449132398857,-0.1484285714285696,-10.389999999999873
11/30/16,12/21/16,21,2243.16,2234.3,-0.003949785124556284,-0.492222222222204,-8.859999999999673
1/7/17,1/21/17,14,2233.86,2232.11,-0.0007833973480880627,-0.1590909090909091,-1.75
7/22/18,8/1/18,10,2242.82,2241.87,-0.00042357389358052485,-0.09500000000002728,-0.9500000000002728
12/11/18,12/20/18,9,2242.39,2241.11,-0.0005708195273791559,-0.15999999999996817,-1.2799999999997453
12/27/18,1/8/19,12,2240.56,2237.9,-0.001187203199200135,-0.24181818181816858,-2.6599999999998545
1/13/19,2/8/19,26,2238.28,2233.79,-0.0020060046106833086,-0.18708333333334318,-4.4900000000002365
10/26/19,1/13/20,79,2243.84,2232.16,-0.005205362236166701,-0.15168831168831548,-11.680000000000291
6/9/20,6/17/20,8,2243.4,2240.02,-0.0015066417045556339,-3.380000000000109,-3.380000000000109
8/24/20,9/17/20,24,2244.08,2232.16,-0.005311753591672344,-0.5418181818181851,-11.920000000000073
2/12/21,2/20/21,8,2243.4,2240.02,-0.0015066417045556339,-3.380000000000109,-3.380000000000109
