Year, Number of Drawdowns, Percent of Year in Drawdown, Average Days of Drawdown, SD of Drawdown, Average Percent Difference, SD Percent Difference, Average Rate of Change, SD Rate of Change, Max Daily Drawdown
1997,1,0.10410958904109589,38.0,0.0,-0.0027014135614526766,0.0,-0.17314285714285557,0.0,-6.059999999999945
1998,1,0.21095890410958903,77.0,0.0,-0.003686944116270249,0.0,-0.11175675675675652,0.0,-8.269999999999982
1999,1,0.25205479452054796,92.0,0.0,-0.007339490474278442,0.0,-0.18693181818182128,0.0,-16.450000000000273
2000,1,0.3150684931506849,115.0,0.0,-0.007260943788973714,0.0,-0.14675675675676053,0.0,-16.29000000000042
2001,1,0.21095890410958903,77.0,0.0,-0.0061407652338215345,0.0,-0.18876712328767398,0.0,-13.7800000000002
2002,1,0.26301369863013696,96.0,0.0,-0.00807519018142434,0.0,-0.19912087912087792,0.0,-18.11999999999989
2003,1,0.2,73.0,0.0,-0.008458780722719564,0.0,-0.27492753623188115,0.0,-18.9699999999998
2004,2,0.38904109589041097,71.0,6.0,-0.005530523597057088,0.0004922568679141441,-0.17966984126984242,0.0004634920634938172,-13.510000000000218
2005,1,0.20273972602739726,74.0,0.0,-0.00574154147907106,0.0,-0.18400000000000155,0.0,-12.88000000000011
2006,2,0.23835616438356164,43.5,32.5,-0.0021560032192303054,0.001986565351650409,-0.09165674603175357,0.03737103174602369,-9.289999999999964
2007,1,0.16986301369863013,62.0,0.0,-0.004083654670094299,0.0,-0.1605263157894753,0.0,-9.150000000000091
2008,1,0.20273972602739726,74.0,0.0,-0.00354174937439505,0.0,-0.11183098591549373,0.0,-7.940000000000055
2009,2,0.2136986301369863,39.0,24.0,-0.0036751833020151363,0.002579863789298728,-0.2438620689655189,0.00213793103448473,-14.019999999999982
2010,1,0.16986301369863013,62.0,0.0,-0.004517662589026544,0.0,-0.17771929824561594,0.0,-10.13000000000011
2011,1,0.29041095890410956,106.0,0.0,-0.009154379781847374,0.0,-0.203168316831683,0.0,-20.519999999999982
2012,5,0.33424657534246577,24.4,30.545703462189245,-0.0014316309116672887,0.0023152913683594013,-0.1460993031358533,0.08669778741926912,-13.600000000000364
2013,1,0.1589041095890411,58.0,0.0,-0.003037195611453013,0.0,-0.1261111111111101,0.0,-6.809999999999945
2014,1,0.18904109589041096,69.0,0.0,-0.005092666916394674,0.0,-0.17303030303030414,0.0,-11.420000000000073
2015,1,0.20273972602739726,74.0,0.0,-0.004633449132398857,0.0,-0.1484285714285696,0.0,-10.389999999999873
2016,1,0.06301369863013699,23.0,0.0,-0.003949785124556284,0.0,-0.492222222222204,0.0,-8.859999999999673
2017,1,0.043835616438356165,16.0,0.0,-0.0007833973480880627,0.0,-0.1590909090909091,0.0,-1.75
2018,3,0.10136986301369863,12.333333333333334,1.247219128924647,-0.0007271988733866053,0.00033078019287089544,-0.16560606060605468,0.06006921321684142,-2.6599999999998545
2019,2,0.29863013698630136,54.5,26.5,-0.0036056834234250044,0.001599678812741696,-0.16938582251082934,0.01769751082251385,-11.680000000000291
2020,2,0.09863013698630137,18.0,8.0,-0.003409197648113989,0.001902555943558355,-1.9609090909091471,1.419090909090962,-11.920000000000073
2021,1,0.0273972602739726,10.0,0.0,-0.0015066417045556339,0.0,-3.380000000000109,0.0,-3.380000000000109
