Start Date, End Date, Duration, Start Elevation, End Elevation, Drawdown
3/13/97,3/16/97,4,2241.8,2241.6,-0.20000000000027285
3/17/97,3/18/97,2,2241.8,2241.6,-0.20000000000027285
5/31/97,6/2/97,3,2244.2,2244.0,-0.1999999999998181
6/28/97,6/29/97,2,2244.2,2244.0,-0.1999999999998181
11/2/97,11/3/97,2,2239.4,2239.2,-0.20000000000027285
12/19/97,12/20/97,2,2242.2,2242.0,-0.1999999999998181
3/31/98,4/1/98,2,2242.8,2242.6,-0.20000000000027285
5/6/98,5/7/98,2,2244.2,2244.0,-0.1999999999998181
5/19/98,5/22/98,4,2244.4,2244.2,-0.20000000000027285
6/1/98,6/2/98,2,2244.2,2244.0,-0.1999999999998181
6/15/98,6/16/98,2,2244.4,2244.2,-0.20000000000027285
4/29/99,5/1/99,3,2244.2,2244.0,-0.1999999999998181
9/24/99,9/25/99,2,2225.0,2224.8,-0.1999999999998181
3/30/00,4/1/00,3,2244.0,2243.8,-0.1999999999998181
4/2/00,4/4/00,3,2244.0,2243.8,-0.1999999999998181
4/5/00,4/6/00,2,2244.0,2243.8,-0.1999999999998181
4/8/00,4/9/00,2,2244.0,2243.8,-0.1999999999998181
4/27/00,4/29/00,3,2244.2,2244.0,-0.1999999999998181
5/23/00,5/25/00,3,2244.4,2244.2,-0.20000000000027285
6/8/00,6/10/00,3,2244.0,2243.8,-0.1999999999998181
9/20/01,9/21/01,2,2230.4,2230.2,-0.20000000000027285
3/24/02,3/27/02,4,2240.8,2240.6,-0.20000000000027285
3/28/02,3/29/02,2,2240.8,2240.6,-0.20000000000027285
3/30/02,3/31/02,2,2240.8,2240.6,-0.20000000000027285
6/21/02,6/24/02,4,2244.2,2244.0,-0.1999999999998181
12/16/02,12/17/02,2,2238.0,2237.6,-0.40000000000009095
2/23/03,2/25/03,3,2243.0,2242.8,-0.1999999999998181
4/4/03,4/5/03,2,2245.4,2245.2,-0.20000000000027285
5/14/04,5/15/04,2,2244.2,2244.0,-0.1999999999998181
6/21/04,6/22/04,2,2243.6,2243.4,-0.1999999999998181
9/27/04,9/28/04,2,2230.2,2230.0,-0.1999999999998181
10/29/04,10/30/04,2,2232.8,2232.6,-0.20000000000027285
3/27/05,3/28/05,2,2243.2,2243.0,-0.1999999999998181
4/16/05,4/19/05,4,2243.0,2242.8,-0.1999999999998181
4/21/05,4/24/05,4,2243.2,2243.0,-0.1999999999998181
9/22/05,9/25/05,4,2229.8,2229.6,-0.20000000000027285
10/4/05,10/5/05,2,2229.8,2229.6,-0.20000000000027285
10/8/05,10/10/05,3,2230.0,2229.8,-0.1999999999998181
10/17/05,10/18/05,2,2230.4,2230.2,-0.20000000000027285
10/19/05,10/20/05,2,2230.6,2230.4,-0.1999999999998181
11/4/05,11/5/05,2,2232.4,2232.2,-0.20000000000027285
11/7/05,11/8/05,2,2232.6,2232.4,-0.1999999999998181
11/11/05,11/12/05,2,2233.2,2232.8,-0.3999999999996362
11/18/05,11/19/05,2,2233.8,2233.6,-0.20000000000027285
11/22/05,11/23/05,2,2234.4,2234.2,-0.20000000000027285
11/27/05,11/30/05,4,2234.8,2234.6,-0.20000000000027285
12/31/05,1/1/06,2,2238.6,2238.4,-0.1999999999998181
1/7/06,1/8/06,2,2239.4,2238.8,-0.599999999999909
1/11/06,1/12/06,2,2239.8,2239.4,-0.40000000000009095
1/15/06,1/16/06,2,2240.0,2239.8,-0.1999999999998181
1/18/06,1/19/06,2,2240.4,2240.0,-0.40000000000009095
1/23/06,1/24/06,2,2240.8,2240.6,-0.20000000000027285
1/25/06,1/26/06,2,2241.0,2240.8,-0.1999999999998181
1/28/06,1/29/06,2,2241.2,2241.0,-0.1999999999998181
1/30/06,1/31/06,2,2241.4,2241.2,-0.20000000000027285
2/1/06,2/3/06,3,2241.6,2241.4,-0.1999999999998181
2/4/06,2/6/06,3,2241.8,2241.6,-0.20000000000027285
2/13/06,2/14/06,2,2242.4,2242.2,-0.20000000000027285
2/15/06,2/16/06,2,2242.4,2242.2,-0.20000000000027285
2/23/06,2/24/06,2,2243.2,2243.0,-0.1999999999998181
2/28/06,3/1/06,2,2243.6,2243.2,-0.40000000000009095
3/10/06,3/11/06,2,2244.2,2244.0,-0.1999999999998181
3/12/06,3/13/06,2,2244.2,2244.0,-0.1999999999998181
3/15/06,3/16/06,2,2244.2,2244.0,-0.1999999999998181
3/20/06,3/21/06,2,2244.2,2244.0,-0.1999999999998181
3/24/06,3/27/06,4,2244.4,2244.0,-0.40000000000009095
3/29/06,3/31/06,3,2244.2,2244.0,-0.1999999999998181
4/1/06,4/2/06,2,2244.2,2244.0,-0.1999999999998181
4/6/06,4/7/06,2,2244.2,2243.8,-0.3999999999996362
4/10/06,4/11/06,2,2244.2,2244.0,-0.1999999999998181
5/27/06,5/28/06,2,2243.6,2243.4,-0.1999999999998181
6/13/06,6/15/06,3,2243.6,2243.4,-0.1999999999998181
4/17/07,4/20/07,4,2244.4,2244.0,-0.40000000000009095
1/1/08,1/3/08,3,2240.8,2240.6,-0.20000000000027285
1/30/08,1/31/08,2,2241.0,2240.8,-0.1999999999998181
4/10/08,4/12/08,3,2244.0,2243.8,-0.1999999999998181
9/19/08,9/20/08,2,2231.6,2231.4,-0.1999999999998181
1/3/09,1/5/09,3,2240.4,2240.2,-0.20000000000027285
4/27/09,4/28/09,2,2244.0,2243.8,-0.1999999999998181
8/23/09,8/24/09,2,2235.8,2235.6,-0.20000000000027285
12/8/09,12/11/09,4,2239.8,2239.6,-0.20000000000027285
5/28/10,5/29/10,2,2242.2,2242.0,-0.1999999999998181
9/25/10,9/28/10,4,2227.6,2227.4,-0.1999999999998181
11/29/10,11/30/10,2,2237.6,2237.4,-0.1999999999998181
1/31/11,2/3/11,4,2240.6,2240.4,-0.1999999999998181
4/3/11,4/5/11,3,2243.6,2243.4,-0.1999999999998181
4/23/11,4/24/11,2,2243.4,2243.2,-0.20000000000027285
4/29/11,5/1/11,3,2243.6,2243.4,-0.1999999999998181
5/16/11,5/17/11,2,2243.6,2243.4,-0.1999999999998181
5/25/11,5/26/11,2,2243.8,2243.6,-0.20000000000027285
1/16/12,1/17/12,2,2240.4,2240.2,-0.20000000000027285
4/2/12,4/3/12,2,2243.2,2243.0,-0.1999999999998181
11/21/12,11/22/12,2,2229.2,2228.8,-0.3999999999996362
12/2/12,12/3/12,2,2231.2,2230.8,-0.3999999999996362
12/8/12,12/9/12,2,2232.0,2231.8,-0.1999999999998181
12/14/12,12/15/12,2,2233.0,2232.8,-0.1999999999998181
12/17/12,12/19/12,3,2233.4,2233.2,-0.20000000000027285
1/1/13,1/2/13,2,2235.6,2235.4,-0.1999999999998181
1/7/13,1/8/13,2,2236.6,2236.4,-0.1999999999998181
1/10/13,1/13/13,4,2237.2,2237.0,-0.1999999999998181
1/15/13,1/16/13,2,2237.6,2237.4,-0.1999999999998181
1/18/13,1/19/13,2,2238.2,2237.8,-0.3999999999996362
1/22/13,1/23/13,2,2238.4,2238.2,-0.20000000000027285
1/28/13,1/29/13,2,2239.4,2239.2,-0.20000000000027285
2/9/13,2/10/13,2,2241.2,2240.6,-0.599999999999909
2/13/13,2/14/13,2,2241.2,2241.0,-0.1999999999998181
2/17/13,2/18/13,2,2242.0,2241.6,-0.40000000000009095
3/3/13,3/5/13,3,2243.8,2243.2,-0.6000000000003638
3/22/13,3/23/13,2,2243.6,2243.4,-0.1999999999998181
4/13/13,4/15/13,3,2244.0,2243.6,-0.40000000000009095
4/25/13,4/26/13,2,2243.8,2243.6,-0.20000000000027285
4/29/13,5/1/13,3,2243.8,2243.4,-0.40000000000009095
5/21/13,5/22/13,2,2243.8,2243.6,-0.20000000000027285
6/4/13,6/7/13,4,2244.2,2244.0,-0.1999999999998181
6/8/13,6/10/13,3,2244.2,2244.0,-0.1999999999998181
6/21/13,6/24/13,4,2244.2,2244.0,-0.1999999999998181
4/16/15,4/17/15,2,2244.4,2244.2,-0.20000000000027285
5/4/15,5/5/15,2,2244.0,2243.8,-0.1999999999998181
5/6/15,5/9/15,4,2244.0,2243.8,-0.1999999999998181
12/15/15,12/18/15,4,2240.4,2240.2,-0.20000000000027285
1/16/16,1/18/16,3,2240.8,2240.6,-0.20000000000027285
4/13/16,4/16/16,4,2244.4,2244.2,-0.20000000000027285
6/29/16,7/1/16,3,2243.6,2243.2,-0.40000000000009095
9/24/16,9/26/16,3,2232.2,2232.0,-0.1999999999998181
12/18/16,12/20/16,3,2240.2,2240.0,-0.1999999999998181
5/14/17,5/15/17,2,2243.8,2243.6,-0.20000000000027285
5/23/17,5/24/17,2,2244.0,2243.8,-0.1999999999998181
11/24/17,11/26/17,3,2239.6,2239.4,-0.1999999999998181
6/3/18,6/4/18,2,2244.2,2244.0,-0.1999999999998181
2/6/19,2/9/19,4,2240.6,2240.4,-0.1999999999998181
6/27/19,6/29/19,3,2244.2,2244.0,-0.1999999999998181
8/8/19,8/9/19,2,2242.6,2242.4,-0.1999999999998181
12/30/19,1/1/20,3,2235.6,2235.4,-0.1999999999998181
6/6/20,6/7/20,3,2244.2,2244.0,-0.1999999999998181
12/20/20,12/21/20,3,2239.2,2239.0,-0.1999999999998181
12/23/20,12/24/20,3,2239.2,2239.0,-0.1999999999998181
2/13/21,2/17/21,4,2243.4,2240.0,-3.400000000000091
3/27/21,3/28/21,2,2243.4,2243.2,-0.20000000000027285
3/29/21,4/1/21,4,2243.4,2243.0,-0.40000000000009095
