Start Date, End Date, Duration, Start Elevation, End Elevation, Drawdown
10/14/01,10/16/01,3,2230.0,2229.0,-1.0
6/21/04,6/22/04,2,2244.0,2243.0,-1.0
10/19/05,10/20/05,2,2231.0,2230.0,-1.0
11/7/05,11/8/05,2,2233.0,2232.0,-1.0
12/31/05,1/1/06,2,2239.0,2238.0,-1.0
1/11/06,1/12/06,2,2240.0,2239.0,-1.0
2/1/06,2/3/06,3,2242.0,2241.0,-1.0
2/28/06,3/2/06,3,2244.0,2243.0,-1.0
5/27/06,5/28/06,2,2244.0,2243.0,-1.0
6/13/06,6/15/06,3,2244.0,2243.0,-1.0
7/17/07,7/18/07,2,2241.0,2240.0,-1.0
9/15/08,9/17/08,3,2232.0,2231.0,-1.0
9/19/08,9/20/08,2,2232.0,2231.0,-1.0
9/25/10,9/28/10,4,2228.0,2227.0,-1.0
11/29/10,11/30/10,2,2238.0,2237.0,-1.0
1/31/11,2/3/11,4,2241.0,2240.0,-1.0
4/3/11,4/5/11,3,2244.0,2243.0,-1.0
4/29/11,5/1/11,3,2244.0,2243.0,-1.0
5/16/11,5/17/11,2,2244.0,2243.0,-1.0
5/17/12,5/18/12,2,2244.0,2243.0,-1.0
1/1/13,1/2/13,2,2236.0,2235.0,-1.0
1/7/13,1/8/13,2,2237.0,2236.0,-1.0
1/15/13,1/16/13,2,2238.0,2237.0,-1.0
3/10/13,3/12/13,3,2244.0,2243.0,-1.0
3/17/13,3/19/13,3,2244.0,2243.0,-1.0
3/22/13,3/23/13,2,2244.0,2243.0,-1.0
4/21/13,4/22/13,2,2244.0,2243.0,-1.0
4/29/13,5/1/13,3,2244.0,2243.0,-1.0
11/24/17,11/26/17,3,2240.0,2239.0,-1.0
2/6/19,2/9/19,4,2241.0,2240.0,-1.0
8/8/19,8/9/19,2,2243.0,2242.0,-1.0
9/22/19,9/23/19,2,2238.0,2237.0,-1.0
12/30/19,1/1/20,3,2236.0,2235.0,-1.0
