Start Date, End Date, Duration, Start Elevation, End Elevation, Drawdown
1/4/00,1/5/00,2,1907.0,1906.0,-1.0
1/8/00,1/9/00,2,1907.0,1906.0,-1.0
1/14/00,1/15/00,2,1907.0,1906.0,-1.0
2/10/00,2/11/00,2,1907.0,1906.0,-1.0
2/16/00,2/19/00,4,1908.0,1907.0,-1.0
3/4/00,3/6/00,3,1908.0,1907.0,-1.0
4/2/00,4/3/00,2,1911.0,1910.0,-1.0
4/8/00,4/9/00,2,1912.0,1911.0,-1.0
4/22/00,4/25/00,4,1912.0,1911.0,-1.0
6/15/00,6/17/00,3,1912.0,1911.0,-1.0
6/30/00,7/2/00,3,1913.0,1912.0,-1.0
7/30/00,7/31/00,2,1912.0,1911.0,-1.0
8/12/00,8/13/00,2,1913.0,1912.0,-1.0
8/14/00,8/16/00,3,1913.0,1912.0,-1.0
10/30/00,10/31/00,2,1907.0,1906.0,-1.0
11/12/00,11/14/00,3,1905.0,1904.0,-1.0
11/16/00,11/17/00,2,1905.0,1904.0,-1.0
11/26/00,11/29/00,4,1905.0,1904.0,-1.0
12/4/00,12/5/00,2,1905.0,1904.0,-1.0
1/16/01,1/18/01,3,1906.0,1905.0,-1.0
1/29/01,1/31/01,3,1906.0,1905.0,-1.0
2/19/01,2/21/01,3,1906.0,1905.0,-1.0
3/18/01,3/21/01,4,1911.0,1910.0,-1.0
4/1/01,4/2/01,2,1912.0,1911.0,-1.0
4/5/01,4/6/01,2,1912.0,1911.0,-1.0
4/21/01,4/22/01,2,1913.0,1912.0,-1.0
5/15/01,5/18/01,4,1912.0,1911.0,-1.0
5/20/01,5/21/01,2,1912.0,1911.0,-1.0
5/24/01,5/27/01,4,1912.0,1911.0,-1.0
6/14/01,6/16/01,3,1911.0,1910.0,-1.0
7/12/01,7/13/01,2,1912.0,1911.0,-1.0
8/9/01,8/10/01,2,1911.0,1910.0,-1.0
8/14/01,8/16/01,3,1912.0,1911.0,-1.0
8/18/01,8/20/01,3,1912.0,1911.0,-1.0
9/7/01,9/8/01,2,1911.0,1910.0,-1.0
10/13/01,10/14/01,2,1906.0,1905.0,-1.0
11/8/01,11/11/01,4,1906.0,1905.0,-1.0
11/12/01,11/13/01,2,1906.0,1905.0,-1.0
11/14/01,11/15/01,2,1906.0,1905.0,-1.0
12/11/01,12/12/01,2,1906.0,1905.0,-1.0
12/13/01,12/14/01,2,1906.0,1905.0,-1.0
1/15/02,1/17/02,3,1906.0,1905.0,-1.0
1/19/02,1/20/02,2,1906.0,1905.0,-1.0
6/11/02,6/12/02,2,1910.0,1909.0,-1.0
6/14/02,6/15/02,2,1910.0,1909.0,-1.0
6/24/02,6/25/02,2,1910.0,1909.0,-1.0
8/1/02,8/4/02,4,1911.0,1910.0,-1.0
8/5/02,8/6/02,2,1911.0,1910.0,-1.0
8/22/02,8/24/02,3,1910.0,1909.0,-1.0
9/11/02,9/13/02,3,1911.0,1909.0,-2.0
9/21/02,9/22/02,2,1909.0,1908.0,-1.0
12/1/02,12/3/02,3,1904.0,1903.0,-1.0
12/13/02,12/14/02,2,1904.0,1903.0,-1.0
12/25/02,12/26/02,2,1904.0,1903.0,-1.0
12/28/02,12/29/02,2,1904.0,1903.0,-1.0
1/15/03,1/16/03,2,1903.0,1902.0,-1.0
1/21/03,1/23/03,3,1903.0,1902.0,-1.0
2/17/03,2/18/03,2,1904.0,1903.0,-1.0
2/19/03,2/21/03,3,1904.0,1903.0,-1.0
3/5/03,3/7/03,3,1905.0,1904.0,-1.0
3/9/03,3/10/03,2,1906.0,1905.0,-1.0
3/23/03,3/24/03,2,1908.0,1907.0,-1.0
3/30/03,3/31/03,2,1908.0,1907.0,-1.0
4/3/03,4/5/03,3,1909.0,1908.0,-1.0
4/13/03,4/15/03,3,1910.0,1909.0,-1.0
4/17/03,4/18/03,2,1910.0,1909.0,-1.0
4/21/03,4/23/03,3,1910.0,1909.0,-1.0
5/3/03,5/4/03,2,1910.0,1909.0,-1.0
5/29/03,5/31/03,3,1910.0,1909.0,-1.0
8/14/03,8/16/03,3,1910.0,1909.0,-1.0
8/17/03,8/19/03,3,1910.0,1909.0,-1.0
8/28/03,8/29/03,2,1910.0,1909.0,-1.0
9/16/03,9/17/03,2,1908.0,1907.0,-1.0
9/19/03,9/22/03,4,1908.0,1906.0,-2.0
10/15/03,10/16/03,2,1906.0,1905.0,-1.0
10/17/03,10/18/03,2,1906.0,1905.0,-1.0
10/30/03,10/31/03,2,1906.0,1905.0,-1.0
11/1/03,11/2/03,2,1906.0,1905.0,-1.0
11/7/03,11/10/03,4,1906.0,1905.0,-1.0
11/11/03,11/12/03,2,1906.0,1905.0,-1.0
12/8/03,12/9/03,2,1905.0,1903.0,-2.0
12/21/03,12/22/03,2,1905.0,1904.0,-1.0
12/27/03,12/30/03,4,1905.0,1904.0,-1.0
12/31/03,1/2/04,3,1905.0,1904.0,-1.0
1/12/04,1/13/04,2,1905.0,1904.0,-1.0
1/14/04,1/15/04,2,1905.0,1904.0,-1.0
1/17/04,1/19/04,3,1905.0,1904.0,-1.0
1/20/04,1/22/04,3,1905.0,1904.0,-1.0
1/25/04,1/27/04,3,1905.0,1904.0,-1.0
2/1/04,2/2/04,2,1905.0,1904.0,-1.0
4/24/04,4/25/04,2,1911.0,1910.0,-1.0
6/7/04,6/8/04,2,1909.0,1908.0,-1.0
6/17/04,6/20/04,4,1909.0,1908.0,-1.0
6/22/04,6/23/04,2,1909.0,1908.0,-1.0
6/28/04,6/29/04,2,1909.0,1908.0,-1.0
7/1/04,7/4/04,4,1909.0,1908.0,-1.0
7/20/04,7/21/04,2,1908.0,1907.0,-1.0
7/22/04,7/23/04,2,1908.0,1907.0,-1.0
7/24/04,7/25/04,2,1908.0,1907.0,-1.0
7/28/04,7/29/04,2,1908.0,1907.0,-1.0
7/30/04,8/2/04,4,1908.0,1907.0,-1.0
8/11/04,8/12/04,2,1909.0,1908.0,-1.0
10/19/04,10/22/04,4,1904.0,1903.0,-1.0
10/24/04,10/25/04,2,1904.0,1903.0,-1.0
11/1/04,11/2/04,2,1904.0,1903.0,-1.0
11/3/04,11/4/04,2,1904.0,1903.0,-1.0
11/11/04,11/13/04,3,1904.0,1903.0,-1.0
11/15/04,11/18/04,4,1904.0,1902.0,-2.0
11/22/04,11/23/04,2,1903.0,1902.0,-1.0
11/28/04,12/1/04,4,1903.0,1902.0,-1.0
12/6/04,12/7/04,2,1903.0,1902.0,-1.0
12/13/04,12/14/04,2,1904.0,1903.0,-1.0
