Year, Number of Drawdowns, Percent of Year in Drawdown, Average Days of Drawdown, SD of Drawdown, Average Percent Difference, SD Percent Difference, Average Rate of Change, SD Rate of Change, Max Daily Drawdown
2000,15,0.2547945205479452,6.2,2.1039645117412666,-0.0005306751936361489,0.0004794635558520018,-0.18161904761905198,0.1005300840943191,-1.2000000000000455
2001,13,0.2356164383561644,6.615384615384615,1.2733034890189885,-0.0005075392519438057,0.0002594606747795007,-0.17813186813186455,0.08741504790156741,-0.9299999999998363
2002,17,0.336986301369863,7.235294117647059,3.702612936907345,-0.0006163745138082541,0.0003867585108748455,-0.20356043852947656,0.10343592333396358,-1.1600000000000819
2003,13,0.20821917808219179,5.846153846153846,1.026281851086641,-0.0004274526221759521,0.0002645253833516207,-0.16926739926739723,0.08461414774796164,-1.4099999999998545
2004,10,0.2328767123287671,8.5,3.383784863137726,-0.0006077881986446588,0.0005172746762285382,-0.15012698412697228,0.08490431678256398,-0.8799999999998818
2005,14,0.2136986301369863,5.571428571428571,0.9035079029052514,-0.0008678655771186136,0.0005028284267841623,-0.3607142857142839,0.2052492815424596,-1.7999999999999545
2006,10,0.3780821917808219,13.8,14.857994481086607,-0.0025200378580214236,0.005756821146380957,-0.24085225885226577,0.20150765518583688,-1.8300000000001546
2007,11,0.2328767123287671,7.7272727272727275,2.7990553306073913,-0.0010287992201253682,0.000622822926225021,-0.3318181818181844,0.16829325637351686,-1.1300000000001091
2008,13,0.23835616438356164,6.6923076923076925,1.635407048113023,-0.0009424215770988067,0.0005515906898949711,-0.3150000000000014,0.14556990860270363,-1.199999999999818
2009,19,0.30684931506849317,5.894736842105263,0.7177990366834661,-0.0007721100294385296,0.0004029294706133644,-0.2954135338345902,0.12141271806937753,-1.5800000000001546
2010,14,0.2684931506849315,7.0,1.3627702877384937,-0.0009131348041664022,0.0005775416013575855,-0.28157596371882637,0.152013557765549,-1.2200000000000273
2011,16,0.31232876712328766,7.125,2.4717149916606487,-0.0008317036260438336,0.0008898056337646154,-0.271835317460314,0.19179141630806962,-1.3299999999999272
2012,15,0.33424657534246577,8.133333333333333,3.2221455929585523,-0.0005591272975401066,0.0004775452518416315,-0.1557233115468407,0.09417262893140414,-0.8299999999999272
2013,15,0.30684931506849317,7.466666666666667,2.4729649321321876,-0.0005031060054318876,0.0002484261693826518,-0.16782539682539116,0.0994230091290137,-1.1000000000001364
2014,14,0.25753424657534246,6.714285714285714,2.461955419944869,-0.0004939898003090001,0.0003025737589482653,-0.16689429618000637,0.08107538783712907,-1.0899999999999181
2015,18,0.4136986301369863,8.38888888888889,3.2341732395173075,-0.00043105937346488003,0.0002982556144133506,-0.1349689816356472,0.0979389573320231,-0.8299999999999272
2016,17,0.32054794520547947,6.882352941176471,1.9668533526235867,-0.0004439271242966179,0.0004301345364575678,-0.1492950513538688,0.12475968891800965,-1.0799999999999272
2017,18,0.38082191780821917,7.722222222222222,2.620550314460168,-0.0005064037709396791,0.0003920134194502119,-0.17259259259258983,0.13085819925689726,-1.0600000000001728
2018,19,0.3643835616438356,7.0,2.5751852258368566,-0.0004580667511736923,0.00024350200068756084,-0.18261562998404948,0.12432537824773515,-1.1700000000000728
2019,15,0.3452054794520548,8.4,2.602562839459085,-0.0005096985171047277,0.0007066841328716001,-0.15378769378769233,0.20205318686882504,-1.5599999999999454
2020,10,0.20821917808219179,7.6,2.615339366124404,-0.0009217855319888972,0.0007407340249350878,-0.27144444444444227,0.19038949680543613,-1.3800000000001091
