Year, Number of Drawdowns, Percent of Year in Drawdown, Average Days of Drawdown, SD of Drawdown, Average Percent Difference, SD Percent Difference, Average Rate of Change, SD Rate of Change, Max Daily Drawdown
2000,12,0.2356164383561644,7.166666666666667,2.6718699236468995,-0.0007850220436385601,0.00045275833651370676,-0.2566595441595441,0.11002474866606832,-1.2000000000000455
2001,15,0.33972602739726027,8.266666666666667,1.9821424996424675,-0.000662957929901259,0.00023149476530661526,-0.19571428571428576,0.10778459586790681,-0.9299999999998363
2002,13,0.29863013698630136,8.384615384615385,2.0953597649040363,-0.0009274412281135787,0.00022031547473531563,-0.2713369963369963,0.13310002643862007,-1.1600000000000819
2003,11,0.2465753424657534,8.181818181818182,1.9455395053666087,-0.0006671494533952818,0.0003223805899087741,-0.19985569985569984,0.1374346952073493,-1.4099999999998545
2004,13,0.2821917808219178,7.923076923076923,2.0554444947519057,-0.0008060059723594714,0.00039025986312895975,-0.23663836163836172,0.11893453656563063,-0.8799999999998818
2005,18,0.336986301369863,6.833333333333333,1.9507833184532708,-0.0009311105571997951,0.00044653317921587607,-0.3168430335097002,0.15303096489064036,-1.7999999999999545
2006,13,0.44931506849315067,12.615384615384615,12.940921745428406,-0.002300681736855127,0.00511257104545803,-0.24328449328449328,0.16468077154106642,-1.8300000000001546
2007,12,0.23835616438356164,7.25,2.2407216099581255,-0.0011355026943128627,0.0005578983734554963,-0.3491883116883117,0.11172015682595003,-1.1300000000001091
2008,13,0.29863013698630136,8.384615384615385,1.820332240953728,-0.001087395164843455,0.000480149648561303,-0.2904151404151404,0.1249227765176534,-1.199999999999818
2009,21,0.473972602739726,8.238095238095237,1.9494751895674969,-0.0008980555411059733,0.00043232383678213667,-0.2533068783068783,0.13563278182178934,-1.5800000000001546
2010,27,0.536986301369863,7.2592592592592595,2.5761382610784005,-0.0009314651131969243,0.000558543270539309,-0.2909137673026562,0.13165482747748722,-1.2200000000000273
2011,15,0.3150684931506849,7.666666666666667,2.5473297566057065,-0.0009780078513740918,0.0009141825729990883,-0.2973015873015872,0.20271583456306141,-1.3299999999999272
2012,17,0.410958904109589,8.823529411764707,2.1756755304596385,-0.000678307225044609,0.00039242525738191267,-0.18062558356676006,0.10953161003613382,-0.8299999999999272
2013,17,0.336986301369863,7.235294117647059,1.8638799432652777,-0.0006472997877655166,0.0002220089865081527,-0.21958450046685343,0.11006518363467531,-1.1000000000001364
2014,19,0.42191780821917807,8.105263157894736,2.0492549825191353,-0.0006342167090680887,0.00021343532025990743,-0.1908312447786132,0.10296834459487919,-1.0899999999999181
2015,16,0.3698630136986301,8.4375,2.1203994317109216,-0.0005897085993261345,0.00025371109703791297,-0.15905934343434344,0.053853480158752624,-0.8299999999999272
2016,15,0.33972602739726027,8.266666666666667,1.9821424996424675,-0.0008036164205846074,0.0004625587388696084,-0.2135016835016835,0.09527385971478988,-1.0799999999999272
2017,14,0.3452054794520548,9.0,1.889822365046136,-0.0008234045355629168,0.00038107125149583487,-0.19544423830138116,0.065525101979351,-1.0600000000001728
2018,18,0.3863013698630137,7.833333333333333,2.29128784747792,-0.0007280972373230481,0.00039611176929583666,-0.21006478089811426,0.09056268466780648,-1.1700000000000728
2019,16,0.36164383561643837,8.25,2.462214450449026,-0.000982207559639343,0.0006636393732355786,-0.2617063492063492,0.12512512633807277,-1.5599999999999454
2020,16,0.3506849315068493,8.0,2.179449471770337,-0.0010478416230834857,0.0005847782437972285,-0.30176091269841265,0.16962620409014695,-1.3800000000001091
