Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference, Rate of Change
3/24/03,6/17/03,86,5751.2,5740.6,-0.0018430936152454191,-0.12470588235293475
6/18/03,11/18/03,153,5740.8,5687.2,-0.009336677814938748,-0.3526315789473708
11/19/03,12/10/03,22,5687.4,5686.0,-0.0002461581742095925,-0.06666666666664935
12/11/03,12/20/03,10,5686.0,5685.2,-0.00014069644741473476,-0.0888888888889091
12/21/03,2/1/04,43,5685.4,5682.6,-0.0004924895345972619,-0.06666666666664935
2/25/04,3/3/04,8,5702.4,5701.8,-0.00010521885521875953,-0.08571428571420776
3/4/04,3/16/04,13,5702.0,5701.2,-0.0001403016485444023,-0.06666666666668182
3/19/04,3/30/04,12,5701.0,5700.0,-0.00017540782318891423,-0.09090909090909091
7/2/04,11/21/04,143,5740.6,5693.6,-0.008187297495035361,-0.33098591549295775
11/24/04,12/9/04,16,5693.4,5692.0,-0.000245898759967618,-0.09333333333330908
12/10/04,12/20/04,11,5692.2,5691.4,-0.0001405431994659678,-0.0800000000000182
3/24/05,6/6/05,75,5748.8,5739.0,-0.001704703590314532,-0.13243243243243488
6/29/05,12/12/05,167,5745.2,5662.0,-0.014481654250504739,-0.5012048192771074
2/6/06,3/6/06,29,5710.4,5707.8,-0.0004553096105350684,-0.09285714285712336
5/19/06,6/16/06,29,5740.0,5724.8,-0.002648083623693348,-0.5428571428571364
7/23/06,1/17/07,179,5729.2,5660.8,-0.01193883962856937,-0.3842696629213463
2/19/07,2/28/07,10,5694.0,5693.0,-0.00017562346329469617,-0.1111111111111111
5/5/07,7/30/07,87,5733.8,5694.4,-0.006871533712372343,-0.4581395348837273
8/2/07,8/31/07,30,5694.8,5672.8,-0.003863173421366861,-0.7586206896551724
9/2/07,9/26/07,25,5673.4,5657.0,-0.0028906828356892933,-0.6833333333333181
9/28/07,10/12/07,15,5658.2,5651.2,-0.0012371425541691705,-0.5
10/17/07,11/6/07,21,5655.8,5645.2,-0.001874182255383918,-0.5300000000000182
11/15/07,12/9/07,25,5656.6,5653.0,-0.0006364247074214835,-0.15000000000001515
12/13/07,1/1/08,20,5656.8,5654.2,-0.0004596238155848472,-0.13684210526317706
1/3/08,1/7/08,5,5655.8,5655.2,-0.00010608578804065981,-0.15000000000009095
1/10/08,2/7/08,29,5656.8,5653.6,-0.0005656908499504699,-0.11428571428570779
2/8/08,2/26/08,19,5653.4,5651.6,-0.0003183924717867606,-0.09999999999995958
7/15/08,8/21/08,38,5727.8,5705.6,-0.003875833653409654,-0.5999999999999951
9/1/08,9/23/08,23,5709.2,5698.2,-0.0019267147761507742,-0.5
10/10/08,10/20/08,11,5704.6,5701.2,-0.0005960102373524078,-0.3400000000000546
10/24/08,12/8/08,46,5702.0,5694.6,-0.0012977902490353623,-0.16444444444443637
3/17/09,3/31/09,15,5751.0,5750.0,-0.0001738828029907842,-0.07142857142857142
4/23/09,6/26/09,65,5758.6,5747.4,-0.0019449171673671945,-0.17500000000001137
7/2/09,7/8/09,7,5747.6,5746.8,-0.00013918853086508835,-0.13333333333336364
