Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference, Rate of Change, Drawdown,Days Before Next Drawdown
4/3/03,4/12/03,10,5751,5750,-0.000173883,-0.111111111,-1,4
4/16/03,4/29/03,14,5750,5748,-0.000347826,-0.153846154,-2,3
5/2/03,5/11/03,10,5748,5747,-0.000173974,-0.111111111,-1,7
5/18/03,5/29/03,12,5746,5744,-0.000348068,-0.181818182,-2,1
5/30/03,6/9/03,11,5744,5742,-0.000348189,-0.2,-2,3
6/12/03,6/24/03,13,5742,5740,-0.000348311,-0.166666667,-2,1
6/25/03,7/5/03,11,5740,5738,-0.000348432,-0.2,-2,4
7/9/03,11/5/03,119,5737,5688,-0.008541049,-0.415254237,-49,10
11/15/03,11/24/03,10,5688,5687,-0.000175809,-0.111111111,-1,5
11/29/03,12/8/03,10,5687,5686,-0.00017584,-0.111111111,-1,9
12/17/03,12/26/03,10,5686,5685,-0.000175871,-0.111111111,-1,6
1/1/04,1/10/04,10,5685,5684,-0.000175901,-0.111111111,-1,7
1/17/04,1/26/04,10,5684,5683,-0.000175932,-0.111111111,-1,43
3/9/04,3/18/04,10,5702,5701,-0.000175377,-0.111111111,-1,7
3/25/04,3/31/04,7,5701,5700,-0.000175408,-0.166666667,-1,93
7/2/04,7/25/04,24,5741,5734,-0.0012193,-0.304347826,-7,1
7/26/04,10/1/04,68,5734,5708,-0.004534356,-0.388059701,-26,6
10/7/04,11/2/04,27,5707,5696,-0.001927458,-0.423076923,-11,8
11/10/04,11/19/04,10,5695,5694,-0.000175593,-0.111111111,-1,2
11/21/04,11/30/04,10,5694,5693,-0.000175623,-0.111111111,-1,5
12/5/04,12/14/04,10,5693,5692,-0.000175654,-0.111111111,-1,105
3/29/05,4/7/05,10,5749,5748,-0.000173943,-0.111111111,-1,2
4/9/05,4/18/05,10,5748,5747,-0.000173974,-0.111111111,-1,9
4/27/05,5/6/05,10,5746,5745,-0.000174034,-0.111111111,-1,6
5/12/05,5/22/05,11,5744,5742,-0.000348189,-0.2,-2,1
5/23/05,6/1/05,10,5742,5740,-0.000348311,-0.222222222,-2,30
7/1/05,10/12/05,104,5745,5683,-0.010791993,-0.601941748,-62,4
10/16/05,11/4/05,20,5682,5666,-0.00281591,-0.842105263,-16,1
11/5/05,11/14/05,10,5666,5665,-0.000176491,-0.111111111,-1,2
11/16/05,11/25/05,10,5665,5664,-0.000176523,-0.111111111,-1,1
11/26/05,12/5/05,10,5664,5663,-0.000176554,-0.111111111,-1,1
12/6/05,12/12/05,7,5663,5662,-0.000176585,-0.166666667,-1,66
2/16/06,2/25/06,10,5710,5709,-0.000175131,-0.111111111,-1,3
2/28/06,3/7/06,8,5709,5708,-0.000175162,-0.142857143,-1,75
5/21/06,6/17/06,28,5740,5725,-0.00261324,-0.555555556,-15,37
7/24/06,11/3/06,103,5729,5670,-0.010298481,-0.578431373,-59,2
11/5/06,11/14/06,10,5670,5669,-0.000176367,-0.111111111,-1,1
11/15/06,11/28/06,14,5669,5667,-0.000352796,-0.153846154,-2,1
11/29/06,12/8/06,10,5667,5665,-0.00035292,-0.222222222,-2,9
12/17/06,12/26/06,10,5664,5663,-0.000176554,-0.111111111,-1,6
1/1/07,1/10/07,10,5663,5662,-0.000176585,-0.111111111,-1,4
1/14/07,1/18/07,5,5662,5661,-0.000176616,-0.25,-1,36
2/23/07,2/28/07,6,5694,5693,-0.000175623,-0.2,-1,68
5/7/07,5/18/07,12,5734,5732,-0.000348797,-0.181818182,-2,2
5/20/07,5/31/07,12,5732,5730,-0.000348918,-0.181818182,-2,6
6/6/07,7/30/07,55,5729,5694,-0.006109269,-0.648148148,-35,3
8/2/07,9/3/07,33,5695,5673,-0.003863038,-0.6875,-22,1
